\P\	Pos	ScrapReasonID\
V	1923074	5
V	1923584	6
V	1924714	8
V	1925641	9
V	1926458	11
V	1927273	13
V	1928847	15
V	1929693	15
V	1929802	9
V	1946376	16
V	1980090	7
V	2004937	16
V	2009901	5
V	2072658	5
V	2073168	6
V	2073777	8
V	2074788	16
V	2079644	1
V	2080152	3
V	2081786	9
V	2085813	10
V	2086443	13
V	2237003	13
V	2237205	6
V	2242880	8
V	2244307	12
V	2246244	12
V	2246551	14
V	2247584	14
V	2247998	15
V	2248415	1
V	2249325	1
V	2249848	2
V	2250476	9
V	2324470	13
V	2386018	11
V	2395285	12
V	2395794	13
V	2396301	13
V	2396404	14
V	2396915	15
V	2397422	7
V	2402786	10
V	2404419	13
V	2406160	14
V	2406979	2
V	2409497	11
V	2484903	7
V	2562535	3
V	2569619	14
V	2586193	15
V	2587011	2
V	2588931	2
V	2589235	4
V	2590263	4
V	2590674	5
V	2591087	7
V	2592517	8
V	2593145	16
V	2627483	1
V	2638424	11
V	2684166	4
V	2700046	9
V	2723024	2
V	2747865	2
V	2748375	3
V	2748984	4
V	2749494	5
V	2750000	5
V	2750506	6
V	2751012	11
V	2753854	12
V	2754365	14
V	2755594	14
V	2756010	15
V	2756425	16
V	2756838	16
V	2757252	4
V	2760051	4
V	2770036	2
V	2778094	2
V	2778697	13
V	2804852	11
V	2823754	14
V	2835714	14
V	2845773	11
V	2863715	11
V	2873580	14
V	2895472	1
V	2907407	3
V	2908519	4
V	2909025	5
V	2910036	12
V	2913886	14
V	2915518	15
V	2915930	16
V	2916750	1
V	2917256	2
V	2917876	4
V	2919552	13
V	2944541	6
V	2950494	2
V	2957564	7
V	2961440	5
V	3079044	6
V	3079552	6
V	3080058	6
V	3080160	7
V	3080666	8
V	3081172	12
V	3083493	13
V	3083899	15
V	3085321	2
V	3087247	2
V	3087551	4
V	3088579	4
V	3088990	5
V	3089403	7
V	3090834	8
V	3091462	4
V	3109055	13
V	3133857	16
V	3155743	9
V	3171666	9
V	3251310	12
V	3252621	12
V	3253136	13
V	3253645	14
V	3254259	15
V	3254766	16
V	3255273	1
V	3255779	2
V	3256689	4
V	3258005	5
V	3258926	6
V	3259638	8
V	3260863	12
V	3263025	13
V	3263938	15
V	3265085	16
V	3265719	1
V	3266458	4
V	3308358	6
V	3368971	16
V	3404825	13
V	3442978	9
V	3450867	10
V	3451376	13
V	3453009	3
V	3457037	4
V	3457666	4
V	3497744	6
V	3538587	13
V	3562453	14
V	3593398	3
V	3616275	6
V	3628139	6
V	3628542	11
V	3630966	13
V	3632180	14
V	3633085	8
V	3639641	11
V	3641376	12
V	3641782	12
V	3641993	15
V	3643847	16
V	3644665	1
V	3644969	2
V	3645473	4
V	3646993	6
V	3648626	9
V	3650411	6
V	3728125	8
V	3729233	9
V	3729836	13
V	3801929	3
V	3835740	13
V	3841498	14
V	3842609	15
V	3843211	11
V	3850686	3
V	3895578	11
V	3900226	5
V	3906802	6
V	3907728	9
V	3909042	9
V	3909250	10
V	3910182	12
V	3911112	13
V	3911934	14
V	3912242	15
V	3912751	15
V	3913266	3
V	3915908	4
V	3916326	4
V	3916541	5
V	3916963	6
V	3917703	3
V	3945568	13
V	4011420	9
V	4158526	11
V	4159639	14
V	4161463	14
V	4161566	2
V	4163783	5
V	4165709	12
V	4170473	16
V	4172930	2
V	4173861	3
V	4174686	9
V	4178644	12
V	4180321	13
V	4191048	7
V	4197795	9
V	4198905	10
V	4199509	13
V	4240788	4
V	4265457	6
V	4266563	7
V	4267164	3
V	4274410	4
V	4275520	5
V	4276123	1
V	4283282	5
V	4335332	10
V	4388078	6
V	4435580	7
V	4436387	16
V	4441639	2
V	4443169	2
V	4443473	4
V	4444605	5
V	4445531	7
V	4446653	8
V	4447159	13
V	4450303	14
V	4450722	14
V	4450934	15
V	4451357	16
V	4452098	1
V	4452729	15
V	4461206	10
V	4488080	6
V	4495819	8
V	4496932	9
V	4497535	9
V	4547571	11
V	4548680	12
V	4549284	11
V	4568683	16
V	4681093	7
V	4695796	9
V	4696906	10
V	4697508	13
V	4718731	13
V	4719238	15
V	4720448	2
V	4722368	3
V	4722672	14
V	4729455	14
V	4729863	15
V	4730484	2
V	4732342	4
V	4733971	10
V	4737651	12
V	4738494	13
V	4739340	13
V	4739449	11
V	4748308	11
V	4758270	10
V	4767222	5
V	4784137	2
V	4792090	16
V	4820952	7
V	4825709	4
V	4863401	5
V	4883627	3
V	4892586	15
V	4909512	15
V	4929424	7
V	4945036	8
V	4955308	3
V	4962057	4
V	4963165	5
V	4963768	3
V	4992132	5
V	5003087	9
V	5005512	12
V	5007326	16
V	5009851	1
V	5010357	2
V	5011370	3
V	5011878	3
V	5012386	6
V	5013902	7
V	5014618	8
V	5015135	9
V	5015643	9
V	5016050	10
V	5016671	13
V	5018530	15
V	5019647	16
V	5020160	1
V	5021175	5
V	5023844	6
V	5024686	8
V	5025529	8
V	5025637	11
V	5057085	13
V	5058200	15
V	5069338	3
V	5092263	2
V	5121154	16
V	5129793	1
V	5130907	1
V	5140456	2
V	5141265	3
V	5142074	3
V	5142176	1
V	5150819	3
V	5151933	4
V	5152540	5
V	5163012	5
V	5203017	7
V	5234094	10
V	5235710	10
V	5235813	5
V	5253017	8
V	5254634	8
V	5254736	7
V	5294222	9
V	5295334	10
V	5295938	11
V	5316339	5
V	5342694	8
V	5344206	12
V	5346630	15
V	5348767	16
V	5348974	1
V	5349902	2
V	5350829	4
V	5351949	5
V	5352453	5
V	5352963	10
V	5355598	10
V	5356013	11
V	5356226	11
V	5356649	13
V	5357385	1
V	5400208	3
V	5401318	4
V	5401919	15
V	5438254	15
V	5458166	11
V	5465904	13
V	5467017	14
V	5467621	12
V	5496667	13
V	5506942	11
V	5515898	10
V	5534828	16
V	5598304	2
V	5599418	2
V	5600021	16
V	5608474	11
V	5635136	13
V	5636250	14
V	5636852	1
V	5639164	2
V	5639670	6
V	5641994	6
V	5642399	15
V	5647562	15
V	5647972	1
V	5648773	2
V	5649794	7
V	5653274	8
V	5653780	12
V	5656326	13
V	5656955	16
V	5658744	12
V	5666385	15
V	5717504	14
V	5726840	15
V	5727650	16
V	5728462	16
V	5728565	15
V	5737410	15
V	5747370	15
V	5767286	11
V	5794963	13
V	5796078	14
V	5796684	10
V	5824441	13
V	5826059	13
V	5826162	10
V	5834019	7
V	5862688	9
V	5863801	10
V	5864405	6
V	5871564	5
V	5910682	6
V	5921643	6
V	5931707	14
V	5936052	14
V	5936559	15
V	5937066	16
V	5937573	1
V	5938081	4
V	5940002	8
V	5942764	9
V	5943692	11
V	5944518	1
V	5948475	3
V	5950145	4
V	5950884	3
V	5959958	1
V	5968701	3
V	5969811	4
V	5970412	12
V	6015103	15
V	6016721	15
V	6016824	11
V	6034425	13
V	6035538	14
V	6036144	9
V	6043303	13
V	6055580	16
V	6167032	15
V	6175984	15
V	6195908	16
V	6206870	11
V	6213624	13
V	6214735	14
V	6215339	11
V	6233762	14
V	6245625	13
V	6255006	2
V	6257767	2
V	6258180	3
V	6258694	10
V	6263463	13
V	6265133	14
V	6265871	1
V	6297635	3
V	6298749	14
V	6315263	16
V	6316881	16
V	6316984	14
V	6325518	16
V	6336791	13
V	6354703	15
V	6365669	10
V	6402519	7
V	6411153	13
V	6454318	13
V	6454421	13
V	6474003	14
V	6475118	15
V	6475724	7
V	6560227	7
V	6560735	12
V	6563161	16
V	6565688	2
V	6567200	3
V	6567708	3
V	6568216	7
V	6570447	8
V	6570964	9
V	6571472	9
V	6571877	10
V	6572498	13
V	6574357	16
V	6575983	5
V	6579664	6
V	6580506	8
V	6581351	8
V	6581459	7
V	6620872	9
V	6621986	10
V	6632518	13
V	6634138	13
V	6634241	15
V	6655050	14
V	6664803	16
V	6665918	1
V	6666523	16
V	6675992	16
V	6685938	1
V	6696277	3
V	6697894	3
V	6697996	14
V	6704647	16
V	6705760	1
V	6706365	1
V	6726478	3
V	6727592	2
V	6737147	3
V	6737956	5
V	6738767	5
V	6738869	7
V	6790244	9
V	6791358	9
V	6821242	11
V	6822357	12
V	6822961	10
V	6841378	9
V	6870645	11
V	6872263	11
V	6872366	9
V	6880998	11
V	6882111	12
V	6882717	11
V	6891865	13
V	6892980	6
V	6898835	15
V	6904596	3
V	6907360	4
V	6908288	6
V	6909114	12
V	6913074	15
V	6914750	16
V	6915490	2
V	6956448	4
V	6967714	3
V	6977073	5
V	6978779	6
V	6979588	8
V	6980400	8
V	6980502	11
V	7022332	11
V	7052222	12
V	7052828	14
V	7053943	16
V	7075059	2
V	7086028	5
V	7097993	4
V	7107340	5
V	7108149	6
V	7108958	6
V	7109060	9
V	7130591	6
V	7148607	8
V	7149721	9
V	7150324	8
V	7169954	10
V	7180714	9
V	7190458	11
V	7191573	12
V	7192179	4
V	7197142	11
V	7201426	12
V	7201832	13
V	7202543	14
