\P\	Pos	VendorID\
V	19467	1492
V	19581	1602
V	19699	1540
V	19814	1628
V	19934	1604
V	20050	1690
V	20163	1566
V	20275	1698
V	20389	1560
V	20509	1692
V	20629	1696
V	20751	1504
V	20863	1544
V	20978	1530
V	21098	1508
V	21212	1694
V	21327	1624
V	21443	1548
V	21554	1598
V	21670	1658
V	21790	1536
V	21903	1568
V	22023	1648
V	22137	1646
V	22258	1672
V	22379	1600
V	22495	1522
V	22611	1570
V	22729	1516
V	22842	1506
V	22962	1626
V	23078	1542
V	23196	1610
V	23316	1638
V	23436	1582
V	23550	1510
V	23663	1526
V	23783	1644
V	23899	1680
V	24020	1584
V	24139	1620
V	24256	1666
V	24371	1592
V	24482	1618
V	24594	1612
V	24708	1586
V	24828	1500
V	24940	1656
V	25054	1572
V	25166	1562
V	25281	1662
V	25391	1682
V	25511	1686
V	25625	1684
V	25746	1534
V	25860	1614
V	25974	1588
V	26090	1622
V	26203	1632
V	26319	1608
V	26434	1576
V	26555	1590
V	26658	1514
V	26776	1498
V	26896	1674
V	27010	1652
V	27130	1578
V	27250	1538
V	27370	1556
V	27490	1554
V	27604	1688
V	27717	1580
V	27831	1496
V	27945	1494
V	28060	1650
V	28174	1654
V	28292	1664
V	28412	1678
V	28531	1616
V	28644	1492
V	28759	1602
V	28877	1540
V	28991	1628
V	29111	1604
V	29229	1690
V	29342	1566
V	29454	1698
V	29568	1560
V	29688	1692
V	29804	1696
V	29925	1504
V	30037	1544
V	30152	1530
V	30272	1508
V	30392	1694
V	30506	1624
V	30622	1548
V	30733	1598
V	30846	1658
V	30966	1536
V	31080	1568
V	31197	1648
V	31311	1646
V	31432	1672
V	31552	1600
V	31668	1522
V	31784	1570
V	31904	1516
V	32017	1506
V	32137	1626
V	32253	1542
V	32371	1610
V	32491	1638
V	32611	1582
V	32725	1510
V	32838	1526
V	32958	1644
V	33074	1680
V	33194	1584
V	33310	1620
V	33427	1666
V	33540	1592
V	33651	1618
V	33763	1612
V	33877	1586
V	33997	1500
V	34109	1656
V	34222	1572
V	34334	1562
V	34450	1662
V	34560	1682
V	34680	1686
V	34795	1684
V	34915	1534
V	35028	1614
V	35142	1588
V	35258	1622
V	35372	1632
V	35492	1608
V	35607	1576
V	35728	1590
V	35831	1514
V	35949	1498
V	36069	1674
V	36183	1652
V	36300	1578
V	36419	1538
V	36539	1556
V	36659	1554
V	36771	1688
V	36884	1580
V	36998	1496
V	37112	1494
V	37227	1650
V	37341	1654
V	37459	1664
V	37579	1678
V	37699	1616
V	37812	1492
V	37928	1602
V	38046	1540
V	38158	1628
V	38278	1604
V	38396	1690
V	38509	1566
V	38621	1698
V	38735	1560
V	38855	1692
V	38970	1696
V	39094	1504
V	39206	1544
V	39321	1530
V	39441	1508
V	39561	1694
V	39671	1624
V	39787	1548
V	39898	1598
V	40011	1658
V	40131	1536
V	40244	1568
V	40364	1648
V	40478	1646
V	40599	1672
V	40712	1600
V	40828	1522
V	40944	1570
V	41062	1516
V	41175	1506
V	41295	1626
V	41411	1542
V	41529	1610
V	41649	1638
V	41769	1582
V	41881	1510
V	41994	1526
V	42114	1644
V	42230	1680
V	42349	1584
V	42466	1620
V	42583	1666
V	42698	1592
V	42809	1618
V	42921	1612
V	43035	1586
V	43155	1500
V	43267	1656
V	43380	1572
V	43492	1562
V	43605	1662
V	43715	1682
V	43835	1686
V	43949	1684
V	44068	1534
V	44183	1614
V	44291	1588
V	44407	1622
V	44521	1632
V	44641	1608
V	44756	1576
V	44877	1590
V	44980	1514
V	45098	1498
V	45218	1674
V	45332	1652
V	45449	1578
V	45569	1538
V	45689	1556
V	45809	1554
V	45919	1688
V	46032	1580
V	46146	1496
V	46258	1494
V	46373	1650
V	46487	1654
V	46605	1664
V	46725	1678
V	46844	1616
V	46958	1492
V	47068	1602
V	47186	1540
V	47297	1628
V	47417	1604
V	47535	1690
V	47648	1566
V	47760	1698
V	47874	1560
V	47994	1692
V	48112	1696
V	48230	1504
V	48342	1544
V	48457	1514
V	48575	1498
V	48695	1674
V	48809	1652
V	48925	1578
V	49045	1538
V	49165	1556
V	49285	1554
V	49398	1688
V	49511	1580
V	49625	1496
V	49736	1494
V	49851	1650
V	49965	1654
V	50083	1664
V	50203	1678
V	50323	1616
V	50436	1492
V	50549	1602
V	50667	1540
V	50782	1628
V	50902	1604
V	51020	1690
V	51133	1566
V	51245	1698
V	51359	1560
V	51479	1692
V	51597	1696
V	51715	1504
V	51827	1544
V	51942	1530
V	52062	1508
V	52182	1694
V	52292	1624
V	52408	1548
V	52519	1598
V	52633	1658
V	52753	1536
V	52867	1568
V	52985	1648
V	53099	1646
V	53220	1672
V	53342	1600
V	53458	1522
V	53574	1570
V	53694	1516
V	53807	1506
V	53927	1626
V	54043	1542
V	54161	1610
V	54281	1638
V	54401	1582
V	54516	1510
V	54629	1526
V	54749	1644
V	54865	1680
V	54985	1584
V	55102	1620
V	55219	1666
V	55335	1592
V	55446	1618
V	55558	1612
V	55672	1586
V	55792	1500
V	55904	1656
V	56019	1572
V	56131	1562
V	56244	1662
V	56354	1682
V	56474	1686
V	56587	1684
V	56706	1534
V	56820	1614
V	56934	1588
V	57050	1622
V	57164	1632
V	57284	1608
V	57399	1576
V	57520	1590
V	57623	1514
V	57741	1498
V	57861	1674
V	57975	1652
V	58096	1578
V	58216	1538
V	58336	1556
V	58456	1554
V	58571	1688
V	58684	1580
V	58798	1496
V	58913	1494
V	59028	1650
V	59142	1654
V	59260	1664
V	59380	1678
V	59500	1616
V	59614	1492
V	59729	1602
V	59841	1540
V	59958	1628
V	60078	1604
V	60196	1690
V	60309	1566
V	60421	1698
V	60535	1560
V	60655	1692
V	60771	1696
V	60892	1504
V	61004	1544
V	61119	1530
V	61239	1508
V	61359	1694
V	61469	1624
V	61585	1548
V	61696	1598
V	61810	1658
V	61930	1536
V	62043	1568
V	62158	1648
V	62272	1646
V	62393	1530
V	62513	1508
V	62633	1694
V	62743	1624
V	62859	1672
V	62973	1600
V	63089	1522
V	63205	1570
V	63323	1516
V	63436	1506
V	63556	1626
V	63672	1542
V	63790	1610
V	63910	1638
V	64030	1582
V	64144	1510
V	64257	1526
V	64377	1644
V	64493	1680
V	64612	1584
V	64731	1620
V	64848	1666
V	64962	1592
V	65073	1618
V	65185	1612
V	65299	1586
V	65419	1500
V	65531	1656
V	65645	1572
V	65757	1562
V	65870	1662
V	65980	1682
V	66100	1686
V	66214	1684
V	66335	1534
V	66449	1614
V	66561	1588
V	66677	1622
V	66790	1632
V	66910	1608
V	67025	1576
V	67146	1590
V	67249	1514
V	67367	1498
V	67487	1674
V	67601	1652
V	67721	1578
V	67841	1538
V	67961	1556
V	68081	1554
V	68196	1688
V	68309	1580
V	68423	1496
V	68537	1494
V	68652	1650
V	68766	1654
V	68884	1664
V	69004	1678
V	69123	1616
V	69238	1492
V	69353	1602
V	69469	1540
V	69583	1628
V	69703	1604
V	69821	1690
V	69934	1566
V	70046	1698
V	70160	1560
V	70280	1692
V	70400	1696
V	70519	1504
V	70631	1544
V	70746	1548
V	70857	1598
V	70970	1658
V	71090	1536
V	71203	1530
V	71323	1508
V	71443	1694
V	71553	1624
V	71669	1548
V	71780	1598
V	71894	1658
V	72014	1536
V	72128	1568
V	72243	1648
V	72357	1646
V	72478	1672
V	72592	1600
V	72708	1522
V	72824	1570
V	72944	1516
V	73057	1506
V	73177	1626
V	73293	1542
V	73411	1610
V	73531	1638
V	73651	1582
V	73761	1510
V	73874	1526
V	73994	1568
V	74113	1648
V	74227	1646
V	74348	1672
V	74470	1644
V	74586	1680
V	74706	1584
V	74822	1620
V	74939	1666
V	75057	1592
V	75168	1618
V	75280	1612
V	75394	1586
V	75514	1500
V	75626	1656
V	75741	1572
V	75853	1562
V	75964	1662
V	76074	1682
V	76194	1686
V	76308	1684
V	76428	1534
V	76542	1614
V	76655	1588
V	76771	1622
V	76884	1632
V	77004	1608
V	77119	1576
V	77240	1590
V	77343	1514
V	77461	1498
V	77581	1674
V	77695	1652
V	77812	1578
V	77932	1538
V	78052	1556
V	78172	1554
V	78286	1688
V	78399	1580
V	78513	1496
V	78627	1494
V	78742	1650
V	78856	1654
V	78974	1664
V	79094	1678
V	79214	1616
V	79327	1492
V	79441	1602
V	79553	1540
V	79670	1628
V	79790	1604
V	79908	1690
V	80021	1566
V	80133	1698
V	80247	1560
V	80367	1692
V	80482	1696
V	80603	1504
V	80715	1544
V	80830	1530
V	80950	1508
V	81064	1694
V	81174	1624
V	81290	1548
V	81401	1598
V	81513	1658
V	81633	1536
V	81746	1568
V	81865	1648
V	81979	1646
V	82100	1672
V	82220	1600
V	82336	1522
V	82452	1570
V	82573	1516
V	82686	1506
V	82806	1626
V	82922	1542
V	83040	1610
V	83160	1638
V	83280	1582
V	83393	1510
V	83506	1526
V	83626	1644
V	83742	1680
V	83861	1584
V	83978	1620
V	84095	1666
V	84208	1592
V	84319	1618
V	84431	1612
V	84545	1586
V	84665	1500
V	84777	1656
V	84890	1572
V	85002	1562
V	85116	1662
V	85226	1682
V	85346	1686
V	85457	1684
V	85576	1534
V	85690	1614
V	85804	1588
V	85920	1622
V	86033	1632
V	86153	1608
V	86268	1576
V	86389	1590
V	86492	1514
V	86610	1498
V	86730	1674
V	86844	1652
V	86965	1578
V	87085	1538
V	87205	1556
V	87325	1554
V	87438	1600
V	87554	1522
V	87670	1570
V	87791	1516
V	87904	1688
V	88017	1580
V	88131	1496
V	88245	1494
V	88360	1650
V	88474	1654
V	88592	1664
V	88712	1678
V	88831	1616
V	88948	1492
V	89061	1602
V	89177	1540
V	89291	1628
V	89411	1604
V	89529	1690
V	89642	1566
V	89754	1698
V	89868	1560
V	89988	1692
V	90106	1696
V	90222	1504
V	90334	1544
V	90449	1530
V	90569	1508
V	90689	1694
V	90799	1624
V	90915	1548
V	91026	1598
V	91139	1658
V	91259	1536
V	91372	1568
V	91483	1648
V	91597	1646
V	91718	1672
V	91832	1600
V	91948	1522
V	92064	1570
V	92185	1516
V	92298	1506
V	92418	1626
V	92534	1542
V	92652	1610
V	92772	1638
V	92892	1582
V	93007	1510
V	93120	1526
V	93240	1644
V	93356	1680
V	93476	1584
V	93593	1620
V	93710	1666
V	93822	1592
V	93933	1618
V	94045	1612
V	94159	1586
V	94279	1500
V	94391	1656
V	94504	1572
V	94616	1562
V	94732	1662
V	94842	1682
V	94962	1686
V	95077	1684
V	95196	1534
V	95310	1614
V	95425	1588
V	95541	1622
V	95655	1632
V	95775	1608
V	95890	1576
V	96011	1590
V	96114	1514
V	96232	1498
V	96352	1674
V	96466	1652
V	96587	1578
V	96706	1538
V	96826	1556
V	96946	1554
V	97064	1688
V	97177	1506
V	97297	1626
V	97413	1542
V	97531	1610
V	97651	1580
V	97765	1496
V	97879	1494
V	97994	1650
V	98108	1654
V	98226	1664
V	98346	1678
V	98466	1616
V	98580	1492
V	98695	1602
V	98813	1540
V	98928	1628
V	99048	1604
V	99166	1690
V	99279	1566
V	99391	1698
V	99505	1560
V	99625	1692
V	99745	1696
V	99864	1504
V	99976	1544
V	100091	1530
V	100211	1508
V	100331	1694
V	100446	1624
V	100562	1548
V	100673	1598
V	100786	1658
V	100906	1536
V	101021	1568
V	101139	1648
V	101253	1646
V	101372	1672
V	101486	1600
V	101602	1522
V	101718	1570
V	101839	1516
V	101952	1506
V	102072	1626
V	102188	1542
V	102306	1610
V	102426	1638
V	102546	1582
V	102661	1510
V	102774	1526
V	102894	1644
V	103010	1680
V	103129	1584
V	103249	1620
V	103366	1666
V	103479	1592
V	103590	1618
V	103702	1612
V	103816	1586
V	103936	1500
V	104048	1656
V	104163	1572
V	104275	1562
V	104389	1662
V	104499	1682
V	104619	1686
V	104733	1684
V	104852	1534
V	104966	1614
V	105080	1638
V	105200	1582
V	105315	1510
V	105428	1526
V	105548	1588
V	105664	1622
V	105778	1632
V	105898	1608
V	106013	1576
V	106134	1590
V	106237	1514
V	106355	1498
V	106475	1674
V	106589	1652
V	106710	1578
V	106830	1538
V	106950	1556
V	107070	1554
V	107180	1688
V	107293	1580
V	107407	1496
V	107525	1494
V	107640	1650
V	107754	1654
V	107872	1664
V	107992	1678
V	108112	1616
V	108225	1492
V	108338	1602
V	108456	1540
V	108569	1628
V	108689	1604
V	108807	1690
V	108920	1566
V	109032	1698
V	109146	1560
V	109266	1692
V	109386	1696
V	109504	1504
V	109616	1544
V	109729	1530
V	109849	1508
V	109969	1694
V	110083	1624
V	110199	1548
V	110310	1598
V	110422	1658
V	110542	1536
V	110655	1568
V	110772	1648
V	110886	1646
V	111006	1672
V	111129	1600
V	111245	1522
V	111361	1570
V	111482	1516
V	111595	1506
V	111715	1626
V	111831	1542
V	111949	1610
V	112069	1644
V	112185	1680
V	112306	1584
V	112426	1620
V	112543	1638
V	112663	1582
V	112777	1510
V	112890	1526
V	113010	1666
V	113123	1592
V	113234	1618
V	113346	1612
V	113460	1644
V	113576	1680
V	113697	1584
V	113817	1620
V	113934	1666
V	114048	1592
V	114159	1618
V	114271	1612
V	114385	1586
V	114505	1500
V	114617	1656
V	114732	1572
V	114844	1562
V	114957	1662
V	115067	1682
V	115187	1686
V	115300	1684
V	115420	1534
V	115533	1614
V	115641	1588
V	115757	1622
V	115870	1632
V	115986	1608
V	116101	1576
V	116223	1590
V	116327	1514
V	116442	1498
V	116563	1674
V	116678	1652
V	116800	1578
V	116921	1538
V	117042	1556
V	117163	1554
V	117278	1688
V	117392	1580
V	117507	1496
V	117621	1586
V	117742	1500
V	117855	1656
V	117972	1572
V	118085	1562
V	118199	1662
V	118310	1682
V	118431	1686
V	118543	1684
V	118663	1534
V	118778	1614
V	118887	1588
V	119004	1494
V	119120	1650
V	119235	1654
V	119354	1664
V	119475	1678
V	119596	1616
V	119710	1492
V	119826	1602
V	119939	1540
V	120054	1628
V	120175	1604
V	120294	1690
V	120408	1566
V	120521	1698
V	120636	1560
V	120757	1692
V	120874	1696
V	120995	1504
V	121108	1544
V	121222	1530
V	121343	1508
V	121464	1694
V	121575	1624
V	121692	1548
V	121804	1598
V	121918	1658
V	122039	1536
V	122153	1568
V	122273	1648
V	122388	1646
V	122508	1672
V	122632	1600
V	122749	1622
V	122863	1632
V	122980	1608
V	123096	1576
V	123218	1590
V	123322	1514
V	123438	1498
V	123559	1674
V	123674	1522
V	123791	1570
V	123913	1516
V	124027	1506
V	124148	1626
V	124265	1542
V	124384	1610
V	124505	1638
V	124626	1582
V	124742	1510
V	124856	1526
V	124977	1644
V	125094	1680
V	125216	1584
V	125337	1620
V	125455	1666
V	125570	1652
V	125692	1578
V	125812	1538
V	125933	1556
V	126054	1554
V	126172	1688
V	126286	1580
V	126401	1496
V	126517	1494
V	126633	1650
V	126748	1654
V	126867	1664
V	126988	1678
V	127109	1616
V	127223	1492
V	127338	1602
V	127455	1540
V	127568	1628
V	127689	1604
V	127808	1690
V	127922	1566
V	128035	1698
V	128150	1560
V	128271	1692
V	128387	1696
V	128509	1504
V	128622	1544
V	128738	1530
V	128859	1508
V	128980	1694
V	129091	1624
V	129208	1548
V	129320	1598
V	129434	1658
V	129555	1536
V	129673	1568
V	129794	1648
V	129909	1646
V	130030	1672
V	130144	1600
V	130261	1522
V	130378	1570
V	130497	1516
V	130611	1506
V	130732	1626
V	130849	1542
V	130968	1610
V	131089	1638
V	131210	1582
V	131326	1510
V	131440	1526
V	131561	1644
V	131678	1680
V	131800	1584
V	131918	1620
V	132036	1666
V	132152	1592
V	132264	1618
V	132377	1612
V	132492	1586
V	132613	1500
V	132726	1656
V	132841	1572
V	132954	1562
V	133069	1662
V	133180	1682
V	133301	1686
V	133417	1684
V	133537	1534
V	133653	1614
V	133764	1588
V	133881	1622
V	133995	1632
V	134112	1608
V	134228	1576
V	134350	1590
V	134454	1514
V	134573	1498
V	134694	1674
V	134809	1652
V	134927	1578
V	135048	1538
V	135169	1556
V	135290	1554
V	135401	1688
V	135515	1580
V	135630	1496
V	135743	1494
V	135859	1650
V	135974	1654
V	136093	1664
V	136214	1678
V	136334	1616
V	136448	1492
V	136559	1602
V	136678	1540
V	136793	1628
V	136914	1604
V	137033	1690
V	137147	1566
V	137260	1698
V	137375	1560
V	137496	1692
V	137615	1696
V	137734	1504
V	137847	1544
V	137963	1530
V	138084	1508
V	138205	1694
V	138316	1624
V	138433	1548
V	138545	1598
V	138658	1658
V	138779	1536
V	138894	1568
V	139013	1648
V	139128	1646
V	139250	1672
V	139373	1600
V	139490	1522
V	139607	1570
V	139728	1516
V	139842	1506
V	139963	1626
V	140080	1542
V	140199	1610
V	140320	1638
V	140441	1582
V	140556	1510
V	140670	1526
V	140791	1644
V	140908	1680
V	141029	1584
V	141147	1620
V	141265	1666
V	141382	1592
V	141494	1618
V	141607	1612
V	141722	1586
V	141843	1500
V	141956	1656
V	142071	1572
V	142184	1562
V	142298	1662
V	142409	1682
V	142530	1686
V	142644	1684
V	142764	1534
V	142878	1614
V	142987	1588
V	143104	1622
V	143218	1632
V	143339	1608
V	143455	1576
V	143577	1590
V	143681	1514
V	143800	1498
V	143921	1674
V	144036	1652
V	144153	1578
V	144274	1538
V	144395	1556
V	144516	1554
V	144632	1688
V	144746	1580
V	144861	1496
V	144975	1494
V	145091	1650
V	145206	1654
V	145325	1664
V	145446	1678
V	145567	1616
V	145681	1492
V	145797	1602
V	145910	1540
V	146029	1628
V	146150	1604
V	146269	1690
V	146383	1566
V	146496	1698
V	146611	1560
V	146732	1692
V	146848	1696
V	146970	1504
V	147083	1544
V	147199	1530
V	147320	1508
V	147441	1694
V	147552	1624
V	147669	1548
V	147781	1598
V	147896	1658
V	148017	1536
V	148131	1568
V	148247	1648
V	148362	1646
V	148484	1672
V	148598	1600
V	148715	1522
V	148832	1570
V	148954	1516
V	149068	1506
V	149189	1626
V	149306	1542
V	149425	1610
V	149546	1638
V	149667	1582
V	149782	1510
V	149896	1526
V	150017	1644
V	150134	1680
V	150254	1584
V	150372	1620
V	150490	1666
V	150604	1592
V	150716	1618
V	150829	1612
V	150944	1586
V	151065	1500
V	151178	1656
V	151292	1572
V	151405	1562
V	151520	1662
V	151631	1682
V	151752	1686
V	151869	1684
V	151989	1534
V	152102	1614
V	152216	1588
V	152333	1622
V	152448	1632
V	152569	1608
V	152685	1576
V	152807	1590
V	152911	1514
V	153030	1498
V	153151	1674
V	153266	1652
V	153388	1578
V	153509	1538
V	153630	1556
V	153751	1554
V	153865	1688
V	153979	1580
V	154094	1496
V	154213	1494
V	154329	1650
V	154444	1654
V	154563	1664
V	154684	1678
V	154805	1616
V	154920	1492
V	155034	1602
V	155151	1540
V	155265	1628
V	155386	1604
V	155505	1690
V	155619	1566
V	155732	1698
V	155847	1560
V	155968	1692
V	156087	1696
V	156206	1504
V	156319	1544
V	156433	1530
V	156554	1508
V	156675	1694
V	156786	1624
V	156903	1548
V	157015	1598
V	157129	1658
V	157250	1536
V	157364	1568
V	157475	1648
V	157590	1646
V	157712	1672
V	157836	1600
V	157953	1522
V	158070	1570
V	158192	1516
V	158306	1506
V	158427	1626
V	158544	1542
V	158663	1610
V	158784	1638
V	158905	1582
V	159021	1510
V	159135	1526
V	159256	1644
V	159373	1680
V	159495	1584
V	159613	1620
V	159731	1666
V	159846	1592
V	159958	1618
V	160071	1612
V	160186	1586
V	160307	1500
V	160420	1656
V	160536	1572
V	160649	1562
V	160764	1662
V	160875	1682
V	160996	1686
V	161111	1684
V	161231	1534
V	161347	1614
V	161462	1588
V	161579	1622
V	161693	1632
V	161810	1608
V	161926	1576
V	162048	1590
V	162152	1514
V	162267	1498
V	162388	1674
V	162503	1652
V	162625	1578
V	162746	1538
V	162867	1556
V	162988	1554
V	163104	1688
V	163218	1580
V	163333	1496
V	163447	1494
V	163563	1650
V	163678	1654
V	163797	1664
V	163918	1678
V	164039	1616
V	164154	1492
V	164270	1602
V	164383	1540
V	164498	1628
V	164619	1604
V	164738	1690
V	164852	1566
V	164965	1698
V	165080	1560
V	165201	1692
V	165320	1696
V	165440	1504
V	165553	1544
V	165667	1530
V	165788	1508
V	165909	1694
V	166020	1624
V	166137	1548
V	166249	1598
V	166364	1658
V	166485	1536
V	166600	1568
V	166718	1648
V	166833	1646
V	166953	1672
V	167077	1600
V	167194	1522
V	167311	1570
V	167433	1516
V	167547	1506
V	167668	1626
V	167785	1542
V	167904	1610
V	168025	1638
V	168146	1582
V	168261	1510
V	168375	1526
V	168496	1644
V	168613	1680
V	168735	1584
V	168853	1620
V	168971	1666
V	169086	1592
V	169198	1618
V	169311	1612
V	169426	1586
V	169547	1500
V	169660	1656
V	169776	1572
V	169889	1562
V	170003	1662
V	170114	1682
V	170235	1686
V	170349	1684
V	170469	1534
V	170582	1614
V	170698	1588
V	170815	1622
V	170929	1632
V	171046	1608
V	171162	1576
V	171284	1590
V	171388	1514
V	171504	1498
V	171625	1674
V	171740	1652
V	171862	1578
V	171983	1538
V	172104	1556
V	172225	1554
V	172340	1688
V	172454	1580
V	172569	1496
V	172684	1494
V	172800	1650
V	172915	1654
V	173034	1664
V	173155	1678
V	173276	1616
V	173391	1492
V	173506	1602
V	173623	1540
V	173734	1628
V	173855	1604
V	173969	1690
V	174083	1566
V	174196	1698
V	174311	1560
V	174432	1692
V	174549	1696
V	174671	1504
V	174784	1544
V	174898	1530
V	175019	1508
V	175140	1694
V	175251	1624
V	175368	1548
V	175480	1598
V	175594	1658
V	175715	1536
V	175829	1568
V	175949	1648
V	176064	1646
V	176185	1672
V	176300	1600
V	176417	1522
V	176534	1570
V	176656	1516
V	176770	1506
V	176891	1626
V	177008	1542
V	177127	1610
V	177248	1638
V	177369	1582
V	177480	1510
V	177594	1526
V	177715	1644
V	177832	1680
V	177954	1584
V	178072	1620
V	178190	1666
V	178306	1592
V	178418	1618
V	178531	1612
V	178646	1586
V	178767	1500
V	178880	1656
V	178994	1572
V	179107	1562
V	179223	1662
V	179334	1682
V	179455	1686
V	179570	1684
V	179691	1534
V	179805	1614
V	179921	1588
V	180038	1622
V	180152	1632
V	180269	1608
V	180385	1576
V	180507	1590
V	180611	1514
V	180726	1498
V	180847	1674
V	180962	1652
V	181084	1578
V	181205	1538
V	181326	1556
V	181447	1554
V	181561	1688
V	181675	1580
V	181790	1496
V	181905	1494
V	182021	1650
V	182136	1654
V	182255	1664
V	182376	1678
V	182497	1616
V	182612	1492
V	182726	1602
V	182845	1540
V	182961	1628
V	183082	1604
V	183199	1690
V	183313	1566
V	183426	1698
V	183541	1560
V	183662	1692
V	183783	1696
V	183904	1504
V	184017	1544
V	184131	1530
V	184252	1508
V	184367	1694
V	184483	1624
V	184600	1548
V	184712	1598
V	184826	1658
V	184947	1536
V	185061	1568
V	185181	1648
V	185296	1646
V	185416	1672
V	185531	1600
V	185648	1522
V	185765	1570
V	185887	1516
V	186001	1506
V	186122	1626
V	186239	1542
V	186358	1610
V	186479	1638
V	186600	1582
V	186716	1510
V	186830	1526
V	186951	1644
V	187068	1680
V	187190	1584
V	187311	1620
V	187429	1666
V	187543	1592
V	187655	1618
V	187768	1612
V	187883	1586
V	188004	1500
V	188117	1656
V	188232	1572
V	188345	1562
V	188461	1662
V	188572	1682
V	188693	1686
V	188807	1684
V	188927	1534
V	189042	1614
V	189155	1588
V	189272	1622
V	189386	1632
V	189503	1608
V	189619	1576
V	189741	1590
V	189845	1514
V	189961	1498
V	190082	1674
V	190197	1652
V	190318	1578
V	190439	1538
V	190560	1556
V	190681	1554
V	190797	1688
V	190911	1580
V	191026	1496
V	191142	1494
V	191258	1650
V	191373	1654
V	191492	1664
V	191613	1678
V	191734	1616
V	191848	1492
V	191964	1602
V	192083	1540
V	192198	1628
V	192319	1604
V	192433	1690
V	192547	1566
V	192660	1698
V	192775	1560
V	192896	1692
V	193017	1696
V	193138	1504
V	193251	1544
V	193367	1530
V	193488	1508
V	193609	1694
V	193724	1624
V	193841	1548
V	193953	1598
V	194068	1658
V	194189	1536
V	194304	1568
V	194420	1648
V	194535	1646
V	194656	1672
V	194770	1600
V	194887	1522
V	195004	1570
V	195126	1516
V	195240	1506
V	195361	1626
V	195478	1542
V	195597	1610
V	195718	1638
V	195839	1582
V	195953	1510
V	196067	1526
V	196188	1644
V	196305	1680
V	196427	1584
V	196548	1620
V	196666	1666
V	196781	1592
V	196893	1618
V	197006	1612
V	197121	1586
V	197242	1500
V	197355	1656
V	197469	1572
V	197582	1562
V	197696	1662
V	197807	1682
V	197928	1686
V	198040	1684
V	198161	1534
V	198276	1614
V	198386	1588
V	198503	1622
V	198620	1632
V	198737	1608
V	198853	1576
V	198975	1590
V	199079	1514
V	199198	1498
V	199319	1674
V	199434	1652
V	199552	1578
V	199672	1538
V	199793	1556
V	199914	1554
V	200029	1688
V	200143	1580
V	200258	1496
V	200372	1494
V	200488	1650
V	200603	1654
V	200722	1664
V	200843	1678
V	200964	1616
V	201079	1492
V	201194	1602
V	201313	1540
V	201429	1628
V	201550	1604
V	201667	1690
V	201781	1566
V	201894	1698
V	202009	1560
V	202130	1692
V	202251	1696
V	202374	1504
V	202487	1544
V	202603	1530
V	202724	1508
V	202839	1694
V	202955	1624
V	203072	1548
V	203184	1598
