\P\	PurchaseOrderID	RevisionNumber	Status	EmployeeID	VendorID	ShipMethodID	OrderDate	ShipDate	SubTotal	TaxAmt	Freight	TotalDue	ModifiedDate\
V	48	4	4	256	1584	5	2012-01-16 00:00:00	2012-01-25 00:00:00	16340.31	1307.2248	408.5078	18056.0426	2012-01-25 00:00:00
V	49	4	4	259	1620	5	2012-01-20 00:00:00	2012-01-29 00:00:00	5711.475	456.918	142.7869	6311.1799	2012-01-29 00:00:00
V	50	5	4	260	1666	5	2012-01-20 00:00:00	2012-01-29 00:00:00	429.345	34.3476	10.7336	474.4262	2012-01-29 00:00:00
V	51	4	4	258	1592	2	2012-01-20 00:00:00	2012-01-29 00:00:00	97.965	7.8372	2.4491	108.2513	2012-01-29 00:00:00
V	52	4	4	254	1618	4	2012-01-20 00:00:00	2012-01-29 00:00:00	114.471	9.1577	2.8618	126.4905	2012-01-29 00:00:00
V	53	4	4	252	1612	4	2012-01-24 00:00:00	2012-02-02 00:00:00	132.6465	10.6117	3.3162	146.5744	2012-02-02 00:00:00
V	54	6	3	261	1586	5	2012-01-24 00:00:00	2012-02-02 00:00:00	43878.45	3510.276	1096.9613	48485.6873	2012-02-02 00:00:00
V	55	4	4	251	1500	1	2012-01-24 00:00:00	2012-02-02 00:00:00	418.95	33.516	10.4738	462.9398	2012-02-02 00:00:00
V	56	4	4	253	1656	4	2012-01-24 00:00:00	2012-02-02 00:00:00	525.7665	42.0613	13.1442	580.972	2012-02-02 00:00:00
V	57	4	4	255	1572	1	2012-01-24 00:00:00	2012-02-02 00:00:00	461.79	36.9432	11.5448	510.278	2012-02-02 00:00:00
V	58	4	4	256	1562	4	2012-01-24 00:00:00	2012-02-02 00:00:00	630.378	50.4302	15.7595	696.5677	2012-02-02 00:00:00
V	59	9	4	259	1662	2	2012-01-24 00:00:00	2012-02-02 00:00:00	37.0755	2.966	0.9269	40.9684	2012-02-02 00:00:00
V	60	4	4	260	1682	4	2012-01-24 00:00:00	2012-02-02 00:00:00	21558.075	1724.646	538.9519	23821.6729	2012-02-02 00:00:00
V	61	4	4	258	1686	4	2012-01-24 00:00:00	2012-02-02 00:00:00	507.087	40.567	12.6772	560.3312	2012-02-02 00:00:00
V	62	4	4	254	1684	5	2012-01-24 00:00:00	2012-02-02 00:00:00	41048.7	3283.896	1026.2175	45358.8135	2012-02-02 00:00:00
V	63	4	4	257	1534	5	2012-01-24 00:00:00	2012-02-02 00:00:00	429.345	34.3476	10.7336	474.4262	2012-02-02 00:00:00
V	64	5	3	261	1614	5	2012-01-24 00:00:00	2012-02-02 00:00:00	279.153	22.3322	6.9788	308.464	2012-02-02 00:00:00
V	65	4	4	251	1588	5	2012-01-24 00:00:00	2012-02-02 00:00:00	40471.2	3237.696	1011.78	44720.676	2012-02-02 00:00:00
V	66	5	4	253	1622	5	2012-01-24 00:00:00	2012-02-02 00:00:00	563.5665	45.0853	14.0892	622.741	2012-02-02 00:00:00
V	67	4	4	255	1632	5	2012-01-24 00:00:00	2012-02-02 00:00:00	62092.8	4967.424	1552.32	68612.544	2012-02-02 00:00:00
V	68	5	4	256	1608	5	2012-01-24 00:00:00	2012-02-02 00:00:00	5948.25	475.86	148.7063	6572.8163	2012-02-02 00:00:00
V	69	4	4	259	1576	5	2012-01-25 00:00:00	2012-02-03 00:00:00	91117.95	7289.436	2277.9488	100685.3348	2012-02-03 00:00:00
V	70	5	4	260	1590	1	2012-01-25 00:00:00	2012-02-03 00:00:00	525	42	13.125	580.125	2012-02-03 00:00:00
V	71	4	4	258	1514	5	2012-01-25 00:00:00	2012-02-03 00:00:00	2003.6835	160.2947	50.0921	2214.0703	2012-02-03 00:00:00
V	72	4	4	254	1498	4	2012-01-25 00:00:00	2012-02-03 00:00:00	26455.275	2116.422	661.3819	29233.0789	2012-02-03 00:00:00
V	73	4	4	257	1674	2	2012-02-09 00:00:00	2012-02-18 00:00:00	944.37	75.5496	23.6093	1043.5289	2012-02-18 00:00:00
V	74	6	3	261	1652	4	2012-02-09 00:00:00	2012-02-18 00:00:00	44594.55	3567.564	1114.8638	49276.9778	2012-02-18 00:00:00
V	75	4	4	251	1578	3	2012-02-09 00:00:00	2012-02-18 00:00:00	62843.55	5027.484	1571.0888	69442.1228	2012-02-18 00:00:00
V	76	4	4	253	1538	5	2012-02-09 00:00:00	2012-02-18 00:00:00	37843.575	3027.486	946.0894	41817.1504	2012-02-18 00:00:00
V	77	4	4	252	1556	4	2012-02-09 00:00:00	2012-02-18 00:00:00	25531.275	2042.502	638.2819	28212.0589	2012-02-18 00:00:00
V	78	4	4	256	1554	5	2012-02-09 00:00:00	2012-02-18 00:00:00	694.1655	55.5332	17.3541	767.0528	2012-02-18 00:00:00
V	79	4	4	259	1688	4	2012-02-09 00:00:00	2012-02-18 00:00:00	125.748	10.0598	3.1437	138.9515	2012-02-18 00:00:00
V	80	4	4	260	1580	5	2012-02-09 00:00:00	2012-02-18 00:00:00	150.7905	12.0632	3.7698	166.6235	2012-02-18 00:00:00
V	81	4	4	258	1496	5	2012-02-09 00:00:00	2012-02-18 00:00:00	560.007	44.8006	14.0002	618.8078	2012-02-18 00:00:00
V	82	5	4	254	1494	2	2012-02-09 00:00:00	2012-02-18 00:00:00	8847.3	707.784	221.1825	9776.2665	2012-02-18 00:00:00
V	83	4	4	257	1650	5	2012-02-09 00:00:00	2012-02-18 00:00:00	171.0765	13.6861	4.2769	189.0395	2012-02-18 00:00:00
V	84	4	3	261	1654	4	2012-02-09 00:00:00	2012-02-18 00:00:00	20397.3	1631.784	509.9325	22539.0165	2012-02-18 00:00:00
V	85	4	4	251	1664	3	2012-02-09 00:00:00	2012-02-18 00:00:00	14628.075	1170.246	365.7019	16164.0229	2012-02-18 00:00:00
V	86	5	4	253	1678	3	2012-02-09 00:00:00	2012-02-18 00:00:00	58685.55	4694.844	1467.1388	64847.5328	2012-02-18 00:00:00
V	87	4	4	255	1616	5	2012-02-09 00:00:00	2012-02-18 00:00:00	773.01	61.8408	19.3253	854.1761	2012-02-18 00:00:00
V	88	5	4	252	1492	5	2012-02-09 00:00:00	2012-02-18 00:00:00	656.586	52.5269	16.4147	725.5276	2012-02-18 00:00:00
V	89	4	4	259	1602	5	2012-02-23 00:00:00	2012-03-03 00:00:00	1796.0355	143.6828	44.9009	1984.6192	2012-03-03 00:00:00
V	90	4	4	260	1540	4	2012-02-23 00:00:00	2012-03-03 00:00:00	358.6275	28.6902	8.9657	396.2834	2012-03-03 00:00:00
V	91	4	4	258	1628	5	2012-02-23 00:00:00	2012-03-03 00:00:00	34644.225	2771.538	866.1056	38281.8686	2012-03-03 00:00:00
V	92	4	4	250	1604	4	2012-02-23 00:00:00	2012-03-03 00:00:00	257.5755	20.606	6.4394	284.6209	2012-03-03 00:00:00
V	93	4	4	257	1690	5	2012-02-27 00:00:00	2012-03-07 00:00:00	146.286	11.7029	3.6572	161.6461	2012-03-07 00:00:00
V	94	4	3	261	1566	5	2012-02-27 00:00:00	2012-03-07 00:00:00	102.564	8.2051	2.5641	113.3332	2012-03-07 00:00:00
V	95	4	4	251	1698	5	2012-02-27 00:00:00	2012-03-07 00:00:00	150.7905	12.0632	3.7698	166.6235	2012-03-07 00:00:00
V	96	4	4	253	1560	5	2012-02-27 00:00:00	2012-03-07 00:00:00	13669.425	1093.554	341.7356	15104.7146	2012-03-07 00:00:00
V	97	6	4	255	1692	5	2012-03-08 00:00:00	2012-03-17 00:00:00	16393.23	1311.4584	409.8308	18114.5192	2012-03-17 00:00:00
V	98	4	4	256	1696	4	2012-03-08 00:00:00	2012-03-17 00:00:00	73377.15	5870.172	1834.4288	81081.7508	2012-03-17 00:00:00
V	99	4	4	259	1504	1	2012-03-08 00:00:00	2012-03-17 00:00:00	551.88	44.1504	13.797	609.8274	2012-03-17 00:00:00
V	100	4	4	260	1544	1	2012-03-08 00:00:00	2012-03-17 00:00:00	6987.75	559.02	174.6938	7721.4638	2012-03-17 00:00:00
V	101	5	4	258	1530	2	2012-03-08 00:00:00	2012-03-17 00:00:00	28072.275	2245.782	701.8069	31019.8639	2012-03-17 00:00:00
V	102	4	4	254	1508	1	2012-03-08 00:00:00	2012-03-17 00:00:00	35394.975	2831.598	884.8744	39111.4474	2012-03-17 00:00:00
V	103	4	4	257	1694	1	2012-03-08 00:00:00	2012-03-17 00:00:00	3407.25	272.58	85.1813	3765.0113	2012-03-17 00:00:00
V	104	4	3	261	1624	2	2012-03-08 00:00:00	2012-03-17 00:00:00	28297.5	2263.8	707.4375	31268.7375	2012-03-17 00:00:00
V	105	4	4	251	1548	2	2012-03-08 00:00:00	2012-03-17 00:00:00	59.9445	4.7956	1.4986	66.2387	2012-03-17 00:00:00
V	106	4	4	253	1598	4	2012-03-08 00:00:00	2012-03-17 00:00:00	332.955	26.6364	8.3239	367.9153	2012-03-17 00:00:00
V	107	4	4	255	1658	5	2012-03-08 00:00:00	2012-03-17 00:00:00	43878.45	3510.276	1096.9613	48485.6873	2012-03-17 00:00:00
V	108	4	4	256	1536	4	2012-03-08 00:00:00	2012-03-17 00:00:00	674.3835	53.9507	16.8596	745.1938	2012-03-17 00:00:00
V	109	4	4	259	1568	2	2012-03-08 00:00:00	2012-03-17 00:00:00	31398.675	2511.894	784.9669	34695.5359	2012-03-17 00:00:00
V	110	4	4	250	1648	5	2012-03-08 00:00:00	2012-03-17 00:00:00	142.4115	11.3929	3.5603	157.3647	2012-03-17 00:00:00
V	111	4	4	258	1646	5	2012-03-08 00:00:00	2012-03-17 00:00:00	19236.525	1538.922	480.9131	21256.3601	2012-03-17 00:00:00
V	112	4	4	254	1672	4	2012-03-08 00:00:00	2012-03-17 00:00:00	272.4435	21.7955	6.8111	301.0501	2012-03-17 00:00:00
V	113	5	4	257	1600	1	2012-03-09 00:00:00	2012-03-18 00:00:00	1276.275	102.102	31.9069	1410.2839	2012-03-18 00:00:00
V	114	4	3	261	1522	1	2012-03-09 00:00:00	2012-03-18 00:00:00	2003.925	160.314	50.0981	2214.3371	2012-03-18 00:00:00
V	115	4	4	251	1570	2	2012-03-09 00:00:00	2012-03-18 00:00:00	50860.425	4068.834	1271.5106	56200.7696	2012-03-18 00:00:00
V	116	4	4	253	1516	1	2012-03-09 00:00:00	2012-03-18 00:00:00	454.86	36.3888	11.3715	502.6203	2012-03-18 00:00:00
V	117	4	4	255	1506	5	2012-03-09 00:00:00	2012-03-18 00:00:00	43878.45	3510.276	1096.9613	48485.6873	2012-03-18 00:00:00
V	118	5	4	256	1626	2	2012-03-09 00:00:00	2012-03-18 00:00:00	7132.125	570.57	178.3031	7880.9981	2012-03-18 00:00:00
V	119	4	4	259	1542	2	2012-03-09 00:00:00	2012-03-18 00:00:00	28343.7	2267.496	708.5925	31319.7885	2012-03-18 00:00:00
V	120	4	4	260	1610	4	2012-03-09 00:00:00	2012-03-18 00:00:00	22516.725	1801.338	562.9181	24880.9811	2012-03-18 00:00:00
V	121	4	4	250	1638	5	2012-03-09 00:00:00	2012-03-18 00:00:00	34644.225	2771.538	866.1056	38281.8686	2012-03-18 00:00:00
V	122	4	4	254	1582	4	2012-03-09 00:00:00	2012-03-18 00:00:00	266.238	21.299	6.656	294.193	2012-03-18 00:00:00
V	123	5	4	257	1510	5	2012-03-09 00:00:00	2012-03-18 00:00:00	143.0415	11.4433	3.576	158.0608	2012-03-18 00:00:00
V	124	4	3	261	1526	2	2012-03-09 00:00:00	2012-03-18 00:00:00	28199.325	2255.946	704.9831	31160.2541	2012-03-18 00:00:00
V	125	4	4	251	1644	1	2012-03-09 00:00:00	2012-03-18 00:00:00	3713.325	297.066	92.8331	4103.2241	2012-03-18 00:00:00
V	126	4	4	253	1680	5	2012-03-09 00:00:00	2012-03-18 00:00:00	63831.075	5106.486	1595.7769	70533.3379	2012-03-18 00:00:00
V	127	4	4	255	1584	5	2012-03-09 00:00:00	2012-03-18 00:00:00	16340.31	1307.2248	408.5078	18056.0426	2012-03-18 00:00:00
V	128	4	4	256	1620	5	2012-03-09 00:00:00	2012-03-18 00:00:00	5711.475	456.918	142.7869	6311.1799	2012-03-18 00:00:00
V	129	4	4	259	1666	4	2012-03-14 00:00:00	2012-03-23 00:00:00	665.028	53.2022	16.6257	734.8559	2012-03-23 00:00:00
V	130	4	4	260	1592	2	2012-03-14 00:00:00	2012-03-23 00:00:00	97.965	7.8372	2.4491	108.2513	2012-03-23 00:00:00
V	131	4	4	258	1618	4	2012-03-14 00:00:00	2012-03-23 00:00:00	114.471	9.1577	2.8618	126.4905	2012-03-23 00:00:00
V	132	6	4	254	1612	4	2012-03-14 00:00:00	2012-03-23 00:00:00	132.6465	10.6117	3.3162	146.5744	2012-03-23 00:00:00
V	133	4	4	257	1586	5	2012-03-28 00:00:00	2012-04-06 00:00:00	43878.45	3510.276	1096.9613	48485.6873	2012-04-06 00:00:00
V	134	4	3	261	1500	1	2012-03-28 00:00:00	2012-04-06 00:00:00	418.95	33.516	10.4738	462.9398	2012-04-06 00:00:00
V	135	4	4	251	1656	4	2012-03-28 00:00:00	2012-04-06 00:00:00	3413.2455	273.0596	85.3311	3771.6362	2012-04-06 00:00:00
V	136	4	4	253	1572	1	2012-03-28 00:00:00	2012-04-06 00:00:00	461.79	36.9432	11.5448	510.278	2012-04-06 00:00:00
V	137	6	4	255	1562	4	2012-04-11 00:00:00	2012-04-20 00:00:00	722.4525	57.7962	18.0613	798.31	2012-04-20 00:00:00
V	138	4	4	256	1662	2	2012-04-11 00:00:00	2012-04-20 00:00:00	37.0755	2.966	0.9269	40.9684	2012-04-20 00:00:00
V	139	5	4	252	1682	4	2012-04-11 00:00:00	2012-04-20 00:00:00	21558.075	1724.646	538.9519	23821.6729	2012-04-20 00:00:00
V	140	4	4	260	1686	4	2012-04-11 00:00:00	2012-04-20 00:00:00	351.855	28.1484	8.7964	388.7998	2012-04-20 00:00:00
V	141	4	4	258	1684	4	2012-04-11 00:00:00	2012-04-20 00:00:00	45172.05	3613.764	1129.3013	49915.1153	2012-04-20 00:00:00
V	142	6	4	254	1534	4	2012-04-11 00:00:00	2012-04-20 00:00:00	267.183	21.3746	6.6796	295.2372	2012-04-20 00:00:00
V	143	4	4	257	1614	5	2012-04-11 00:00:00	2012-04-20 00:00:00	415.8	33.264	10.395	459.459	2012-04-20 00:00:00
V	144	5	3	261	1588	5	2012-04-11 00:00:00	2012-04-20 00:00:00	40471.2	3237.696	1011.78	44720.676	2012-04-20 00:00:00
V	145	4	4	250	1622	4	2012-04-11 00:00:00	2012-04-20 00:00:00	662.0985	52.9679	16.5525	731.6189	2012-04-20 00:00:00
V	146	4	4	253	1632	5	2012-04-11 00:00:00	2012-04-20 00:00:00	62092.8	4967.424	1552.32	68612.544	2012-04-20 00:00:00
V	147	4	4	255	1608	5	2012-04-11 00:00:00	2012-04-20 00:00:00	5948.25	475.86	148.7063	6572.8163	2012-04-20 00:00:00
V	148	4	4	256	1576	5	2012-04-11 00:00:00	2012-04-20 00:00:00	91117.95	7289.436	2277.9488	100685.3348	2012-04-20 00:00:00
V	149	4	4	259	1590	1	2012-04-11 00:00:00	2012-04-20 00:00:00	525	42	13.125	580.125	2012-04-20 00:00:00
V	150	4	4	260	1514	5	2012-04-11 00:00:00	2012-04-20 00:00:00	2003.6835	160.2947	50.0921	2214.0703	2012-04-20 00:00:00
V	151	5	4	258	1498	4	2012-04-11 00:00:00	2012-04-20 00:00:00	26455.275	2116.422	661.3819	29233.0789	2012-04-20 00:00:00
V	152	4	4	254	1674	2	2012-04-11 00:00:00	2012-04-20 00:00:00	944.37	75.5496	23.6093	1043.5289	2012-04-20 00:00:00
V	153	4	4	252	1652	1	2012-05-02 00:00:00	2012-05-11 00:00:00	6993.525	559.482	174.8381	7727.8451	2012-05-11 00:00:00
V	154	4	3	261	1578	3	2012-05-02 00:00:00	2012-05-11 00:00:00	36122.625	2889.81	903.0656	39915.5006	2012-05-11 00:00:00
V	155	4	4	251	1538	5	2012-05-02 00:00:00	2012-05-11 00:00:00	37843.575	3027.486	946.0894	41817.1504	2012-05-11 00:00:00
V	156	5	4	253	1556	4	2012-05-02 00:00:00	2012-05-11 00:00:00	25531.275	2042.502	638.2819	28212.0589	2012-05-11 00:00:00
V	157	4	4	255	1554	5	2012-05-30 00:00:00	2012-06-08 00:00:00	773.955	61.9164	19.3489	855.2203	2012-06-08 00:00:00
V	158	4	4	256	1688	4	2012-05-30 00:00:00	2012-06-08 00:00:00	125.748	10.0598	3.1437	138.9515	2012-06-08 00:00:00
V	159	4	4	259	1580	5	2012-05-30 00:00:00	2012-06-08 00:00:00	150.7905	12.0632	3.7698	166.6235	2012-06-08 00:00:00
V	160	4	4	260	1496	4	2012-05-30 00:00:00	2012-06-08 00:00:00	391.545	31.3236	9.7886	432.6572	2012-06-08 00:00:00
V	161	4	4	258	1494	2	2012-05-30 00:00:00	2012-06-08 00:00:00	8847.3	707.784	221.1825	9776.2665	2012-06-08 00:00:00
V	162	4	4	254	1650	5	2012-05-30 00:00:00	2012-06-08 00:00:00	171.0765	13.6861	4.2769	189.0395	2012-06-08 00:00:00
V	163	4	4	257	1654	4	2012-05-30 00:00:00	2012-06-08 00:00:00	20397.3	1631.784	509.9325	22539.0165	2012-06-08 00:00:00
V	164	4	3	261	1664	3	2012-05-30 00:00:00	2012-06-08 00:00:00	14628.075	1170.246	365.7019	16164.0229	2012-06-08 00:00:00
V	165	4	4	251	1678	3	2012-05-30 00:00:00	2012-06-08 00:00:00	58685.55	4694.844	1467.1388	64847.5328	2012-06-08 00:00:00
V	166	4	4	253	1616	4	2012-05-30 00:00:00	2012-06-08 00:00:00	481.887	38.551	12.0472	532.4852	2012-06-08 00:00:00
V	167	4	4	255	1492	4	2012-05-30 00:00:00	2012-06-08 00:00:00	710.955	56.8764	17.7739	785.6053	2012-06-08 00:00:00
V	168	4	4	256	1602	5	2012-05-30 00:00:00	2012-06-08 00:00:00	1796.0355	143.6828	44.9009	1984.6192	2012-06-08 00:00:00
V	169	4	4	259	1540	4	2012-05-30 00:00:00	2012-06-08 00:00:00	664.3035	53.1443	16.6076	734.0554	2012-06-08 00:00:00
V	170	4	4	260	1628	5	2012-05-30 00:00:00	2012-06-08 00:00:00	34644.225	2771.538	866.1056	38281.8686	2012-06-08 00:00:00
V	171	4	4	258	1604	3	2012-05-30 00:00:00	2012-06-08 00:00:00	1581.93	126.5544	39.5483	1748.0327	2012-06-08 00:00:00
V	172	4	4	254	1690	5	2012-05-30 00:00:00	2012-06-08 00:00:00	146.286	11.7029	3.6572	161.6461	2012-06-08 00:00:00
V	173	4	4	257	1566	5	2012-06-11 00:00:00	2012-06-20 00:00:00	102.564	8.2051	2.5641	113.3332	2012-06-20 00:00:00
V	174	4	3	261	1698	5	2012-06-11 00:00:00	2012-06-20 00:00:00	150.7905	12.0632	3.7698	166.6235	2012-06-20 00:00:00
V	175	4	4	251	1560	5	2012-06-11 00:00:00	2012-06-20 00:00:00	13669.425	1093.554	341.7356	15104.7146	2012-06-20 00:00:00
V	176	4	4	253	1692	5	2012-06-11 00:00:00	2012-06-20 00:00:00	13458.69	1076.6952	336.4673	14871.8525	2012-06-20 00:00:00
V	177	4	4	252	1696	2	2012-06-22 00:00:00	2012-07-01 00:00:00	101720.85	8137.668	2543.0213	112401.5393	2012-07-01 00:00:00
V	178	4	4	256	1504	1	2012-06-22 00:00:00	2012-07-01 00:00:00	551.88	44.1504	13.797	609.8274	2012-07-01 00:00:00
V	179	4	4	259	1544	1	2012-06-22 00:00:00	2012-07-01 00:00:00	6987.75	559.02	174.6938	7721.4638	2012-07-01 00:00:00
V	180	4	4	260	1530	2	2012-06-22 00:00:00	2012-07-01 00:00:00	28072.275	2245.782	701.8069	31019.8639	2012-07-01 00:00:00
V	181	4	4	258	1508	1	2012-06-22 00:00:00	2012-07-01 00:00:00	1917.3	153.384	47.9325	2118.6165	2012-07-01 00:00:00
V	182	4	4	254	1694	1	2012-06-22 00:00:00	2012-07-01 00:00:00	4215.75	337.26	105.3938	4658.4038	2012-07-01 00:00:00
V	183	4	4	257	1624	2	2012-06-22 00:00:00	2012-07-01 00:00:00	28297.5	2263.8	707.4375	31268.7375	2012-07-01 00:00:00
V	184	4	3	261	1548	2	2012-06-22 00:00:00	2012-07-01 00:00:00	59.9445	4.7956	1.4986	66.2387	2012-07-01 00:00:00
V	185	4	4	251	1598	4	2012-06-22 00:00:00	2012-07-01 00:00:00	1055.565	84.4452	26.3891	1166.3993	2012-07-01 00:00:00
