\P\	CurrencyRateID	CurrencyRateDate	FromCurrencyCode	ToCurrencyCode	AverageRate	EndOfDayRate	ModifiedDate\
V	164	2011-06-12 00:00:00	USD	FRF	6.4499	6.4505	2011-06-12 00:00:00
V	165	2011-06-12 00:00:00	USD	GBP	0.6231	0.6232	2011-06-12 00:00:00
V	166	2011-06-12 00:00:00	USD	JPY	101.85	101.923	2011-06-12 00:00:00
V	167	2011-06-12 00:00:00	USD	MXN	9.3599	9.3599	2011-06-12 00:00:00
V	168	2011-06-12 00:00:00	USD	SAR	3.7507	3.7524	2011-06-12 00:00:00
V	169	2011-06-12 00:00:00	USD	VEB	638.5	638.58	2011-06-12 00:00:00
V	170	2011-06-13 00:00:00	USD	ARS	1	0.9992	2011-06-13 00:00:00
V	171	2011-06-13 00:00:00	USD	AUD	1.5769	1.5767	2011-06-13 00:00:00
V	172	2011-06-13 00:00:00	USD	BRL	1.9239	1.9179	2011-06-13 00:00:00
V	173	2011-06-13 00:00:00	USD	CAD	1.4683	1.4644	2011-06-13 00:00:00
V	174	2011-06-13 00:00:00	USD	CNY	8.237	8.2367	2011-06-13 00:00:00
V	175	2011-06-13 00:00:00	USD	DEM	1.9265	1.9262	2011-06-13 00:00:00
V	176	2011-06-13 00:00:00	USD	EUR	0.9849	0.9844	2011-06-13 00:00:00
V	177	2011-06-13 00:00:00	USD	FRF	6.4614	6.4607	2011-06-13 00:00:00
V	178	2011-06-13 00:00:00	USD	GBP	0.6229	0.6227	2011-06-13 00:00:00
V	179	2011-06-13 00:00:00	USD	JPY	102.55	102.4929	2011-06-13 00:00:00
V	180	2011-06-13 00:00:00	USD	MXN	9.3599	9.358	2011-06-13 00:00:00
V	181	2011-06-13 00:00:00	USD	SAR	3.7507	3.7448	2011-06-13 00:00:00
V	182	2011-06-13 00:00:00	USD	VEB	638.5	638.4199	2011-06-13 00:00:00
V	183	2011-06-14 00:00:00	USD	ARS	1	1.0007	2011-06-14 00:00:00
V	184	2011-06-14 00:00:00	USD	AUD	1.5708	1.5708	2011-06-14 00:00:00
V	185	2011-06-14 00:00:00	USD	BRL	1.9239	1.925	2011-06-14 00:00:00
V	186	2011-06-14 00:00:00	USD	CAD	1.4724	1.4738	2011-06-14 00:00:00
V	187	2011-06-14 00:00:00	USD	CNY	8.237	8.2375	2011-06-14 00:00:00
V	188	2011-06-14 00:00:00	USD	DEM	1.9345	1.9353	2011-06-14 00:00:00
V	189	2011-06-14 00:00:00	USD	EUR	0.989	0.9897	2011-06-14 00:00:00
V	190	2011-06-14 00:00:00	USD	FRF	6.4882	6.4886	2011-06-14 00:00:00
V	191	2011-06-14 00:00:00	USD	GBP	0.6238	0.6243	2011-06-14 00:00:00
V	192	2011-06-14 00:00:00	USD	JPY	102.33	102.394	2011-06-14 00:00:00
V	193	2011-06-14 00:00:00	USD	MXN	9.3499	9.351	2011-06-14 00:00:00
V	194	2011-06-14 00:00:00	USD	SAR	3.7505	3.7595	2011-06-14 00:00:00
V	195	2011-06-14 00:00:00	USD	VEB	638.5	638.5299	2011-06-14 00:00:00
V	196	2011-06-15 00:00:00	USD	ARS	1	0.999	2011-06-15 00:00:00
V	197	2011-06-15 00:00:00	USD	AUD	1.5741	1.5739	2011-06-15 00:00:00
V	198	2011-06-15 00:00:00	USD	BRL	1.9239	1.9139	2011-06-15 00:00:00
V	199	2011-06-15 00:00:00	USD	CAD	1.4742	1.4723	2011-06-15 00:00:00
V	200	2011-06-15 00:00:00	USD	CNY	8.237	8.2367	2011-06-15 00:00:00
V	201	2011-06-15 00:00:00	USD	DEM	1.9393	1.9391	2011-06-15 00:00:00
V	202	2011-06-15 00:00:00	USD	EUR	0.9916	0.9907	2011-06-15 00:00:00
V	203	2011-06-15 00:00:00	USD	FRF	6.5042	6.5038	2011-06-15 00:00:00
V	204	2011-06-15 00:00:00	USD	GBP	0.6256	0.6247	2011-06-15 00:00:00
V	205	2011-06-15 00:00:00	USD	JPY	102.09	102.055	2011-06-15 00:00:00
V	206	2011-06-15 00:00:00	USD	MXN	9.3499	9.343	2011-06-15 00:00:00
V	207	2011-06-15 00:00:00	USD	SAR	3.7505	3.7496	2011-06-15 00:00:00
V	208	2011-06-15 00:00:00	USD	VEB	638.5	638.5	2011-06-15 00:00:00
V	209	2011-06-16 00:00:00	USD	ARS	1	1.0007	2011-06-16 00:00:00
V	210	2011-06-16 00:00:00	USD	AUD	1.5706	1.5712	2011-06-16 00:00:00
V	211	2011-06-16 00:00:00	USD	BRL	1.9239	1.933	2011-06-16 00:00:00
V	212	2011-06-16 00:00:00	USD	CAD	1.4744	1.4755	2011-06-16 00:00:00
V	213	2011-06-16 00:00:00	USD	CNY	8.237	8.2372	2011-06-16 00:00:00
V	214	2011-06-16 00:00:00	USD	DEM	1.9378	1.9379	2011-06-16 00:00:00
V	215	2011-06-16 00:00:00	USD	EUR	0.9908	0.9911	2011-06-16 00:00:00
V	216	2011-06-16 00:00:00	USD	FRF	6.4991	6.4999	2011-06-16 00:00:00
V	217	2011-06-16 00:00:00	USD	GBP	0.6252	0.6256	2011-06-16 00:00:00
V	218	2011-06-16 00:00:00	USD	JPY	102.34	102.406	2011-06-16 00:00:00
V	219	2011-06-16 00:00:00	USD	MXN	9.3499	9.3499	2011-06-16 00:00:00
V	220	2011-06-16 00:00:00	USD	SAR	3.7505	3.7545	2011-06-16 00:00:00
V	221	2011-06-16 00:00:00	USD	VEB	638.5	638.5499	2011-06-16 00:00:00
V	222	2011-06-17 00:00:00	USD	ARS	1	0.9991	2011-06-17 00:00:00
V	223	2011-06-17 00:00:00	USD	AUD	1.5792	1.5786	2011-06-17 00:00:00
V	224	2011-06-17 00:00:00	USD	BRL	1.9239	1.9219	2011-06-17 00:00:00
V	225	2011-06-17 00:00:00	USD	CAD	1.48	1.4702	2011-06-17 00:00:00
V	226	2011-06-17 00:00:00	USD	CNY	8.237	8.237	2011-06-17 00:00:00
V	227	2011-06-17 00:00:00	USD	DEM	1.9443	1.9441	2011-06-17 00:00:00
V	228	2011-06-17 00:00:00	USD	EUR	0.994	0.9939	2011-06-17 00:00:00
V	229	2011-06-17 00:00:00	USD	FRF	6.521	6.5208	2011-06-17 00:00:00
V	230	2011-06-17 00:00:00	USD	GBP	0.6254	0.6248	2011-06-17 00:00:00
V	231	2011-06-17 00:00:00	USD	JPY	102.57	102.542	2011-06-17 00:00:00
V	232	2011-06-17 00:00:00	USD	MXN	9.3499	9.348	2011-06-17 00:00:00
V	233	2011-06-17 00:00:00	USD	SAR	3.7505	3.7442	2011-06-17 00:00:00
V	234	2011-06-17 00:00:00	USD	VEB	638.5	638.48	2011-06-17 00:00:00
V	235	2011-06-18 00:00:00	USD	ARS	1	1.0001	2011-06-18 00:00:00
V	236	2011-06-18 00:00:00	USD	AUD	1.5823	1.5831	2011-06-18 00:00:00
V	237	2011-06-18 00:00:00	USD	BRL	1.9239	1.933	2011-06-18 00:00:00
V	238	2011-06-18 00:00:00	USD	CAD	1.4802	1.4861	2011-06-18 00:00:00
V	239	2011-06-18 00:00:00	USD	CNY	8.237	8.2378	2011-06-18 00:00:00
V	240	2011-06-18 00:00:00	USD	DEM	1.9531	1.9531	2011-06-18 00:00:00
V	241	2011-06-18 00:00:00	USD	EUR	0.9986	0.999	2011-06-18 00:00:00
V	242	2011-06-18 00:00:00	USD	FRF	6.5503	6.5511	2011-06-18 00:00:00
V	243	2011-06-18 00:00:00	USD	GBP	0.6248	0.6254	2011-06-18 00:00:00
V	244	2011-06-18 00:00:00	USD	JPY	102.47	102.477	2011-06-18 00:00:00
V	245	2011-06-18 00:00:00	USD	MXN	9.3499	9.358	2011-06-18 00:00:00
V	246	2011-06-18 00:00:00	USD	SAR	3.7505	3.7578	2011-06-18 00:00:00
V	247	2011-06-18 00:00:00	USD	VEB	638.5	638.5099	2011-06-18 00:00:00
V	248	2011-06-19 00:00:00	USD	ARS	1	0.9993	2011-06-19 00:00:00
V	249	2011-06-19 00:00:00	USD	AUD	1.5825	1.5822	2011-06-19 00:00:00
V	250	2011-06-19 00:00:00	USD	BRL	1.9239	1.9179	2011-06-19 00:00:00
V	251	2011-06-19 00:00:00	USD	CAD	1.4823	1.4817	2011-06-19 00:00:00
V	252	2011-06-19 00:00:00	USD	CNY	8.237	8.2367	2011-06-19 00:00:00
V	253	2011-06-19 00:00:00	USD	DEM	1.9519	1.9516	2011-06-19 00:00:00
V	254	2011-06-19 00:00:00	USD	EUR	0.998	0.9973	2011-06-19 00:00:00
V	255	2011-06-19 00:00:00	USD	FRF	6.5465	6.5456	2011-06-19 00:00:00
V	256	2011-06-19 00:00:00	USD	GBP	0.6248	0.6245	2011-06-19 00:00:00
V	257	2011-06-19 00:00:00	USD	JPY	102.85	102.784	2011-06-19 00:00:00
V	258	2011-06-19 00:00:00	USD	MXN	9.3499	9.345	2011-06-19 00:00:00
V	259	2011-06-19 00:00:00	USD	SAR	3.7505	3.7482	2011-06-19 00:00:00
V	260	2011-06-19 00:00:00	USD	VEB	638.5	638.4299	2011-06-19 00:00:00
V	261	2011-06-20 00:00:00	USD	ARS	1	1.0004	2011-06-20 00:00:00
V	262	2011-06-20 00:00:00	USD	AUD	1.5808	1.5817	2011-06-20 00:00:00
V	263	2011-06-20 00:00:00	USD	BRL	1.9239	1.9279	2011-06-20 00:00:00
V	264	2011-06-20 00:00:00	USD	CAD	1.4795	1.4872	2011-06-20 00:00:00
V	265	2011-06-20 00:00:00	USD	CNY	8.237	8.237	2011-06-20 00:00:00
V	266	2011-06-20 00:00:00	USD	DEM	1.951	1.9511	2011-06-20 00:00:00
V	267	2011-06-20 00:00:00	USD	EUR	0.9975	0.9977	2011-06-20 00:00:00
V	268	2011-06-20 00:00:00	USD	FRF	6.5431	6.5434	2011-06-20 00:00:00
V	269	2011-06-20 00:00:00	USD	GBP	0.6245	0.6251	2011-06-20 00:00:00
V	270	2011-06-20 00:00:00	USD	JPY	102.705	102.803	2011-06-20 00:00:00
V	271	2011-06-20 00:00:00	USD	MXN	9.3499	9.352	2011-06-20 00:00:00
V	272	2011-06-20 00:00:00	USD	SAR	3.7505	3.753	2011-06-20 00:00:00
V	273	2011-06-20 00:00:00	USD	VEB	638.5	638.5499	2011-06-20 00:00:00
V	274	2011-06-21 00:00:00	USD	ARS	1	0.9995	2011-06-21 00:00:00
V	275	2011-06-21 00:00:00	USD	AUD	1.58	1.579	2011-06-21 00:00:00
V	276	2011-06-21 00:00:00	USD	BRL	1.9239	1.9179	2011-06-21 00:00:00
V	277	2011-06-21 00:00:00	USD	CAD	1.4799	1.4701	2011-06-21 00:00:00
V	278	2011-06-21 00:00:00	USD	CNY	8.237	8.237	2011-06-21 00:00:00
V	279	2011-06-21 00:00:00	USD	DEM	1.9271	1.9266	2011-06-21 00:00:00
V	280	2011-06-21 00:00:00	USD	EUR	0.9852	0.9848	2011-06-21 00:00:00
V	281	2011-06-21 00:00:00	USD	FRF	6.4633	6.4631	2011-06-21 00:00:00
V	282	2011-06-21 00:00:00	USD	GBP	0.6211	0.6201	2011-06-21 00:00:00
V	283	2011-06-21 00:00:00	USD	JPY	102.43	102.398	2011-06-21 00:00:00
V	284	2011-06-21 00:00:00	USD	MXN	9.3499	9.3439	2011-06-21 00:00:00
V	285	2011-06-21 00:00:00	USD	SAR	3.7505	3.7503	2011-06-21 00:00:00
V	286	2011-06-21 00:00:00	USD	VEB	638.5	638.46	2011-06-21 00:00:00
V	287	2011-06-22 00:00:00	USD	ARS	1	1.0004	2011-06-22 00:00:00
V	288	2011-06-22 00:00:00	USD	AUD	1.5736	1.5739	2011-06-22 00:00:00
V	289	2011-06-22 00:00:00	USD	BRL	1.9239	1.927	2011-06-22 00:00:00
V	290	2011-06-22 00:00:00	USD	CAD	1.475	1.4793	2011-06-22 00:00:00
V	291	2011-06-22 00:00:00	USD	CNY	8.237	8.2373	2011-06-22 00:00:00
V	292	2011-06-22 00:00:00	USD	DEM	1.9128	1.9135	2011-06-22 00:00:00
V	293	2011-06-22 00:00:00	USD	EUR	0.9779	0.9782	2011-06-22 00:00:00
V	294	2011-06-22 00:00:00	USD	FRF	6.4151	6.4154	2011-06-22 00:00:00
V	295	2011-06-22 00:00:00	USD	GBP	0.6159	0.6163	2011-06-22 00:00:00
V	296	2011-06-22 00:00:00	USD	JPY	102.8	102.849	2011-06-22 00:00:00
V	297	2011-06-22 00:00:00	USD	MXN	9.4649	9.4749	2011-06-22 00:00:00
V	298	2011-06-22 00:00:00	USD	SAR	3.7505	3.758	2011-06-22 00:00:00
V	299	2011-06-22 00:00:00	USD	VEB	638.5	638.57	2011-06-22 00:00:00
