\P\	Pos	FromCurrencyCode\
V	18381	USD
V	18448	USD
V	18517	USD
V	18580	USD
V	18645	USD
V	18713	USD
V	18781	USD
V	18847	USD
V	18915	USD
V	18983	USD
V	19051	USD
V	19119	USD
V	19188	USD
V	19256	USD
V	19324	USD
V	19391	USD
V	19454	USD
V	19522	USD
V	19589	USD
V	19656	USD
V	19723	USD
V	19791	USD
V	19859	USD
V	19927	USD
V	19995	USD
V	20063	USD
V	20131	USD
V	20198	USD
V	20265	USD
V	20327	USD
V	20395	USD
V	20461	USD
V	20529	USD
V	20596	USD
V	20664	USD
V	20732	USD
V	20800	USD
V	20867	USD
V	20936	USD
V	21003	USD
V	21071	USD
V	21138	USD
V	21196	USD
V	21264	USD
V	21329	USD
V	21397	USD
V	21464	USD
V	21531	USD
V	21598	USD
V	21665	USD
V	21733	USD
V	21802	USD
V	21868	USD
V	21936	USD
V	22003	USD
V	22071	USD
V	22139	USD
V	22205	USD
V	22273	USD
V	22339	USD
V	22407	USD
V	22475	USD
V	22543	USD
V	22611	USD
V	22680	USD
V	22748	USD
V	22816	USD
V	22884	USD
V	22952	USD
V	23019	USD
V	23085	USD
V	23152	USD
V	23219	USD
V	23287	USD
V	23355	USD
V	23423	USD
V	23491	USD
V	23560	USD
V	23625	USD
V	23693	USD
V	23762	USD
V	23830	USD
V	23897	USD
V	23963	USD
V	24030	USD
V	24096	USD
V	24164	USD
V	24231	USD
V	24299	USD
V	24367	USD
V	24436	USD
V	24500	USD
V	24567	USD
V	24633	USD
V	24701	USD
V	24769	USD
V	24834	USD
V	24902	USD
V	24969	USD
V	25037	USD
V	25105	USD
V	25173	USD
V	25240	USD
V	25309	USD
V	25376	USD
V	25443	USD
V	25510	USD
V	25577	USD
V	25645	USD
V	25711	USD
V	25779	USD
V	25847	USD
V	25915	USD
V	25983	USD
V	26051	USD
V	26118	USD
V	26187	USD
V	26254	USD
V	26322	USD
V	26394	USD
V	26462	USD
V	26530	USD
V	26596	USD
V	26664	USD
V	26732	USD
V	26799	USD
V	26867	USD
V	26935	USD
V	27003	USD
V	27072	USD
V	27140	USD
V	27208	USD
V	27275	USD
V	27343	USD
V	27411	USD
V	27478	USD
V	27546	USD
V	27614	USD
V	27681	USD
V	27749	USD
V	27817	USD
V	27885	USD
V	27951	USD
V	28018	USD
V	28086	USD
V	28153	USD
V	28221	USD
V	28289	USD
V	28356	USD
V	28422	USD
V	28490	USD
V	28558	USD
V	28626	USD
V	28694	USD
V	28761	USD
V	28829	USD
V	28896	USD
V	28964	USD
V	29032	USD
V	29099	USD
V	29167	USD
V	29234	USD
V	29302	USD
V	29370	USD
V	29438	USD
V	29506	USD
V	29574	USD
V	29642	USD
V	29711	USD
V	29779	USD
V	29847	USD
V	29912	USD
V	29980	USD
V	30047	USD
V	30113	USD
V	30181	USD
V	30249	USD
V	30315	USD
V	30383	USD
V	30451	USD
V	30518	USD
V	30587	USD
V	30654	USD
V	30722	USD
V	30792	USD
V	30860	USD
V	30928	USD
V	30996	USD
V	31064	USD
V	31132	USD
V	31200	USD
V	31268	USD
V	31336	USD
V	31403	USD
V	31472	USD
V	31539	USD
V	31607	USD
V	31677	USD
V	31745	USD
V	31813	USD
V	31879	USD
V	31947	USD
V	32013	USD
V	32081	USD
V	32149	USD
V	32217	USD
V	32285	USD
V	32352	USD
V	32419	USD
V	32487	USD
V	32555	USD
V	32623	USD
V	32691	USD
V	32757	USD
V	32825	USD
V	32893	USD
V	32961	USD
V	33028	USD
V	33096	USD
V	33163	USD
V	33232	USD
V	33299	USD
V	33367	USD
V	33437	USD
V	33500	USD
V	33568	USD
V	33633	USD
V	33701	USD
V	33769	USD
V	33837	USD
V	33905	USD
V	33973	USD
V	34041	USD
V	34110	USD
V	34175	USD
V	34243	USD
V	34312	USD
V	34380	USD
V	34448	USD
V	34513	USD
V	34579	USD
V	34647	USD
V	34715	USD
V	34783	USD
V	34851	USD
V	34919	USD
V	34987	USD
V	35054	USD
V	35122	USD
V	35194	USD
V	35262	USD
V	35330	USD
V	35395	USD
V	35463	USD
V	35531	USD
V	35597	USD
V	35664	USD
V	35732	USD
V	35799	USD
V	35868	USD
V	35935	USD
V	36003	USD
V	36071	USD
V	36139	USD
V	36207	USD
V	36273	USD
V	36340	USD
V	36408	USD
V	36476	USD
V	36544	USD
V	36612	USD
V	36679	USD
V	36748	USD
V	36814	USD
V	36882	USD
V	36950	USD
V	37018	USD
V	37086	USD
V	37153	USD
V	37220	USD
V	37288	USD
V	37356	USD
V	37424	USD
V	37492	USD
V	37560	USD
V	37629	USD
V	37695	USD
V	37763	USD
V	37830	USD
V	37898	USD
V	37966	USD
V	38033	USD
V	38100	USD
V	38168	USD
V	38236	USD
V	38304	USD
V	38372	USD
V	38440	USD
V	38509	USD
V	38577	USD
V	38644	USD
V	38709	USD
V	38777	USD
V	38844	USD
V	38909	USD
V	38977	USD
V	39045	USD
V	39113	USD
V	39181	USD
V	39248	USD
V	39314	USD
V	39382	USD
V	39449	USD
V	39517	USD
V	39584	USD
V	39651	USD
V	39719	USD
V	39783	USD
V	39851	USD
V	39919	USD
V	39986	USD
V	40054	USD
V	40122	USD
V	40190	USD
V	40261	USD
V	40328	USD
V	40396	USD
V	40464	USD
V	40532	USD
V	40600	USD
V	40666	USD
V	40734	USD
V	40802	USD
V	40870	USD
V	40938	USD
V	41006	USD
V	41074	USD
V	41144	USD
V	41211	USD
V	41279	USD
V	41349	USD
V	41417	USD
V	41485	USD
V	41553	USD
V	41621	USD
V	41687	USD
V	41755	USD
V	41823	USD
V	41890	USD
V	41958	USD
V	42028	USD
V	42093	USD
V	42161	USD
V	42223	USD
V	42291	USD
V	42359	USD
V	42426	USD
V	42492	USD
V	42560	USD
V	42628	USD
V	42696	USD
V	42764	USD
V	42832	USD
V	42901	USD
V	42969	USD
V	43037	USD
V	43105	USD
V	43172	USD
V	43239	USD
V	43307	USD
V	43375	USD
V	43443	USD
V	43511	USD
V	43579	USD
V	43647	USD
V	43715	USD
V	43783	USD
V	43851	USD
V	43919	USD
V	43989	USD
V	44057	USD
V	44125	USD
V	44193	USD
V	44260	USD
V	44328	USD
V	44396	USD
V	44463	USD
V	44531	USD
V	44599	USD
V	44668	USD
V	44734	USD
V	44802	USD
V	44872	USD
V	44940	USD
V	45008	USD
V	45072	USD
V	45140	USD
V	45208	USD
V	45276	USD
V	45342	USD
V	45410	USD
V	45478	USD
V	45548	USD
V	45616	USD
V	45684	USD
V	45751	USD
V	45814	USD
V	45882	USD
V	45948	USD
V	46016	USD
V	46084	USD
V	46152	USD
V	46219	USD
V	46287	USD
V	46355	USD
V	46425	USD
V	46493	USD
V	46561	USD
V	46633	USD
V	46701	USD
V	46769	USD
V	46835	USD
V	46903	USD
V	46971	USD
V	47039	USD
V	47107	USD
V	47175	USD
V	47243	USD
V	47313	USD
V	47379	USD
V	47447	USD
V	47517	USD
V	47585	USD
V	47653	USD
V	47719	USD
V	47787	USD
V	47855	USD
V	47923	USD
V	47991	USD
V	48058	USD
V	48126	USD
V	48196	USD
V	48264	USD
V	48332	USD
V	48402	USD
V	48470	USD
V	48538	USD
V	48604	USD
V	48672	USD
V	48740	USD
V	48808	USD
V	48876	USD
V	48943	USD
V	49009	USD
V	49078	USD
V	49145	USD
V	49213	USD
V	49281	USD
V	49344	USD
V	49411	USD
V	49477	USD
V	49545	USD
V	49613	USD
V	49681	USD
V	49749	USD
V	49816	USD
V	49884	USD
V	49954	USD
V	50020	USD
V	50088	USD
V	50156	USD
V	50224	USD
V	50292	USD
V	50360	USD
V	50426	USD
V	50492	USD
V	50559	USD
V	50627	USD
V	50695	USD
V	50763	USD
V	50831	USD
V	50898	USD
V	50966	USD
V	51031	USD
V	51099	USD
V	51167	USD
V	51233	USD
V	51301	USD
V	51369	USD
V	51436	USD
V	51504	USD
V	51572	USD
V	51640	USD
V	51710	USD
V	51777	USD
V	51845	USD
V	51913	USD
V	51980	USD
V	52048	USD
V	52114	USD
V	52181	USD
V	52249	USD
V	52317	USD
V	52385	USD
V	52453	USD
V	52520	USD
V	52587	USD
V	52654	USD
V	52722	USD
V	52794	USD
V	52862	USD
V	52930	USD
V	52998	USD
V	53066	USD
V	53134	USD
V	53202	USD
V	53270	USD
V	53338	USD
V	53406	USD
V	53473	USD
V	53540	USD
V	53607	USD
V	53676	USD
V	53744	USD
V	53812	USD
V	53877	USD
V	53943	USD
V	54011	USD
V	54079	USD
V	54147	USD
V	54215	USD
V	54283	USD
V	54353	USD
V	54420	USD
V	54487	USD
V	54557	USD
V	54625	USD
V	54693	USD
V	54760	USD
V	54826	USD
V	54894	USD
V	54962	USD
V	55030	USD
V	55098	USD
V	55166	USD
V	55235	USD
V	55303	USD
V	55371	USD
V	55441	USD
V	55508	USD
V	55575	USD
V	55643	USD
V	55710	USD
V	55778	USD
V	55846	USD
V	55914	USD
V	55982	USD
V	56050	USD
V	56120	USD
V	56188	USD
V	56255	USD
V	56323	USD
V	56391	USD
V	56459	USD
V	56523	USD
V	56589	USD
V	56655	USD
V	56722	USD
V	56790	USD
V	56858	USD
V	56926	USD
V	56996	USD
V	57063	USD
V	57131	USD
V	57201	USD
V	57268	USD
V	57336	USD
V	57403	USD
V	57471	USD
V	57537	USD
V	57605	USD
V	57672	USD
V	57740	USD
V	57808	USD
V	57878	USD
V	57946	USD
V	58014	USD
V	58083	USD
V	58151	USD
V	58219	USD
V	58285	USD
V	58352	USD
V	58420	USD
V	58488	USD
V	58556	USD
V	58624	USD
V	58692	USD
V	58763	USD
V	58830	USD
V	58898	USD
V	58965	USD
V	59033	USD
V	59101	USD
V	59168	USD
V	59236	USD
V	59304	USD
V	59372	USD
V	59439	USD
V	59507	USD
V	59575	USD
V	59644	USD
V	59711	USD
V	59779	USD
V	59846	USD
V	59914	USD
V	59982	USD
V	60050	USD
V	60117	USD
V	60185	USD
V	60253	USD
V	60321	USD
V	60389	USD
V	60456	USD
V	60525	USD
V	60590	USD
V	60658	USD
V	60730	USD
V	60797	USD
V	60865	USD
V	60932	USD
V	61000	USD
V	61068	USD
V	61136	USD
V	61204	USD
V	61272	USD
V	61340	USD
V	61409	USD
V	61476	USD
V	61544	USD
V	61614	USD
V	61677	USD
V	61745	USD
V	61812	USD
V	61879	USD
V	61947	USD
V	62015	USD
V	62083	USD
V	62151	USD
V	62219	USD
V	62289	USD
V	62356	USD
V	62424	USD
V	62493	USD
V	62561	USD
V	62628	USD
V	62695	USD
V	62763	USD
V	62831	USD
V	62899	USD
V	62966	USD
V	63034	USD
V	63102	USD
V	63171	USD
V	63239	USD
V	63307	USD
V	63377	USD
V	63445	USD
V	63512	USD
V	63579	USD
V	63647	USD
V	63713	USD
V	63781	USD
V	63849	USD
V	63917	USD
V	63984	USD
V	64054	USD
V	64122	USD
V	64190	USD
V	64259	USD
V	64327	USD
V	64395	USD
V	64462	USD
V	64530	USD
V	64598	USD
V	64665	USD
V	64733	USD
V	64801	USD
V	64869	USD
V	64939	USD
V	65007	USD
V	65075	USD
V	65143	USD
V	65211	USD
V	65279	USD
V	65344	USD
V	65412	USD
V	65479	USD
V	65545	USD
V	65613	USD
V	65681	USD
V	65749	USD
V	65820	USD
V	65888	USD
V	65955	USD
V	66025	USD
V	66088	USD
V	66155	USD
V	66222	USD
V	66290	USD
V	66357	USD
V	66425	USD
V	66493	USD
V	66561	USD
V	66629	USD
V	66698	USD
V	66766	USD
V	66834	USD
V	66904	USD
V	66967	USD
V	67034	USD
V	67098	USD
V	67165	USD
V	67233	USD
V	67301	USD
V	67369	USD
V	67436	USD
V	67504	USD
V	67573	USD
V	67640	USD
V	67709	USD
V	67780	USD
V	67844	USD
V	67913	USD
V	67980	USD
V	68049	USD
V	68118	USD
V	68187	USD
V	68256	USD
V	68325	USD
V	68394	USD
V	68464	USD
V	68532	USD
V	68601	USD
V	68672	USD
V	68741	USD
V	68809	USD
V	68877	USD
V	68946	USD
V	69015	USD
V	69083	USD
V	69151	USD
V	69220	USD
V	69287	USD
V	69358	USD
V	69426	USD
V	69495	USD
V	69568	USD
V	69637	USD
V	69706	USD
V	69773	USD
V	69842	USD
V	69911	USD
V	69980	USD
V	70049	USD
V	70116	USD
V	70185	USD
V	70257	USD
V	70325	USD
V	70394	USD
V	70465	USD
V	70534	USD
V	70602	USD
V	70669	USD
V	70737	USD
V	70806	USD
V	70874	USD
V	70943	USD
V	71011	USD
V	71079	USD
V	71150	USD
V	71218	USD
V	71287	USD
V	71356	USD
V	71425	USD
V	71494	USD
V	71561	USD
V	71630	USD
V	71699	USD
V	71768	USD
V	71837	USD
V	71906	USD
V	71974	USD
V	72045	USD
V	72113	USD
V	72182	USD
V	72253	USD
V	72322	USD
V	72391	USD
V	72459	USD
V	72527	USD
V	72596	USD
V	72665	USD
V	72734	USD
V	72803	USD
V	72872	USD
V	72943	USD
V	73009	USD
V	73078	USD
V	73146	USD
V	73215	USD
V	73283	USD
V	73350	USD
V	73418	USD
V	73487	USD
V	73555	USD
V	73624	USD
V	73693	USD
V	73761	USD
V	73831	USD
V	73898	USD
V	73967	USD
V	74035	USD
V	74104	USD
V	74173	USD
V	74239	USD
V	74308	USD
V	74377	USD
V	74446	USD
V	74514	USD
V	74583	USD
V	74652	USD
V	74724	USD
V	74790	USD
V	74859	USD
V	74927	USD
V	74996	USD
V	75064	USD
V	75133	USD
V	75201	USD
V	75269	USD
V	75338	USD
V	75407	USD
V	75476	USD
V	75545	USD
V	75616	USD
V	75684	USD
V	75753	USD
V	75821	USD
V	75890	USD
V	75959	USD
V	76025	USD
V	76093	USD
V	76162	USD
V	76231	USD
V	76299	USD
V	76368	USD
V	76437	USD
V	76508	USD
V	76575	USD
V	76644	USD
V	76715	USD
V	76784	USD
V	76853	USD
V	76921	USD
V	76990	USD
V	77059	USD
V	77127	USD
V	77196	USD
V	77265	USD
V	77334	USD
V	77405	USD
V	77472	USD
V	77541	USD
V	77612	USD
V	77681	USD
V	77749	USD
V	77816	USD
V	77885	USD
V	77954	USD
V	78022	USD
V	78091	USD
V	78160	USD
V	78229	USD
V	78300	USD
V	78369	USD
V	78438	USD
V	78508	USD
V	78577	USD
V	78646	USD
V	78715	USD
V	78783	USD
V	78852	USD
V	78920	USD
V	78989	USD
V	79058	USD
V	79127	USD
V	79198	USD
V	79266	USD
V	79335	USD
V	79401	USD
V	79469	USD
V	79538	USD
V	79606	USD
V	79674	USD
V	79741	USD
V	79810	USD
V	79879	USD
V	79948	USD
V	80017	USD
V	80087	USD
V	80156	USD
V	80225	USD
V	80293	USD
V	80362	USD
V	80431	USD
V	80500	USD
V	80567	USD
V	80636	USD
V	80705	USD
V	80773	USD
V	80842	USD
V	80911	USD
V	80982	USD
V	81051	USD
V	81120	USD
V	81186	USD
V	81255	USD
V	81324	USD
V	81391	USD
V	81459	USD
V	81528	USD
V	81597	USD
V	81666	USD
V	81734	USD
V	81803	USD
V	81874	USD
V	81940	USD
V	82009	USD
V	82079	USD
V	82148	USD
V	82217	USD
V	82285	USD
V	82353	USD
V	82422	USD
V	82491	USD
V	82559	USD
V	82628	USD
V	82697	USD
V	82768	USD
V	82837	USD
V	82906	USD
V	82972	USD
V	83041	USD
V	83110	USD
V	83178	USD
V	83246	USD
V	83315	USD
V	83384	USD
V	83453	USD
V	83522	USD
V	83590	USD
V	83661	USD
V	83729	USD
V	83798	USD
V	83869	USD
V	83938	USD
V	84007	USD
V	84076	USD
V	84144	USD
V	84212	USD
V	84281	USD
V	84350	USD
V	84418	USD
V	84486	USD
V	84557	USD
V	84625	USD
V	84694	USD
V	84764	USD
V	84833	USD
V	84902	USD
V	84971	USD
V	85040	USD
V	85108	USD
V	85177	USD
V	85245	USD
V	85314	USD
V	85383	USD
V	85453	USD
V	85520	USD
V	85589	USD
V	85660	USD
V	85729	USD
V	85798	USD
V	85864	USD
V	85932	USD
V	86000	USD
V	86069	USD
V	86138	USD
V	86207	USD
V	86276	USD
V	86345	USD
V	86413	USD
V	86482	USD
V	86553	USD
V	86622	USD
V	86691	USD
V	86758	USD
V	86827	USD
V	86895	USD
V	86964	USD
V	87033	USD
V	87102	USD
V	87171	USD
V	87242	USD
V	87310	USD
V	87378	USD
V	87449	USD
V	87518	USD
V	87587	USD
V	87656	USD
V	87725	USD
V	87793	USD
V	87862	USD
V	87931	USD
V	87999	USD
V	88067	USD
V	88138	USD
V	88206	USD
V	88275	USD
V	88348	USD
V	88417	USD
V	88486	USD
V	88552	USD
V	88621	USD
V	88690	USD
V	88759	USD
V	88827	USD
V	88894	USD
V	88962	USD
V	89033	USD
V	89100	USD
V	89169	USD
V	89237	USD
V	89306	USD
V	89375	USD
V	89443	USD
V	89512	USD
V	89581	USD
V	89650	USD
V	89718	USD
V	89787	USD
V	89856	USD
V	89927	USD
V	89994	USD
V	90063	USD
V	90131	USD
V	90200	USD
V	90268	USD
V	90336	USD
V	90405	USD
V	90474	USD
V	90541	USD
V	90610	USD
V	90679	USD
V	90747	USD
V	90818	USD
V	90886	USD
V	90955	USD
V	91028	USD
V	91097	USD
V	91166	USD
V	91234	USD
V	91301	USD
V	91370	USD
V	91438	USD
V	91507	USD
V	91576	USD
V	91645	USD
V	91717	USD
V	91784	USD
V	91853	USD
V	91921	USD
V	91990	USD
V	92059	USD
V	92126	USD
V	92194	USD
V	92263	USD
V	92332	USD
V	92401	USD
V	92469	USD
V	92538	USD
V	92608	USD
V	92675	USD
V	92744	USD
V	92814	USD
V	92883	USD
V	92952	USD
V	93018	USD
V	93087	USD
V	93156	USD
V	93225	USD
V	93294	USD
V	93362	USD
V	93431	USD
V	93502	USD
V	93568	USD
V	93636	USD
V	93704	USD
V	93773	USD
V	93842	USD
V	93909	USD
V	93978	USD
V	94047	USD
V	94116	USD
V	94185	USD
V	94254	USD
V	94322	USD
V	94392	USD
V	94459	USD
V	94528	USD
V	94597	USD
V	94666	USD
V	94734	USD
V	94803	USD
V	94870	USD
V	94939	USD
V	95008	USD
V	95077	USD
V	95145	USD
V	95214	USD
V	95285	USD
V	95354	USD
V	95423	USD
V	95492	USD
V	95561	USD
V	95630	USD
V	95698	USD
V	95767	USD
V	95836	USD
V	95904	USD
V	95972	USD
V	96041	USD
V	96109	USD
V	96180	USD
V	96248	USD
V	96317	USD
V	96390	USD
V	96459	USD
V	96528	USD
V	96594	USD
V	96663	USD
V	96732	USD
V	96800	USD
V	96869	USD
V	96937	USD
V	97005	USD
V	97076	USD
V	97144	USD
V	97213	USD
V	97283	USD
V	97352	USD
V	97421	USD
V	97488	USD
V	97557	USD
V	97626	USD
V	97695	USD
V	97764	USD
V	97833	USD
V	97902	USD
V	97973	USD
V	98040	USD
V	98109	USD
V	98182	USD
V	98251	USD
V	98320	USD
V	98387	USD
V	98456	USD
V	98525	USD
V	98594	USD
V	98662	USD
V	98729	USD
V	98798	USD
V	98868	USD
V	98935	USD
V	99003	USD
V	99074	USD
V	99138	USD
V	99207	USD
V	99275	USD
V	99344	USD
V	99413	USD
V	99482	USD
V	99551	USD
V	99620	USD
V	99688	USD
V	99758	USD
V	99825	USD
V	99894	USD
V	99965	USD
V	100034	USD
V	100103	USD
V	100170	USD
V	100239	USD
V	100308	USD
V	100374	USD
V	100443	USD
V	100512	USD
V	100581	USD
V	100652	USD
V	100721	USD
V	100790	USD
V	100861	USD
V	100930	USD
V	100999	USD
V	101066	USD
V	101133	USD
V	101202	USD
V	101271	USD
V	101340	USD
V	101409	USD
V	101478	USD
V	101549	USD
V	101617	USD
V	101686	USD
V	101759	USD
V	101828	USD
V	101896	USD
V	101963	USD
V	102032	USD
V	102100	USD
V	102169	USD
V	102238	USD
V	102307	USD
V	102376	USD
V	102448	USD
V	102515	USD
V	102584	USD
V	102655	USD
V	102724	USD
V	102793	USD
V	102860	USD
V	102929	USD
V	102998	USD
V	103067	USD
V	103135	USD
V	103204	USD
V	103273	USD
V	103345	USD
V	103414	USD
V	103483	USD
V	103553	USD
V	103622	USD
V	103691	USD
V	103758	USD
V	103827	USD
V	103896	USD
V	103965	USD
V	104034	USD
V	104102	USD
V	104171	USD
V	104241	USD
V	104308	USD
V	104376	USD
V	104445	USD
V	104514	USD
V	104583	USD
V	104650	USD
V	104719	USD
V	104788	USD
V	104857	USD
V	104925	USD
V	104994	USD
V	105063	USD
V	105134	USD
V	105201	USD
V	105270	USD
V	105341	USD
V	105410	USD
V	105479	USD
V	105546	USD
V	105614	USD
V	105683	USD
V	105752	USD
V	105820	USD
V	105889	USD
V	105958	USD
V	106030	USD
V	106097	USD
V	106166	USD
V	106237	USD
V	106306	USD
V	106375	USD
V	106442	USD
V	106511	USD
V	106580	USD
V	106649	USD
V	106718	USD
V	106787	USD
V	106856	USD
V	106927	USD
V	106996	USD
V	107065	USD
V	107134	USD
V	107203	USD
V	107272	USD
V	107339	USD
V	107408	USD
V	107477	USD
V	107546	USD
V	107615	USD
V	107684	USD
V	107753	USD
V	107825	USD
V	107892	USD
V	107961	USD
V	108030	USD
V	108099	USD
V	108168	USD
V	108234	USD
V	108303	USD
V	108372	USD
V	108441	USD
V	108510	USD
V	108578	USD
V	108647	USD
V	108719	USD
V	108787	USD
V	108856	USD
V	108927	USD
V	108996	USD
V	109065	USD
V	109132	USD
V	109201	USD
V	109269	USD
V	109338	USD
V	109407	USD
V	109476	USD
V	109545	USD
V	109616	USD
V	109685	USD
V	109754	USD
V	109823	USD
V	109892	USD
V	109961	USD
V	110028	USD
V	110094	USD
V	110163	USD
V	110232	USD
V	110301	USD
V	110370	USD
V	110439	USD
V	110509	USD
V	110576	USD
V	110645	USD
V	110714	USD
V	110783	USD
V	110852	USD
V	110918	USD
V	110985	USD
V	111054	USD
V	111123	USD
V	111192	USD
V	111261	USD
V	111330	USD
V	111401	USD
V	111469	USD
V	111538	USD
V	111607	USD
V	111676	USD
V	111743	USD
V	111810	USD
V	111879	USD
V	111948	USD
V	112017	USD
V	112086	USD
V	112155	USD
V	112224	USD
V	112295	USD
V	112362	USD
V	112431	USD
V	112502	USD
V	112571	USD
V	112640	USD
V	112707	USD
V	112776	USD
V	112845	USD
V	112914	USD
V	112982	USD
V	113051	USD
V	113120	USD
V	113191	USD
V	113260	USD
V	113329	USD
V	113397	USD
V	113466	USD
V	113533	USD
V	113601	USD
V	113670	USD
V	113736	USD
V	113805	USD
V	113874	USD
V	113943	USD
V	114012	USD
V	114083	USD
V	114151	USD
V	114220	USD
V	114291	USD
V	114360	USD
V	114429	USD
V	114495	USD
V	114564	USD
V	114632	USD
V	114701	USD
V	114770	USD
V	114837	USD
V	114906	USD
V	114977	USD
V	115046	USD
V	115115	USD
V	115186	USD
V	115255	USD
V	115324	USD
V	115391	USD
V	115459	USD
V	115528	USD
V	115597	USD
V	115666	USD
V	115735	USD
V	115804	USD
V	115875	USD
V	115944	USD
V	116013	USD
V	116086	USD
V	116155	USD
V	116224	USD
V	116291	USD
V	116360	USD
V	116428	USD
V	116497	USD
V	116566	USD
V	116634	USD
V	116702	USD
V	116774	USD
V	116841	USD
V	116910	USD
V	116976	USD
V	117045	USD
V	117114	USD
V	117181	USD
V	117250	USD
V	117319	USD
V	117388	USD
V	117457	USD
V	117525	USD
V	117594	USD
V	117665	USD
V	117730	USD
V	117799	USD
V	117867	USD
V	117936	USD
V	118005	USD
V	118072	USD
V	118140	USD
V	118208	USD
V	118277	USD
V	118345	USD
V	118414	USD
V	118483	USD
V	118553	USD
V	118619	USD
V	118688	USD
V	118756	USD
V	118825	USD
V	118894	USD
