OpFlag	CurrencyCode	Name	ModifiedDate
V	SVC	El Salvador Colon	2008-04-30 00:00:00
V	THB	Baht	2008-04-30 00:00:00
V	TND	Tunisian Dinar	2008-04-30 00:00:00
V	TRL	Turkish Lira	2008-04-30 00:00:00
V	TTD	Trinidad and Tobago Dollar	2008-04-30 00:00:00
V	TWD	New Taiwan Dollar	2008-04-30 00:00:00
V	USD	US Dollar	2008-04-30 00:00:00
V	UYU	Uruguayan Peso	2008-04-30 00:00:00
V	VEB	Bolivar	2008-04-30 00:00:00
V	VND	Dong	2008-04-30 00:00:00
V	XOF	CFA Franc BCEAO	2008-04-30 00:00:00
V	ZAR	Rand	2008-04-30 00:00:00
V	ZWD	Zimbabwe Dollar	2008-04-30 00:00:00
