\P\	Pos	StoreID\
V	16936	1292
V	17030	442
V	17123	684
V	17216	1294
V	17310	1196
V	17404	682
V	17497	1296
V	17591	1194
V	17685	680
V	17778	1298
V	17872	1192
V	17966	678
V	18059	1300
V	18153	1190
V	18247	676
V	18340	1302
V	18435	1188
V	18529	452
V	18622	1304
V	18716	1186
V	18810	450
V	18903	1306
V	18997	1184
V	19091	448
V	19184	1404
V	19278	1182
V	19372	414
V	19465	1406
V	19559	1180
V	19653	412
V	19746	1408
V	19840	1178
V	19934	410
V	20027	1410
V	20122	1176
V	20216	544
V	20309	1412
V	20403	1174
V	20497	1172
V	20591	542
V	20684	1414
V	20778	1170
V	20872	1158
V	20966	1416
V	21060	1168
V	21154	1156
V	21248	1418
V	21342	1166
V	21436	1154
V	21530	1420
V	21624	550
V	21717	1152
V	21812	1422
V	21906	548
V	21999	1150
V	22093	1424
V	22187	546
V	22280	1148
V	22374	1426
V	22468	1956
V	22562	1146
V	22656	1428
V	22750	1954
V	22844	1144
V	22938	1430
V	23032	1952
V	23126	1142
V	23220	1432
V	23314	1950
V	23408	1140
V	23503	1434
V	23597	1948
V	23691	1138
V	23785	472
V	23878	1946
V	23972	1136
V	24066	474
V	24159	1944
V	24253	1134
V	24347	476
V	24440	1942
V	24534	1132
V	24628	580
V	24721	1940
V	24815	590
V	24908	582
V	25001	1938
V	25095	588
V	25189	584
V	25282	1936
V	25376	586
V	25469	612
V	25562	1934
V	25656	952
V	25749	614
V	25842	1932
V	25936	950
V	26029	616
V	26122	1930
V	26216	948
V	26309	618
V	26402	1928
V	26496	946
V	26589	758
V	26682	408
V	26775	944
V	26869	760
V	26962	406
V	27055	498
V	27148	762
V	27241	398
V	27334	496
V	27427	764
V	27520	396
V	27613	1490
V	27707	766
V	27800	394
V	27893	1488
V	27987	768
V	28080	386
V	28173	1486
V	28267	770
V	28360	384
V	28453	1484
V	28548	772
V	28641	382
V	28734	1482
V	28828	774
V	28921	372
V	29014	1480
V	29108	776
V	29201	370
V	29294	1478
V	29388	778
V	29481	440
V	29574	1476
V	29668	780
V	29761	438
V	29854	1474
V	29948	538
V	30041	436
V	30134	1472
V	30229	540
V	30322	2051
V	30416	1470
V	30510	964
V	30603	1994
V	30697	1992
V	30791	470
V	30884	966
V	30977	1990
V	31071	468
V	31164	968
V	31257	1988
V	31351	466
V	31444	970
V	31537	1986
V	31631	578
V	31724	972
V	31817	1984
V	31912	576
V	32005	974
V	32098	1982
V	32192	574
V	32285	976
V	32378	1980
V	32472	572
V	32565	348
V	32658	1978
V	32752	610
V	32845	354
V	32938	1236
V	33032	608
V	33125	356
V	33218	1234
V	33312	606
V	33405	358
V	33498	1232
V	33593	604
V	33686	360
V	33779	1230
V	33873	756
V	33966	374
V	34059	1228
V	34153	754
V	34246	376
V	34339	1226
V	34433	752
V	34526	362
V	34619	1224
V	34713	750
V	34806	1852
V	34900	1222
V	34994	748
V	35087	1854
V	35181	1220
V	35276	746
V	35369	1856
V	35463	1218
V	35557	744
V	35650	1858
V	35744	1216
V	35838	742
V	35931	1860
V	36025	1214
V	36119	740
V	36212	1862
V	36306	1212
V	36400	738
V	36493	1864
V	36587	1210
V	36681	736
V	36774	1866
V	36868	1208
V	36963	560
V	37056	1868
V	37150	1206
V	37244	558
V	37337	1870
V	37431	1110
V	37525	368
V	37618	460
V	37711	1108
V	37805	366
V	37898	462
V	37991	1106
V	38085	380
V	38178	464
V	38271	1104
V	38365	378
V	38458	690
V	38551	1102
V	38646	404
V	38739	692
V	38832	674
V	38925	402
V	39018	694
V	39111	672
V	39204	400
V	39297	696
V	39390	670
V	39483	1164
V	39577	698
V	39670	510
V	39763	1162
V	39857	562
V	39950	508
V	40043	1160
V	40137	564
V	40230	602
V	40324	392
V	40417	846
V	40510	600
V	40603	390
V	40696	848
V	40789	598
V	40882	570
V	40975	388
V	41068	850
V	41161	568
V	41254	364
V	41347	852
V	41440	566
V	41533	428
V	41626	854
V	41719	1926
V	41813	426
V	41906	856
V	42000	1924
V	42094	424
V	42187	858
V	42280	1922
V	42374	926
V	42467	860
V	42560	1920
V	42654	924
V	42747	862
V	42840	1918
V	42934	922
V	43027	864
V	43120	1916
V	43214	920
V	43307	866
V	43400	1914
V	43494	918
V	43587	868
V	43681	1912
V	43775	916
V	43868	870
V	43961	1910
V	44055	914
V	44148	872
V	44241	1204
V	44335	912
V	44428	874
V	44521	1202
V	44615	910
V	44708	1828
V	44802	1200
V	44896	908
V	44989	1830
V	45083	1198
V	45177	906
V	45270	1832
V	45365	306
V	45458	904
V	45551	1834
V	45645	304
V	45738	902
V	45831	1836
V	45925	302
V	46018	900
V	46111	1838
V	46205	326
V	46298	898
V	46391	1840
V	46485	324
V	46578	896
V	46671	1842
V	46765	322
V	46858	894
V	46951	1844
V	47046	320
V	47139	488
V	47232	1846
V	47326	318
V	47419	486
V	47512	1848
V	47606	316
V	47699	484
V	47792	1850
V	47886	352
V	47979	1468
V	48073	592
V	48166	1908
V	48260	1466
V	48354	594
V	48447	1906
V	48541	1464
V	48635	596
V	48729	1904
V	48823	1462
V	48917	954
V	49010	1902
V	49104	1460
V	49198	956
V	49291	1900
V	49385	1458
V	49479	958
V	49572	1898
V	49666	1456
V	49760	960
V	49853	1896
V	49947	1454
V	50041	962
V	50134	1250
V	50228	1452
V	50322	534
V	50416	1248
V	50510	1450
V	50604	536
V	50697	1246
V	50791	1448
V	50885	308
V	50978	1244
V	51072	1242
V	51166	1446
V	51260	310
V	51353	1240
V	51447	1444
V	51541	312
V	51634	1238
V	51728	1442
V	51822	314
V	51915	350
V	52008	1440
V	52103	328
V	52196	344
V	52289	1438
V	52383	330
V	52476	342
V	52569	1436
V	52663	338
V	52756	336
V	52849	458
V	52942	340
V	53035	334
V	53128	1112
V	53222	346
V	53315	332
V	53408	1114
V	53502	876
V	53595	300
V	53688	1116
V	53783	878
V	53876	298
V	53969	1118
V	54063	880
V	54156	296
V	54249	1120
V	54343	882
V	54436	294
V	54529	1796
V	54623	884
V	54716	292
V	54809	1798
V	54903	886
V	54996	668
V	55089	1800
V	55183	888
V	55276	666
V	55369	1802
V	55464	890
V	55557	664
V	55650	1804
V	55744	892
V	55837	1100
V	55931	1806
V	56025	652
V	56118	1098
V	56212	1808
V	56306	654
V	56399	1096
V	56493	1810
V	56587	656
V	56680	1094
V	56774	1812
V	56868	478
V	56961	1092
V	57055	1814
V	57149	480
V	57242	1090
V	57336	1816
V	57430	482
V	57523	1088
V	57617	1818
V	57711	1122
V	57806	1086
V	57900	1820
V	57994	1124
V	58088	1084
V	58182	1822
V	58276	1126
V	58370	1082
V	58464	1824
V	58558	1128
V	58652	1080
V	58746	1826
V	58840	1130
V	58934	1078
V	59028	1364
V	59122	1958
V	59216	1076
V	59310	1366
V	59404	1960
V	59499	1074
V	59593	1368
V	59687	1962
V	59781	1072
V	59875	1370
V	59969	1964
V	60064	1070
V	60158	1372
V	60252	1966
V	60346	1068
V	60440	1374
V	60534	1968
V	60628	1066
V	60722	1376
V	60816	1970
V	60910	1064
V	61004	1378
V	61098	1972
V	61192	1062
V	61286	1060
V	61380	1380
V	61474	1974
V	61568	1058
V	61662	1382
V	61757	1976
V	61851	1056
V	61945	1384
V	62039	420
V	62132	1054
V	62226	1386
V	62321	422
V	62414	1052
V	62508	1388
V	62602	822
V	62695	1050
V	62789	1390
V	62883	824
V	62976	1048
V	63070	1392
V	63164	826
V	63257	1046
V	63351	1394
V	63445	828
V	63538	1044
V	63632	1396
V	63726	830
V	63819	1042
V	63913	1398
V	64008	832
V	64101	1040
V	64195	1400
V	64289	834
V	64382	1038
V	64476	1402
V	64571	836
V	64664	1036
V	64758	802
V	64851	838
V	64944	1034
V	65038	638
V	65131	840
V	65224	1032
V	65318	640
V	65411	842
V	65504	1030
V	65598	844
V	65691	292
V	1852944	294
V	1853042	296
V	1853140	298
V	1853238	300
V	1853336	302
V	1853434	304
V	1853532	306
V	1853630	308
V	1853728	310
V	1853826	312
V	1853924	314
V	1854022	316
V	1854120	318
V	1854218	320
V	1854316	324
V	1854414	326
V	1854512	328
V	1854610	330
V	1854708	332
V	1854806	334
V	1854904	336
V	1855002	338
V	1855100	340
V	1855198	342
V	1855296	344
V	1855394	346
V	1855492	348
V	1855590	350
V	1855688	352
V	1855786	354
V	1855884	356
V	1855982	358
V	1856080	360
V	1856178	362
V	1856276	364
V	1856374	366
V	1856472	368
V	1856570	370
V	1856668	372
V	1856766	374
V	1856864	376
V	1856962	378
V	1857060	380
V	1857158	382
V	1857256	384
V	1857354	386
V	1857452	388
V	1857550	390
V	1857648	392
V	1857746	394
V	1857844	398
V	1857942	406
V	1858040	408
V	1858138	410
V	1858236	412
V	1858334	414
V	1858432	418
V	1858530	420
V	1858628	422
V	1858726	428
V	1858824	430
V	1858922	432
V	1859021	436
V	1859119	438
V	1859217	440
V	1859315	442
V	1859413	444
V	1859511	446
V	1859609	450
V	1859707	452
V	1859805	454
V	1859903	456
V	1860001	464
V	1860099	466
V	1860197	472
V	1860295	474
V	1860393	476
V	1860491	478
V	1860589	480
V	1860687	482
V	1860785	484
V	1860883	488
V	1860981	490
V	1861079	492
V	1861177	494
V	1861275	496
V	1861373	498
V	1861471	502
V	1861569	504
V	1861667	506
V	1861765	508
V	1861863	510
V	1861961	512
V	1862059	514
V	1862157	516
V	1862255	518
V	1862353	520
V	1862451	522
V	1862549	524
V	1862647	526
V	1862745	528
V	1862843	532
V	1862941	534
V	1863040	536
V	1863138	538
V	1863236	540
V	1863334	542
V	1863432	544
V	1863530	546
V	1863628	548
V	1863726	550
V	1863824	552
V	1863922	554
V	1864020	556
V	1864118	558
V	1864216	560
V	1864314	562
V	1864412	564
V	1864510	566
V	1864608	568
V	1864706	570
V	1864804	574
V	1864902	578
V	1865000	580
V	1865098	582
V	1865196	584
V	1865294	586
V	1865392	588
V	1865491	590
V	1865589	592
V	1865687	596
V	1865786	598
V	1865884	600
V	1865982	602
V	1866081	604
V	1866179	608
V	1866277	610
V	1866375	612
V	1866473	614
V	1866571	616
V	1866669	618
V	1866767	620
V	1866865	622
V	1866963	624
V	1867061	626
V	1867159	628
V	1867257	630
V	1867355	632
V	1867453	634
V	1867551	636
V	1867649	638
V	1867747	640
V	1867845	642
V	1867943	644
V	1868041	648
V	1868139	650
V	1868237	652
V	1868335	654
V	1868433	656
V	1868531	658
V	1868630	660
V	1868728	662
V	1868826	664
V	1868924	666
V	1869022	668
V	1869120	670
V	1869218	672
V	1869316	676
V	1869414	682
V	1869512	684
V	1869610	686
V	1869708	688
V	1869806	690
V	1869904	692
V	1870002	694
V	1870100	696
V	1870198	698
V	1870296	700
V	1870394	702
V	1870492	704
V	1870590	706
V	1870688	708
V	1870786	710
V	1870884	714
V	1870982	716
V	1871080	718
V	1871178	720
V	1871276	722
V	1871374	724
V	1871472	726
V	1871570	728
V	1871668	730
V	1871766	732
V	1871864	734
V	1871962	736
V	1872060	738
V	1872158	740
V	1872256	742
V	1872354	744
V	1872452	746
V	1872550	752
V	1872648	754
V	1872746	758
V	1872844	760
V	1872942	762
V	1873040	764
V	1873138	766
V	1873236	768
V	1873334	770
V	1873432	772
V	1873530	774
V	1873628	776
V	1873726	778
V	1873824	780
V	1873922	782
V	1874020	784
V	1874118	786
V	1874216	788
V	1874314	790
V	1874412	792
V	1874510	794
V	1874608	796
V	1874706	798
V	1874804	800
V	1874902	802
V	1875000	804
V	1875098	806
V	1875196	808
V	1875294	810
V	1875393	812
V	1875491	814
V	1875589	816
V	1875687	818
V	1875785	820
V	1875883	822
V	1875981	824
V	1876079	826
V	1876177	828
V	1876275	830
V	1876373	832
V	1876471	834
V	1876569	836
V	1876667	838
V	1876765	840
V	1876863	842
V	1876961	844
V	1877059	846
V	1877157	848
V	1877255	850
V	1877353	852
V	1877451	854
V	1877549	856
V	1877648	858
V	1877746	860
V	1877844	862
V	1877942	864
V	1878040	868
V	1878139	870
V	1878237	872
V	1878335	874
V	1878433	876
V	1878531	878
V	1878629	880
V	1878727	882
V	1878825	884
V	1878923	886
V	1879021	888
V	1879119	890
V	1879217	892
V	1879315	894
V	1879413	896
V	1879511	898
V	1879609	900
V	1879707	902
V	1879805	904
V	1879903	906
V	1880001	908
V	1880099	910
V	1880197	912
V	1880295	914
V	1880393	916
V	1880491	920
V	1880589	922
V	1880687	924
V	1880785	926
V	1880883	928
V	1880981	930
V	1881079	932
V	1881177	934
V	1881275	936
V	1881373	938
V	1881471	940
V	1881570	942
V	1881668	944
V	1881767	946
V	1881865	948
V	1881963	950
V	1882061	952
V	1882159	954
V	1882257	958
V	1882355	960
V	1882453	962
V	1882551	964
V	1882649	966
V	1882747	970
V	1882845	972
V	1882943	974
V	1883041	976
V	1883139	978
V	1883237	980
V	1883335	982
V	1883433	984
V	1883532	986
V	1883630	988
V	1883728	990
V	1883826	992
V	1883924	994
V	1884022	996
V	1884120	998
V	1884218	1000
V	1884317	1002
V	1884417	1004
V	1884517	1010
V	1884617	1012
V	1884717	1014
V	1884817	1016
V	1884917	1018
V	1885017	1020
V	1885117	1022
V	1885217	1024
V	1885317	1026
V	1885417	1028
V	1885517	1030
V	1885617	1032
V	1885717	1034
V	1885817	1036
V	1885917	1038
V	1886017	1040
V	1886117	1042
V	1886217	1044
V	1886317	1046
V	1886417	1048
V	1886517	1050
V	1886617	1052
V	1886717	1054
V	1886817	1056
V	1886917	1060
V	1887017	1062
V	1887117	1064
V	1887217	1066
V	1887317	1068
V	1887417	1070
V	1887517	1072
V	1887617	1074
V	1887717	1076
V	1887817	1078
V	1887917	1080
V	1888017	1082
V	1888117	1084
V	1888217	1086
V	1888317	1088
V	1888417	1090
V	1888517	1092
V	1888617	1094
V	1888717	1096
V	1888817	1100
V	1888917	1102
V	1889018	1106
V	1889118	1108
V	1889218	1110
V	1889318	1112
V	1889418	1114
V	1889518	1116
V	1889619	1118
V	1889719	1120
V	1889819	1122
V	1889920	1126
V	1890020	1128
V	1890120	1130
V	1890220	1132
V	1890320	1134
V	1890420	1136
V	1890520	1138
V	1890620	1140
V	1890721	1142
V	1890821	1144
V	1890921	1146
V	1891021	1148
V	1891121	1150
V	1891221	1152
V	1891322	1154
V	1891422	1156
V	1891522	1158
V	1891622	1160
V	1891722	1162
V	1891822	1164
V	1891922	1166
V	1892022	1168
V	1892122	1170
V	1892222	1172
V	1892322	1174
V	1892422	1176
V	1892522	1178
V	1892622	1182
V	1892722	1184
V	1892822	1186
V	1892922	1188
V	1893022	1192
V	1893122	1196
V	1893222	1198
V	1893322	1200
V	1893422	1202
V	1893522	1204
V	1893622	1206
V	1893722	1210
V	1893822	1212
V	1893922	1214
V	1894022	1216
V	1894122	1218
V	1894222	1220
V	1894323	1224
V	1894423	1228
V	1894523	1230
V	1894623	1232
V	1894724	1234
V	1894824	1236
V	1894924	1238
V	1895024	1240
V	1895124	1242
V	1895224	1244
V	1895324	1246
V	1895424	1248
V	1895524	1250
V	1895624	1252
V	1895724	1254
V	1895824	1256
V	1895924	1258
V	1896024	1260
V	1896125	1262
V	1896225	1266
V	1896325	1270
V	1896425	1272
V	1896526	1274
V	1896626	1276
V	1896726	1278
V	1896826	1280
V	1896926	1282
V	1897026	1284
V	1897127	1286
V	1897227	1288
V	1897327	1290
V	1897427	1292
V	1897527	1294
V	1897627	1296
V	1897727	1298
V	1897827	1300
V	1897927	1302
V	1898028	1304
V	1898128	1306
V	1898228	1308
V	1898328	1310
V	1898428	1312
V	1898528	1316
V	1898628	1318
V	1898728	1320
V	1898828	1322
V	1898928	1324
V	1899028	1326
V	1899129	1328
V	1899229	1330
V	1899329	1332
V	1899429	1334
V	1899529	1336
V	1899629	1338
V	1899729	1340
V	1899829	1342
V	1899929	1344
V	1900029	1346
V	1900129	1350
V	1900229	1352
V	1900329	1354
V	1900429	1356
V	1900529	1358
V	1900629	1362
V	1900729	1364
V	1900829	1366
V	1900929	1368
V	1901029	1370
V	1901129	1372
V	1901229	1374
V	1901329	1376
V	1901429	1378
V	1901529	1380
V	1901629	1382
V	1901730	1384
V	1901830	1386
V	1901931	1388
V	1902031	1392
V	1902131	1394
V	1902231	1396
V	1902331	1398
V	1902432	1400
V	1902532	1404
V	1902632	1406
V	1902732	1408
V	1902832	1410
V	1902933	1412
V	1903033	1414
V	1903133	1416
V	1903233	1418
V	1903333	1420
V	1903433	1422
V	1903533	1424
V	1903633	1426
V	1903733	1428
V	1903833	1430
V	1903933	1432
V	1904033	1434
V	1904133	1436
V	1904233	1438
V	1904333	1440
V	1904434	1442
V	1904534	1444
V	1904634	1448
V	1904734	1450
V	1904834	1454
V	1904934	1456
V	1905034	1458
V	1905134	1460
V	1905234	1462
V	1905334	1464
V	1905434	1466
V	1905534	1468
V	1905634	1470
V	1905734	1472
V	1905835	1474
V	1905935	1476
V	1906035	1478
V	1906135	1480
V	1906235	1482
V	1906335	1484
V	1906436	1486
V	1906536	1490
V	1906636	1796
V	1906736	1798
V	1906836	1802
V	1906937	1804
V	1907037	1806
V	1907137	1808
V	1907237	1810
V	1907337	1812
V	1907437	1814
V	1907537	1816
V	1907637	1818
V	1907737	1822
V	1907837	1824
V	1907937	1826
V	1908037	1828
V	1908137	1830
V	1908237	1832
V	1908338	1834
V	1908438	1836
V	1908538	1838
V	1908638	1840
V	1908738	1842
V	1908838	1844
V	1908939	1846
V	1909039	1850
V	1909139	1852
V	1909239	1856
V	1909339	1858
V	1909439	1860
V	1909539	1862
V	1909639	1864
V	1909739	1866
V	1909839	1868
V	1909939	1870
V	1910039	1872
V	1910139	1874
V	1910239	1876
V	1910339	1878
V	1910439	1880
V	1910539	1882
V	1910639	1884
V	1910739	1886
V	1910839	1888
V	1910939	1890
V	1911039	1892
V	1911140	1894
V	1911240	1896
V	1911340	1898
V	1911440	1900
V	1911540	1902
V	1911640	1904
V	1911740	1906
V	1911840	1910
V	1911940	1912
V	1912040	1914
V	1912140	1916
V	1912240	1918
V	1912340	1924
V	1912440	1926
V	1912540	1928
V	1912640	1930
V	1912740	1932
V	1912840	1934
V	1912940	1936
V	1913040	1938
V	1913140	1940
V	1913240	1944
V	1913340	1946
V	1913440	1948
V	1913540	1950
V	1913640	1952
V	1913740	1954
V	1913840	1956
V	1913940	1958
V	1914040	1960
V	1914141	1962
V	1914241	1964
V	1914342	1966
V	1914442	1968
V	1914542	1970
V	1914642	1972
V	1914742	1976
V	1914842	1978
V	1914942	1980
V	1915042	1982
V	1915142	1984
V	1915243	1986
V	1915343	1988
V	1915443	1990
V	1915543	1992
V	1915643	1994
