\P\	Pos	UnitMeasureCode\
V	16221	EA 
V	16287	EA 
V	16354	EA 
V	16421	EA 
V	16488	EA 
V	16555	EA 
V	16622	OZ 
V	16689	EA 
V	16755	EA 
V	16841	EA 
V	16907	EA 
V	16973	EA 
V	17040	EA 
V	17107	EA 
V	17174	EA 
V	17241	EA 
V	17308	EA 
V	17375	OZ 
V	17442	EA 
V	17508	EA 
V	17574	EA 
V	17640	EA 
V	17707	EA 
V	17793	EA 
V	17860	EA 
V	17927	EA 
V	17994	EA 
V	18061	EA 
V	18128	OZ 
V	18195	EA 
V	18261	EA 
V	18327	EA 
V	18393	EA 
V	18460	EA 
V	18527	EA 
V	18594	EA 
V	18661	EA 
V	18747	EA 
V	18814	EA 
V	18881	OZ 
V	18947	EA 
V	19013	EA 
V	19079	EA 
V	19145	EA 
V	19212	EA 
V	19279	EA 
V	19346	EA 
V	19413	EA 
V	19480	EA 
V	19547	OZ 
V	19632	OZ 
V	19698	EA 
V	19764	EA 
V	19830	EA 
V	19896	EA 
V	19963	EA 
V	20030	EA 
V	20097	EA 
V	20164	EA 
V	20231	EA 
V	20298	OZ 
V	20364	EA 
V	20430	EA 
V	20516	EA 
V	20582	EA 
V	20648	EA 
V	20715	EA 
V	20801	EA 
V	20868	EA 
V	20935	EA 
V	21002	EA 
V	21069	EA 
V	21136	OZ 
V	21202	EA 
V	21268	EA 
V	21334	EA 
V	21400	EA 
V	21467	EA 
V	21534	EA 
V	21601	EA 
V	21668	EA 
V	21754	EA 
V	21821	EA 
V	21888	OZ 
V	21954	EA 
V	22020	EA 
V	22086	EA 
V	22152	EA 
V	22219	EA 
V	22286	EA 
V	22353	EA 
V	22420	EA 
V	22487	EA 
V	22554	OZ 
V	22639	OZ 
V	22705	EA 
V	22771	EA 
V	22837	EA 
V	22903	EA 
V	22970	EA 
V	23037	EA 
V	23104	EA 
V	23171	EA 
V	23257	EA 
V	23324	EA 
V	23391	OZ 
V	23457	EA 
V	23523	EA 
V	23589	EA 
V	23655	EA 
V	23721	EA 
V	23788	EA 
V	23855	EA 
V	23922	EA 
V	23989	EA 
V	24056	OZ 
V	24141	OZ 
V	24207	EA 
V	24273	EA 
V	24339	EA 
V	24405	EA 
V	24471	EA 
V	24538	EA 
V	24605	EA 
V	24672	EA 
V	24739	EA 
V	24806	OZ 
V	24872	EA 
V	24938	EA 
V	25024	EA 
V	25090	EA 
V	25156	EA 
V	25222	EA 
V	25308	EA 
V	25375	EA 
V	25442	EA 
V	25509	EA 
V	25576	EA 
V	25643	OZ 
V	25709	EA 
V	25775	EA 
V	25841	EA 
V	25907	EA 
V	25973	EA 
V	26040	EA 
V	26107	EA 
V	26174	EA 
V	26260	EA 
V	26327	EA 
V	26394	OZ 
V	26460	EA 
V	26526	EA 
V	26592	EA 
V	26658	EA 
V	26724	EA 
V	26791	EA 
V	26858	EA 
V	26925	EA 
V	26992	EA 
V	27059	OZ 
V	27126	EA 
V	27192	EA 
V	27258	EA 
V	27324	EA 
V	27391	EA 
V	27477	EA 
V	27544	EA 
V	27611	EA 
V	27678	EA 
V	27745	EA 
V	27812	OZ 
V	27879	EA 
V	27945	EA 
V	28011	EA 
V	28077	EA 
V	28144	EA 
V	28211	EA 
V	28278	EA 
V	28345	EA 
V	28431	EA 
V	28498	EA 
V	28565	OZ 
V	28632	EA 
V	28698	EA 
V	28764	EA 
V	28830	EA 
V	28897	EA 
V	28964	EA 
V	29031	EA 
V	29098	EA 
V	29165	EA 
V	29232	OZ 
V	29298	EA 
V	29364	EA 
V	29450	EA 
V	29516	EA 
V	29582	EA 
V	29648	EA 
V	29715	EA 
V	29782	EA 
V	29849	EA 
V	29916	EA 
V	29983	OZ 
V	30049	EA 
V	30115	EA 
V	30181	EA 
V	30247	EA 
V	30313	EA 
V	30399	EA 
V	30466	EA 
V	30533	EA 
V	30600	EA 
V	30667	EA 
V	30734	OZ 
V	30800	EA 
V	30866	EA 
V	30932	EA 
V	30998	EA 
V	31064	EA 
V	31131	EA 
V	31198	EA 
V	31265	EA 
V	31351	EA 
V	31418	EA 
V	31485	OZ 
V	31551	EA 
V	31617	EA 
V	31683	EA 
V	31749	EA 
V	31815	EA 
V	31882	EA 
V	31949	EA 
V	32016	EA 
V	32083	EA 
V	32150	OZ 
V	32217	EA 
V	32283	EA 
V	32349	EA 
V	32415	EA 
V	32481	EA 
V	32567	EA 
V	32634	EA 
V	32701	EA 
V	32768	EA 
V	32835	EA 
V	32902	OZ 
V	32969	EA 
V	33035	EA 
V	33101	EA 
V	33167	EA 
V	33233	EA 
V	33300	EA 
V	33367	EA 
V	33434	EA 
V	33520	EA 
V	33587	EA 
V	33654	OZ 
V	33721	EA 
V	33787	EA 
V	33853	EA 
V	33919	EA 
V	33985	EA 
V	34052	EA 
V	34119	EA 
V	34186	EA 
V	34253	EA 
V	34320	OZ 
V	34406	OZ 
V	34473	EA 
V	34539	EA 
V	34605	EA 
V	34671	EA 
V	34737	EA 
V	34804	EA 
V	34871	EA 
V	34938	EA 
V	35005	EA 
V	35072	OZ 
V	35139	EA 
V	35225	EA 
V	35292	EA 
V	35359	EA 
V	35426	EA 
V	35491	EA 
V	35557	EA 
V	35624	EA 
V	35690	EA 
V	35775	EA 
V	35840	EA 
V	35907	OZ 
V	35993	OZ 
V	36060	EA 
V	36126	EA 
V	36192	EA 
V	36259	EA 
V	36326	EA 
V	36412	EA 
V	36479	EA 
V	36546	EA 
V	36613	EA 
V	36680	EA 
V	36746	EA 
V	36831	EA 
V	36897	EA 
V	36964	EA 
V	37031	EA 
V	37098	EA 
V	37165	EA 
V	37231	EA 
V	37298	EA 
V	37365	EA 
V	37432	EA 
V	37518	EA 
V	37585	EA 
V	37652	EA 
V	37718	EA 
V	37783	EA 
V	37850	EA 
V	37935	EA 
V	38001	EA 
V	38068	EA 
V	38134	EA 
V	38199	EA 
V	38266	EA 
V	38333	EA 
V	38400	EA 
V	38486	EA 
V	38552	EA 
V	38619	EA 
V	38705	EA 
V	38771	EA 
V	38838	EA 
V	38904	EA 
V	38969	EA 
V	39036	EA 
V	39103	EA 
V	39170	EA 
V	39236	EA 
V	39301	EA 
V	39368	EA 
V	39435	EA 
V	39521	EA 
V	39588	EA 
V	39654	EA 
V	39721	EA 
V	39807	EA 
V	39874	EA 
V	39941	EA 
V	40007	EA 
V	40072	EA 
V	40139	EA 
V	40224	EA 
V	40290	EA 
V	40357	EA 
V	40442	EA 
V	40508	EA 
V	40593	EA 
V	40658	EA 
V	40725	EA 
V	40792	EA 
V	40859	EA 
V	40925	EA 
V	40992	EA 
V	41078	EA 
V	41144	EA 
V	41211	EA 
V	41277	EA 
V	41342	EA 
V	41409	EA 
V	41476	EA 
V	41543	EA 
V	41610	EA 
V	41677	EA 
V	41744	EA 
V	41811	EA 
V	41878	EA 
V	41944	EA 
V	42011	EA 
V	42077	EA 
V	42144	EA 
V	42211	EA 
V	42277	EA 
V	42344	EA 
V	42411	EA 
V	42478	EA 
V	42544	EA 
V	42610	EA 
V	42677	EA 
V	42744	EA 
V	42811	EA 
V	42877	EA 
V	42963	EA 
V	43030	EA 
V	43097	EA 
V	43164	EA 
V	43231	EA 
V	43297	EA 
V	43364	EA 
V	43431	EA 
V	43498	EA 
V	43564	EA 
V	43630	EA 
V	43697	EA 
V	43764	EA 
V	43831	EA 
V	43897	EA 
V	43964	EA 
V	44030	EA 
V	44097	EA 
V	44164	EA 
V	44231	EA 
V	44317	EA 
V	44384	EA 
V	44451	EA 
V	44518	EA 
V	44585	EA 
V	44652	EA 
V	44719	EA 
V	44784	EA 
V	44851	EA 
V	44918	EA 
V	44985	EA 
V	45052	EA 
V	45119	EA 
V	45186	EA 
V	45253	EA 
V	45320	EA 
V	45387	EA 
V	45454	EA 
V	45521	EA 
V	45588	EA 
V	45655	EA 
V	45740	EA 
V	45805	EA 
V	45872	EA 
V	45939	EA 
V	46025	EA 
V	46092	EA 
V	46158	EA 
V	46225	EA 
V	46311	EA 
V	46378	EA 
V	46445	EA 
V	46512	EA 
V	46579	EA 
V	46646	EA 
V	46713	EA 
V	46780	EA 
V	46847	EA 
V	46912	EA 
V	46979	EA 
V	47046	EA 
V	47113	EA 
V	47179	EA 
V	47246	EA 
V	47313	EA 
V	47380	EA 
V	47466	EA 
V	47533	EA 
V	47600	EA 
V	47667	EA 
V	47733	EA 
V	47800	EA 
V	47867	EA 
V	47934	EA 
V	48001	EA 
V	48087	EA 
V	48153	EA 
V	48220	EA 
V	48287	EA 
V	48354	EA 
V	48421	EA 
V	48488	EA 
V	48555	EA 
V	48622	EA 
V	48689	EA 
V	48755	EA 
V	48822	EA 
V	48889	EA 
V	48956	EA 
V	49023	EA 
V	49089	EA 
V	49156	EA 
V	49222	EA 
V	49288	EA 
V	49355	EA 
V	49422	EA 
V	49489	EA 
V	49556	EA 
V	49623	EA 
V	49689	EA 
V	49756	EA 
V	49823	EA 
V	49890	EA 
V	49957	EA 
V	50023	EA 
V	50090	EA 
V	50156	EA 
V	50223	EA 
V	50290	EA 
V	50357	EA 
V	50424	EA 
V	50491	EA 
V	50558	EA 
V	50625	EA 
V	50692	EA 
V	50759	EA 
V	50844	EA 
V	50909	EA 
V	50976	EA 
V	51043	EA 
V	51109	EA 
V	51176	EA 
V	51242	EA 
V	51309	EA 
V	51376	EA 
V	51443	EA 
V	51510	EA 
V	51577	EA 
V	51644	EA 
V	51711	EA 
V	51778	EA 
V	51843	EA 
V	51910	EA 
V	51977	EA 
V	52063	EA 
V	52129	EA 
V	52195	EA 
V	52260	EA 
V	52327	EA 
V	52394	EA 
V	52480	EA 
V	52547	EA 
V	52614	EA 
V	52681	EA 
V	52748	EA 
V	52815	EA 
V	52882	EA 
V	52947	EA 
V	53014	EA 
V	53081	EA 
V	53147	EA 
V	53233	EA 
V	53300	EA 
V	53367	EA 
V	53434	EA 
V	53501	EA 
V	53567	EA 
V	53653	EA 
V	53719	EA 
V	53785	EA 
V	53852	EA 
V	53919	EA 
V	53986	EA 
V	54053	EA 
V	54139	EA 
V	54205	EA 
V	54271	EA 
V	54338	EA 
V	54405	EA 
V	54472	EA 
V	54539	EA 
V	54606	EA 
V	54672	EA 
V	54739	EA 
V	54806	EA 
V	54873	EA 
V	54940	EA 
V	55007	EA 
V	55074	EA 
V	55140	EA 
V	55206	EA 
V	55273	EA 
V	55359	EA 
V	55426	EA 
V	55511	EA 
V	55577	EA 
V	55644	EA 
V	55711	EA 
V	55777	EA 
V	55863	EA 
V	55929	EA 
V	55995	EA 
V	56062	EA 
V	56129	EA 
V	56196	EA 
V	56263	EA 
V	56329	EA 
V	56395	EA 
V	56462	EA 
V	56548	EA 
V	56615	EA 
V	56682	EA 
V	56749	EA 
V	56816	EA 
V	56883	EA 
V	56969	EA 
V	57035	EA 
V	57101	EA 
V	57168	EA 
V	57235	EA 
V	57321	EA 
V	57388	EA 
V	57454	EA 
V	57521	EA 
V	57588	EA 
V	57653	EA 
V	57720	EA 
V	57805	EA 
V	57871	EA 
V	57938	EA 
V	58005	EA 
V	58072	EA 
V	58139	EA 
V	58206	EA 
V	58273	EA 
V	58340	EA 
V	58407	EA 
V	58473	EA 
V	58559	EA 
V	58626	EA 
V	58693	EA 
V	58758	EA 
V	58844	EA 
V	58911	EA 
V	58976	EA 
V	59043	EA 
V	59110	EA 
V	59177	EA 
V	59263	EA 
V	59329	EA 
V	59395	EA 
V	59481	EA 
V	59548	EA 
V	59634	EA 
V	59701	EA 
V	59768	EA 
V	59834	EA 
V	59901	EA 
V	59968	EA 
V	60033	EA 
V	60100	EA 
V	60167	EA 
V	60232	EA 
V	60318	EA 
V	60385	EA 
V	60451	EA 
V	60518	EA 
V	60604	EA 
V	60671	EA 
V	60738	EA 
V	60804	EA 
V	60871	EA 
V	60938	EA 
V	61005	EA 
V	61071	EA 
V	61157	EA 
V	61224	EA 
V	61290	EA 
V	61357	EA 
V	61424	EA 
V	61491	EA 
V	61558	EA 
V	61625	EA 
V	61692	EA 
V	61759	EA 
V	61826	EA 
V	61892	EA 
V	61958	EA 
V	62024	EA 
V	62091	EA 
V	62158	EA 
V	62225	EA 
V	62292	EA 
V	62359	EA 
V	62445	EA 
V	62512	EA 
V	62579	EA 
V	62646	EA 
V	62732	EA 
V	62799	EA 
V	62866	EA 
V	62933	EA 
V	62999	EA 
V	63065	EA 
V	63131	EA 
V	63198	EA 
V	63265	EA 
V	63331	EA 
V	63398	EA 
V	63465	EA 
V	63532	EA 
V	63599	EA 
V	63666	EA 
V	63733	EA 
V	63800	EA 
V	63867	EA 
V	63933	EA 
V	63999	EA 
V	64065	EA 
V	64132	EA 
V	64199	EA 
V	64266	EA 
V	64332	EA 
V	64418	EA 
V	64485	EA 
V	64552	EA 
V	64619	EA 
V	64686	EA 
V	64753	EA 
V	64820	EA 
V	64886	EA 
V	64953	EA 
V	65018	EA 
V	65082	EA 
V	65148	EA 
V	65214	EA 
V	65281	EA 
V	65348	EA 
V	65415	EA 
V	65481	EA 
V	65548	EA 
V	65614	EA 
V	65680	EA 
V	65747	EA 
V	65813	EA 
V	65880	EA 
V	65946	EA 
V	66013	EA 
V	66080	EA 
V	66166	EA 
V	66233	EA 
V	66300	EA 
V	66367	EA 
V	66453	EA 
V	66520	EA 
V	66586	EA 
V	66653	EA 
V	66720	EA 
V	66787	EA 
V	66854	EA 
V	66920	EA 
V	66987	EA 
V	67053	EA 
V	67120	EA 
V	67187	EA 
V	67254	EA 
V	67321	EA 
V	67387	EA 
V	67454	EA 
V	67520	EA 
V	67587	EA 
V	67653	EA 
V	67719	EA 
V	67786	EA 
V	67852	EA 
V	67919	EA 
V	67985	EA 
V	68052	EA 
V	68119	EA 
V	68186	EA 
V	68252	EA 
V	68319	EA 
V	68386	EA 
V	68453	EA 
V	68520	EA 
V	68586	EA 
V	68653	EA 
V	68718	EA 
V	68785	EA 
V	68851	EA 
V	68918	EA 
V	68985	EA 
V	69071	EA 
V	69138	EA 
V	69205	EA 
V	69272	EA 
V	69338	EA 
V	69423	EA 
V	69489	EA 
V	69556	EA 
V	69622	EA 
V	69689	EA 
V	69756	EA 
V	69821	EA 
V	69888	EA 
V	69955	EA 
V	70022	EA 
V	70089	EA 
V	70156	EA 
V	70223	EA 
V	70289	EA 
V	70356	EA 
V	70422	EA 
V	70489	EA 
V	70555	EA 
V	70621	EA 
V	70688	EA 
V	70774	EA 
V	70839	EA 
V	70906	EA 
V	70973	EA 
V	71059	EA 
V	71126	EA 
V	71193	EA 
V	71260	EA 
V	71327	EA 
V	71394	EA 
V	71461	EA 
V	71528	EA 
V	71594	EA 
V	71660	EA 
V	71726	EA 
V	71792	EA 
V	71859	EA 
V	71926	EA 
V	71993	EA 
V	72060	EA 
V	72127	EA 
V	72194	EA 
V	72258	EA 
V	72325	EA 
V	72392	EA 
V	72459	EA 
V	72545	EA 
V	72612	EA 
V	72678	EA 
V	72745	EA 
V	72812	EA 
V	72879	EA 
V	72946	EA 
V	73013	EA 
V	73080	EA 
V	73146	EA 
V	73211	EA 
V	73277	EA 
V	73344	EA 
V	73411	EA 
V	73478	EA 
V	73545	EA 
V	73611	EA 
V	73677	EA 
V	73743	EA 
V	73810	EA 
V	73877	EA 
V	73944	EA 
V	74011	EA 
V	74077	EA 
V	74142	EA 
V	74208	EA 
V	74274	EA 
V	74341	EA 
V	74408	EA 
V	74475	EA 
V	74542	EA 
V	74609	EA 
V	74695	EA 
V	74762	EA 
V	74829	EA 
V	74896	EA 
V	74982	EA 
V	75049	EA 
V	75114	EA 
V	75180	EA 
V	75246	EA 
V	75313	EA 
V	75380	EA 
V	75447	EA 
V	75512	EA 
V	75579	EA 
V	75645	EA 
V	75712	EA 
V	75778	EA 
V	75845	EA 
V	75910	EA 
V	75977	EA 
V	76043	EA 
V	76129	EA 
V	76196	EA 
V	76263	EA 
V	76330	EA 
V	76396	EA 
V	76463	EA 
V	76528	EA 
V	76595	EA 
V	76662	EA 
V	76729	EA 
V	76815	EA 
V	76882	EA 
V	76949	EA 
V	77014	EA 
V	77081	EA 
V	77147	EA 
V	77214	EA 
V	77281	EA 
V	77348	EA 
V	77415	EA 
V	77482	EA 
V	77547	EA 
V	77614	EA 
V	77680	EA 
V	77747	EA 
V	77813	EA 
V	77880	EA 
V	77945	EA 
V	78012	EA 
V	78078	EA 
V	78145	EA 
V	78212	EA 
V	78279	EA 
V	78345	EA 
V	78431	EA 
V	78497	EA 
V	78583	EA 
V	78650	EA 
V	78717	EA 
V	78783	EA 
V	78850	EA 
V	78917	EA 
V	78984	EA 
V	79051	EA 
V	79118	EA 
V	79183	EA 
V	79250	EA 
V	79317	EA 
V	79384	EA 
V	79451	EA 
V	79518	EA 
V	79585	EA 
V	79652	EA 
V	79718	EA 
V	79784	EA 
V	79851	EA 
V	79918	EA 
V	79985	EA 
V	80052	EA 
V	80117	EA 
V	80184	EA 
V	80251	EA 
V	80318	EA 
V	80384	EA 
V	80451	EA 
V	80518	EA 
V	80585	EA 
V	80651	EA 
V	80718	EA 
V	80785	EA 
V	80852	EA 
V	80919	EA 
V	80986	EA 
V	81051	EA 
V	81137	EA 
V	81204	EA 
V	81290	EA 
V	81357	EA 
V	81424	EA 
V	81490	EA 
V	81557	EA 
V	81624	EA 
V	81690	EA 
V	81757	EA 
V	81824	EA 
V	81891	EA 
V	81957	EA 
V	82023	EA 
V	82090	EA 
V	82157	EA 
V	82224	EA 
V	82290	EA 
V	82357	EA 
V	82423	EA 
V	82490	EA 
V	82557	EA 
V	82624	EA 
V	82691	EA 
V	82758	EA 
V	82824	EA 
V	82891	EA 
V	82958	EA 
V	83025	EA 
V	83091	EA 
V	83158	EA 
V	83225	EA 
V	83292	EA 
V	83359	EA 
V	83426	EA 
V	83493	EA 
V	83579	EA 
V	83646	EA 
V	83713	EA 
V	83780	EA 
V	83847	EA 
V	83914	EA 
V	83981	EA 
V	84048	EA 
V	84114	EA 
V	84181	EA 
V	84248	EA 
V	84315	EA 
V	84381	EA 
V	84448	EA 
V	84515	EA 
V	84582	EA 
V	84649	EA 
V	84716	EA 
V	84782	EA 
V	84849	EA 
V	84916	EA 
V	84983	EA 
V	85068	EA 
V	85134	EA 
V	85201	EA 
V	85268	EA 
V	85335	EA 
V	85402	EA 
V	85469	EA 
V	85536	EA 
V	85603	EA 
V	85670	EA 
V	85737	EA 
V	85804	EA 
V	85871	EA 
V	85937	EA 
V	86004	EA 
V	86070	EA 
V	86137	EA 
V	86204	EA 
V	86271	EA 
V	86338	EA 
V	86405	EA 
V	86472	EA 
V	86539	EA 
V	86606	EA 
V	86673	EA 
V	86740	EA 
V	86807	EA 
V	86872	EA 
V	86938	EA 
V	87004	EA 
V	87071	EA 
V	87138	EA 
V	87205	EA 
V	87272	EA 
V	87358	EA 
V	87424	EA 
V	87510	EA 
V	87577	EA 
V	87644	EA 
V	87710	EA 
V	87777	EA 
V	87843	EA 
V	87910	EA 
V	87977	EA 
V	88044	EA 
V	88111	EA 
V	88178	EA 
V	88245	EA 
V	88311	EA 
V	88378	EA 
V	88444	EA 
V	88511	EA 
V	88578	EA 
V	88645	EA 
V	88712	EA 
V	88779	EA 
V	88846	EA 
V	88913	EA 
V	88980	EA 
V	89047	EA 
V	89114	EA 
V	89181	EA 
V	89247	EA 
V	89314	EA 
V	89380	EA 
V	89447	EA 
V	89514	EA 
V	89580	EA 
V	89647	EA 
V	89713	EA 
V	89780	EA 
V	89847	EA 
V	89914	EA 
V	89981	EA 
V	90048	EA 
V	90115	EA 
V	90181	EA 
V	90248	EA 
V	90314	EA 
V	90381	EA 
V	90448	EA 
V	90515	EA 
V	90582	EA 
V	90649	EA 
V	90716	EA 
V	90783	EA 
V	90850	EA 
V	90917	EA 
V	90984	EA 
V	91051	EA 
V	91117	EA 
V	91184	EA 
V	91251	EA 
V	91318	EA 
V	91385	EA 
V	91471	EA 
V	91538	EA 
V	91604	EA 
V	91671	EA 
V	91738	EA 
V	91805	EA 
V	91870	EA 
V	91956	EA 
V	92023	EA 
V	92090	EA 
V	92174	EA 
V	92239	EA 
V	92304	EA 
V	92371	EA 
V	92438	EA 
V	92505	EA 
V	92572	EA 
V	92636	EA 
V	92701	EA 
V	92768	EA 
V	92834	EA 
V	92900	EA 
V	92967	EA 
V	93029	EA 
V	93094	EA 
V	93161	EA 
V	93226	EA 
V	93311	EA 
V	93376	EA 
V	93443	EA 
V	93509	IN 
V	93576	EA 
V	93643	EA 
V	93710	EA 
V	93775	IN 
V	93843	EA 
V	93910	EA 
V	93977	EA 
V	94043	IN 
V	94130	IN 
V	94198	EA 
V	94265	EA 
V	94332	EA 
V	94399	IN 
V	94465	EA 
V	94532	EA 
V	94599	EA 
V	94666	IN 
V	94734	EA 
V	94801	EA 
V	94887	EA 
V	94954	EA 
V	95021	IN 
V	95089	EA 
V	95156	EA 
V	95222	EA 
V	95289	EA 
V	95355	EA 
V	95422	EA 
V	95489	EA 
V	95554	OZ 
V	95621	EA 
V	95688	EA 
V	95755	EA 
V	95822	EA 
V	95888	EA 
V	95955	EA 
V	96023	EA 
V	96090	EA 
V	96157	EA 
V	96224	EA 
V	96290	EA 
V	96357	EA 
V	96424	EA 
V	96492	EA 
V	96559	EA 
V	96626	EA 
V	96712	EA 
V	96779	EA 
V	96846	EA 
V	96912	EA 
V	96979	EA 
V	97047	EA 
V	97114	EA 
V	97181	EA 
V	97248	EA 
V	97315	EA 
V	97381	EA 
V	97448	EA 
V	97516	EA 
V	97602	EA 
V	97669	EA 
V	97735	EA 
V	97803	EA 
V	97870	EA 
V	97937	EA 
V	98003	EA 
V	98070	EA 
V	98137	EA 
V	98204	EA 
V	98272	EA 
V	98339	EA 
V	98406	EA 
V	98471	EA 
V	98539	EA 
V	98605	EA 
V	98672	EA 
V	98740	EA 
V	98807	EA 
V	98874	EA 
V	98940	EA 
V	99006	EA 
V	99072	EA 
V	99138	EA 
V	99206	EA 
V	99272	EA 
V	99338	EA 
V	99404	EA 
V	99468	EA 
V	99534	EA 
V	99620	EA 
V	99687	EA 
V	99753	OZ 
V	99820	EA 
V	99886	EA 
V	99953	EA 
V	100020	EA 
V	100087	EA 
V	100154	EA 
V	100221	EA 
V	100288	EA 
V	100355	EA 
V	100423	EA 
V	100509	EA 
V	100576	EA 
V	100643	EA 
V	100729	EA 
V	100796	EA 
V	100883	EA 
V	100951	EA 
V	101018	EA 
V	101085	EA 
V	101153	EA 
V	101219	EA 
V	101286	EA 
V	101353	EA 
V	101420	EA 
V	101486	EA 
V	101552	EA 
V	101620	EA 
V	101686	EA 
V	101753	EA 
V	101820	EA 
V	101888	EA 
V	101954	EA 
V	102040	EA 
V	102107	EA 
V	102174	EA 
V	102241	EA 
V	102326	EA 
V	102392	EA 
V	102459	EA 
V	102527	EA 
V	102593	EA 
V	102660	EA 
V	102727	EA 
V	102794	EA 
V	102861	EA 
V	102928	EA 
V	102994	EA 
V	103061	EA 
V	103128	EA 
V	103195	EA 
V	103262	EA 
V	103329	EA 
V	103396	EA 
V	103464	EA 
V	103531	EA 
V	103597	EA 
V	103684	EA 
V	103752	EA 
V	103819	EA 
V	103886	EA 
V	103953	EA 
V	104020	EA 
V	104087	EA 
V	104154	EA 
V	104221	OZ 
V	104288	EA 
V	104354	EA 
V	104420	EA 
V	104486	EA 
V	104552	EA 
V	104638	EA 
V	104705	EA 
V	104772	EA 
V	104839	EA 
V	104906	EA 
V	104973	OZ 
V	105040	EA 
V	105106	EA 
