\P\	Pos	EmployeeID\
V	22258	258
V	22379	250
V	22495	257
V	22611	261
V	22729	251
V	22842	253
V	22962	255
V	23078	256
V	23196	259
V	23316	260
V	23436	258
V	23550	254
V	23663	257
V	23783	261
V	23899	251
V	24020	253
V	24139	255
V	24256	256
V	24371	259
V	24482	250
V	24594	258
V	24708	254
V	24828	257
V	24940	261
V	25054	251
V	25166	253
V	25281	255
V	25391	256
V	25511	259
V	25625	260
V	25746	250
V	25860	254
V	25974	257
V	26090	261
V	26203	251
V	26319	253
V	26434	255
V	26555	256
V	26658	259
V	26776	260
V	26896	258
V	27010	254
V	27130	257
V	27250	261
V	27370	251
V	27490	253
V	27604	255
V	27717	256
V	27831	252
V	27945	260
V	28060	258
V	28174	254
V	28292	257
V	28412	261
V	28531	250
V	28644	253
V	28759	255
V	28877	256
V	28991	259
V	29111	260
V	29229	258
V	29342	254
V	29454	252
V	29568	261
V	29688	251
V	29804	253
V	29925	255
V	30037	256
V	30152	259
V	30272	260
V	30392	258
V	30506	254
V	30622	257
V	30733	261
V	30846	251
V	30966	253
V	31080	255
V	31197	256
V	31311	259
V	31432	260
V	31552	258
V	31668	254
V	31784	257
V	31904	261
V	32017	251
V	32137	253
V	32253	252
V	32371	256
V	32491	259
V	32611	260
V	32725	258
V	32838	254
V	32958	257
V	33074	261
V	33194	251
V	33310	253
V	33427	255
V	33540	252
V	33651	259
V	33763	260
V	33877	258
V	33997	250
V	34109	257
V	34222	261
V	34334	251
V	34450	253
V	34560	255
V	34680	256
V	34795	259
V	34915	260
V	35028	258
V	35142	254
V	35258	257
V	35372	261
V	35492	251
V	35607	253
V	35728	255
V	35831	256
V	35949	259
V	36069	250
V	36183	258
V	36300	254
V	36419	257
V	36539	261
V	36659	251
V	36771	253
V	36884	255
V	36998	256
V	37112	259
V	37227	260
V	37341	250
V	37459	254
V	37579	257
V	37699	261
V	37812	251
V	37928	253
V	38046	255
V	38158	256
V	38278	259
V	38396	260
V	38509	258
V	38621	254
V	38735	257
V	38855	261
V	38970	251
V	39094	253
V	39206	255
V	39321	256
V	39441	252
V	39561	260
V	39671	258
V	39787	254
V	39898	257
V	40011	261
V	40131	250
V	40244	253
V	40364	255
V	40478	256
V	40599	259
V	40712	260
V	40828	258
V	40944	254
V	41062	252
V	41175	261
V	41295	251
V	41411	253
V	41529	255
V	41649	256
V	41769	259
V	41881	260
V	41994	258
V	42114	254
V	42230	257
V	42349	261
V	42466	251
V	42583	253
V	42698	255
V	42809	256
V	42921	259
V	43035	260
V	43155	258
V	43267	254
V	43380	257
V	43492	261
V	43605	251
V	43715	253
V	43835	252
V	43949	256
V	44068	259
V	44183	260
V	44291	258
V	44407	254
V	44521	257
V	44641	261
V	44756	251
V	44877	253
V	44980	255
V	45098	252
V	45218	259
V	45332	260
V	45449	258
V	45569	250
V	45689	257
V	45809	261
V	45919	251
V	46032	253
V	46146	255
V	46258	256
V	46373	259
V	46487	260
V	46605	258
V	46725	254
V	46844	257
V	46958	261
V	47068	251
V	47186	253
V	47297	255
V	47417	256
V	47535	259
V	47648	250
V	47760	258
V	47874	254
V	47994	257
V	48112	261
V	48230	251
V	48342	253
V	48457	259
V	48575	260
V	48695	258
V	48809	250
V	48925	257
V	49045	261
V	49165	251
V	49285	253
V	49398	255
V	49511	256
V	49625	259
V	49736	260
V	49851	258
V	49965	254
V	50083	257
V	50203	261
V	50323	251
V	50436	253
V	50549	255
V	50667	256
V	50782	259
V	50902	250
V	51020	258
V	51133	254
V	51245	257
V	51359	261
V	51479	251
V	51597	253
V	51715	255
V	51827	256
V	51942	259
V	52062	260
V	52182	250
V	52292	254
V	52408	257
V	52519	261
V	52633	251
V	52753	253
V	52867	255
V	52985	256
V	53099	259
V	53220	260
V	53342	258
V	53458	254
V	53574	257
V	53694	261
V	53807	251
V	53927	253
V	54043	255
V	54161	256
V	54281	252
V	54401	260
V	54516	258
V	54629	254
V	54749	257
V	54865	261
V	54985	250
V	55102	253
V	55219	255
V	55335	256
V	55446	259
V	55558	260
V	55672	258
V	55792	254
V	55904	252
V	56019	261
V	56131	251
V	56244	253
V	56354	255
V	56474	256
V	56587	259
V	56706	260
V	56820	258
V	56934	254
V	57050	257
V	57164	261
V	57284	251
V	57399	253
V	57520	255
V	57623	256
V	57741	259
V	57861	260
V	57975	258
V	58096	254
V	58216	257
V	58336	261
V	58456	251
V	58571	253
V	58684	252
V	58798	256
V	58913	259
V	59028	260
V	59142	258
V	59260	254
V	59380	257
V	59500	261
V	59614	251
V	59729	253
V	59841	255
V	59958	252
V	60078	259
V	60196	260
V	60309	258
V	60421	250
V	60535	257
V	60655	261
V	60771	251
V	60892	253
V	61004	255
V	61119	256
V	61239	259
V	61359	260
V	61469	258
V	61585	254
V	61696	257
V	61810	261
V	61930	251
V	62043	253
V	62158	255
V	62272	256
V	62393	255
V	62513	256
V	62633	259
V	62743	260
V	62859	259
V	62973	250
V	63089	258
V	63205	254
V	63323	257
V	63436	261
V	63556	251
V	63672	253
V	63790	255
V	63910	256
V	64030	259
V	64144	260
V	64257	250
V	64377	254
V	64493	257
V	64612	261
V	64731	251
V	64848	253
V	64962	255
V	65073	256
V	65185	259
V	65299	260
V	65419	258
V	65531	254
V	65645	257
V	65757	261
V	65870	251
V	65980	253
V	66100	255
V	66214	256
V	66335	252
V	66449	260
V	66561	258
V	66677	254
V	66790	257
V	66910	261
V	67025	250
V	67146	253
V	67249	255
V	67367	256
V	67487	259
V	67601	260
V	67721	258
V	67841	254
V	67961	252
V	68081	261
V	68196	251
V	68309	253
V	68423	255
V	68537	256
V	68652	259
V	68766	260
V	68884	258
V	69004	254
V	69123	257
V	69238	261
V	69353	251
V	69469	253
V	69583	255
V	69703	256
V	69821	259
V	69934	260
V	70046	258
V	70160	254
V	70280	257
V	70400	261
V	70519	251
V	70631	253
V	70746	250
V	70857	254
V	70970	257
V	71090	261
V	71203	252
V	71323	256
V	71443	259
V	71553	260
V	71669	258
V	71780	254
V	71894	257
V	72014	261
V	72128	251
V	72243	253
V	72357	255
V	72478	252
V	72592	259
V	72708	260
V	72824	258
V	72944	250
V	73057	257
V	73177	261
V	73293	251
V	73411	253
V	73531	255
V	73651	256
V	73761	259
V	73874	260
V	73994	251
V	74113	253
V	74227	255
V	74348	256
V	74470	258
V	74586	254
V	74706	257
V	74822	261
V	74939	251
V	75057	253
V	75168	255
V	75280	256
V	75394	259
V	75514	250
V	75626	258
V	75741	254
V	75853	257
V	75964	261
V	76074	251
V	76194	253
V	76308	255
V	76428	256
V	76542	259
V	76655	260
V	76771	250
V	76884	254
V	77004	257
V	77119	261
V	77240	251
V	77343	253
V	77461	255
V	77581	256
V	77695	259
V	77812	260
V	77932	258
V	78052	254
V	78172	257
V	78286	261
V	78399	251
V	78513	253
V	78627	255
V	78742	256
V	78856	252
V	78974	260
V	79094	258
V	79214	254
V	79327	257
V	79441	261
V	79553	250
V	79670	253
V	79790	255
V	79908	256
V	80021	259
V	80133	260
V	80247	258
V	80367	254
V	80482	252
V	80603	261
V	80715	251
V	80830	253
V	80950	255
V	81064	256
V	81174	259
V	81290	260
V	81401	258
V	81513	254
V	81633	257
V	81746	261
V	81865	251
V	81979	253
V	82100	255
V	82220	256
V	82336	259
V	82452	260
V	82573	258
V	82686	254
V	82806	257
V	82922	261
V	83040	251
V	83160	253
V	83280	252
V	83393	256
V	83506	259
V	83626	260
V	83742	258
V	83861	254
V	83978	257
V	84095	261
V	84208	251
V	84319	253
V	84431	255
V	84545	252
V	84665	259
V	84777	260
V	84890	258
V	85002	250
V	85116	257
V	85226	261
V	85346	251
V	85457	253
V	85576	255
V	85690	256
V	85804	259
V	85920	260
V	86033	258
V	86153	254
V	86268	257
V	86389	261
V	86492	251
V	86610	253
V	86730	255
V	86844	256
V	86965	259
V	87085	250
V	87205	258
V	87325	254
V	87438	259
V	87554	260
V	87670	258
V	87791	254
V	87904	257
V	88017	261
V	88131	251
V	88245	253
V	88360	255
V	88474	256
V	88592	259
V	88712	260
V	88831	250
V	88948	254
V	89061	257
V	89177	261
V	89291	251
V	89411	253
V	89529	255
V	89642	256
V	89754	259
V	89868	260
V	89988	258
V	90106	254
V	90222	257
V	90334	261
V	90449	251
V	90569	253
V	90689	255
V	90799	256
V	90915	252
V	91026	260
V	91139	258
V	91259	254
V	91372	257
V	91483	261
V	91597	250
V	91718	253
V	91832	255
V	91948	256
V	92064	259
V	92185	260
V	92298	258
V	92418	254
V	92534	252
V	92652	261
V	92772	251
V	92892	253
V	93007	255
V	93120	256
V	93240	259
V	93356	260
V	93476	258
V	93593	254
V	93710	257
V	93822	261
V	93933	251
V	94045	253
V	94159	255
V	94279	256
V	94391	259
V	94504	260
V	94616	258
V	94732	254
V	94842	257
V	94962	261
V	95077	251
V	95196	253
V	95310	252
V	95425	256
V	95541	259
V	95655	260
V	95775	258
V	95890	254
V	96011	257
V	96114	261
V	96232	251
V	96352	253
V	96466	255
V	96587	252
V	96706	259
V	96826	260
V	96946	258
V	97064	250
V	97177	257
V	97297	261
V	97413	251
V	97531	253
V	97651	257
V	97765	261
V	97879	251
V	97994	253
V	98108	255
V	98226	256
V	98346	259
V	98466	260
V	98580	258
V	98695	254
V	98813	257
V	98928	261
V	99048	251
V	99166	253
V	99279	255
V	99391	256
V	99505	259
V	99625	250
V	99745	258
V	99864	254
V	99976	257
V	100091	261
V	100211	251
V	100331	253
V	100446	255
V	100562	256
V	100673	259
V	100786	260
V	100906	250
V	101021	254
V	101139	257
V	101253	261
V	101372	251
V	101486	253
V	101602	255
V	101718	256
V	101839	259
V	101952	260
V	102072	258
V	102188	254
V	102306	257
V	102426	261
V	102546	251
V	102661	253
V	102774	255
V	102894	256
V	103010	252
V	103129	260
V	103249	258
V	103366	254
V	103479	257
V	103590	261
V	103702	250
V	103816	253
V	103936	255
V	104048	256
V	104163	259
V	104275	260
V	104389	258
V	104499	254
V	104619	252
V	104733	261
V	104852	251
V	104966	253
V	105080	255
V	105200	256
V	105315	252
V	105428	260
V	105548	255
V	105664	256
V	105778	259
V	105898	260
V	106013	258
V	106134	254
V	106237	257
V	106355	261
V	106475	251
V	106589	253
V	106710	255
V	106830	256
V	106950	259
V	107070	260
V	107180	258
V	107293	254
V	107407	257
V	107525	261
V	107640	251
V	107754	253
V	107872	252
V	107992	256
V	108112	259
V	108225	260
V	108338	258
V	108456	254
V	108569	257
V	108689	261
V	108807	251
V	108920	253
V	109032	255
V	109146	252
V	109266	259
V	109386	260
V	109504	258
V	109616	250
V	109729	257
V	109849	261
V	109969	251
V	110083	253
V	110199	255
V	110310	256
V	110422	259
V	110542	260
V	110655	258
V	110772	254
V	110886	257
V	111006	261
V	111129	251
V	111245	253
V	111361	255
V	111482	256
V	111595	259
V	111715	250
V	111831	258
V	111949	254
V	112069	258
V	112185	254
V	112306	257
V	112426	261
V	112543	257
V	112663	261
V	112777	251
V	112890	253
V	113010	250
V	113123	253
V	113234	255
V	113346	256
V	113460	255
V	113576	256
V	113697	259
V	113817	260
V	113934	250
V	114048	254
V	114159	257
V	114271	261
V	114385	251
V	114505	253
V	114617	255
V	114732	256
V	114844	259
V	114957	260
V	115067	258
V	115187	254
V	115300	257
V	115420	261
V	115533	251
V	115641	253
V	115757	255
V	115870	256
V	115986	252
V	116101	260
V	116223	258
V	116327	254
V	116442	257
V	116563	261
V	116678	250
V	116800	253
V	116921	255
V	117042	256
V	117163	259
V	117278	260
V	117392	258
V	117507	254
V	117621	259
V	117742	260
V	117855	258
V	117972	254
V	118085	252
V	118199	261
V	118310	251
V	118431	253
V	118543	255
V	118663	256
V	118778	259
V	118887	260
V	119004	252
V	119120	261
V	119235	251
V	119354	253
V	119475	255
V	119596	256
V	119710	259
V	119826	260
V	119939	258
V	120054	254
V	120175	257
V	120294	261
V	120408	251
V	120521	253
V	120636	255
V	120757	256
V	120874	259
V	120995	260
V	121108	258
V	121222	254
V	121343	257
V	121464	261
V	121575	251
V	121692	253
V	121804	252
V	121918	256
V	122039	259
V	122153	260
V	122273	258
V	122388	254
V	122508	257
V	122632	261
V	122749	258
V	122863	254
V	122980	257
V	123096	261
V	123218	251
V	123322	253
V	123438	255
V	123559	256
V	123674	251
V	123791	253
V	123913	255
V	124027	252
V	124148	259
V	124265	260
V	124384	258
V	124505	250
V	124626	257
V	124742	261
V	124856	251
V	124977	253
V	125094	255
V	125216	256
V	125337	259
V	125455	260
V	125570	259
V	125692	260
V	125812	258
V	125933	254
V	126054	257
V	126172	261
V	126286	251
V	126401	253
V	126517	252
V	126633	256
V	126748	259
V	126867	260
V	126988	258
V	127109	254
V	127223	257
V	127338	261
V	127455	251
V	127568	253
V	127689	255
V	127808	252
V	127922	259
V	128035	260
V	128150	258
V	128271	250
V	128387	257
V	128509	261
V	128622	251
V	128738	253
V	128859	255
V	128980	256
V	129091	259
V	129208	260
V	129320	258
V	129434	254
V	129555	257
V	129673	261
V	129794	251
V	129909	253
V	130030	255
V	130144	256
V	130261	259
V	130378	250
V	130497	258
V	130611	254
V	130732	257
V	130849	261
V	130968	251
V	131089	253
V	131210	255
V	131326	256
V	131440	259
V	131561	260
V	131678	250
V	131800	254
V	131918	257
V	132036	261
V	132152	251
V	132264	253
V	132377	255
V	132492	256
V	132613	259
V	132726	260
V	132841	258
V	132954	254
V	133069	257
V	133180	261
V	133301	251
V	133417	253
V	133537	255
V	133653	256
V	133764	252
V	133881	260
V	133995	258
V	134112	254
V	134228	257
V	134350	261
V	134454	250
V	134573	253
V	134694	255
V	134809	256
V	134927	259
V	135048	260
V	135169	258
V	135290	254
V	135401	252
V	135515	261
V	135630	251
V	135743	253
V	135859	255
V	135974	256
V	136093	259
V	136214	260
V	136334	258
V	136448	254
V	136559	257
V	136678	261
V	136793	251
V	136914	253
V	137033	255
V	137147	256
V	137260	259
V	137375	260
V	137496	258
V	137615	254
V	137734	257
V	137847	261
V	137963	251
V	138084	253
V	138205	252
V	138316	256
V	138433	259
V	138545	260
V	138658	258
V	138779	254
V	138894	257
V	139013	261
V	139128	251
V	139250	253
V	139373	255
V	139490	252
V	139607	259
V	139728	260
V	139842	258
V	139963	250
V	140080	257
V	140199	261
V	140320	251
V	140441	253
V	140556	255
V	140670	256
V	140791	259
V	140908	260
V	141029	258
V	141147	254
V	141265	257
V	141382	261
V	141494	251
V	141607	253
V	141722	255
V	141843	256
V	141956	259
V	142071	250
V	142184	258
V	142298	254
V	142409	257
V	142530	261
V	142644	251
V	142764	253
V	142878	255
V	142987	256
V	143104	259
V	143218	260
V	143339	250
V	143455	254
V	143577	257
V	143681	261
V	143800	251
V	143921	253
V	144036	255
V	144153	256
V	144274	259
V	144395	260
V	144516	258
V	144632	254
V	144746	257
V	144861	261
V	144975	251
V	145091	253
V	145206	255
V	145325	256
V	145446	252
V	145567	260
V	145681	258
V	145797	254
V	145910	257
V	146029	261
V	146150	250
V	146269	253
V	146383	255
V	146496	256
V	146611	259
V	146732	260
V	146848	258
V	146970	254
V	147083	252
V	147199	261
V	147320	251
V	147441	253
V	147552	255
V	147669	256
V	147781	259
V	147896	260
V	148017	258
V	148131	254
V	148247	257
V	148362	261
V	148484	251
V	148598	253
V	148715	255
V	148832	256
V	148954	259
V	149068	260
V	149189	258
V	149306	254
V	149425	257
V	149546	261
V	149667	251
V	149782	253
V	149896	252
V	150017	256
V	150134	259
V	150254	260
V	150372	258
V	150490	254
V	150604	257
V	150716	261
V	150829	251
V	150944	253
V	151065	255
V	151178	252
V	151292	259
V	151405	260
V	151520	258
V	151631	250
V	151752	257
V	151869	261
V	151989	251
V	152102	253
V	152216	255
V	152333	256
V	152448	259
V	152569	260
V	152685	258
V	152807	254
V	152911	257
V	153030	261
V	153151	251
V	153266	253
V	153388	255
V	153509	256
V	153630	259
V	153751	250
V	153865	258
V	153979	254
V	154094	257
V	154213	261
V	154329	251
V	154444	253
V	154563	255
V	154684	256
V	154805	259
V	154920	260
V	155034	250
V	155151	254
V	155265	257
V	155386	261
V	155505	251
V	155619	253
V	155732	255
V	155847	256
V	155968	259
V	156087	260
V	156206	258
V	156319	254
V	156433	257
V	156554	261
V	156675	251
V	156786	253
V	156903	255
V	157015	256
V	157129	252
V	157250	260
V	157364	258
V	157475	254
V	157590	257
V	157712	261
V	157836	250
V	157953	253
V	158070	255
V	158192	256
V	158306	259
V	158427	260
V	158544	258
V	158663	254
V	158784	252
V	158905	261
V	159021	251
V	159135	253
V	159256	255
V	159373	256
V	159495	259
V	159613	260
V	159731	258
V	159846	254
V	159958	257
V	160071	261
V	160186	251
V	160307	253
V	160420	255
V	160536	256
V	160649	259
V	160764	260
V	160875	258
V	160996	254
V	161111	257
V	161231	261
V	161347	251
V	161462	253
V	161579	252
V	161693	256
V	161810	259
V	161926	260
V	162048	258
V	162152	254
V	162267	257
V	162388	261
V	162503	251
V	162625	253
V	162746	255
V	162867	252
V	162988	259
V	163104	260
V	163218	258
V	163333	250
V	163447	257
V	163563	261
V	163678	251
V	163797	253
V	163918	255
V	164039	256
V	164154	259
V	164270	260
V	164383	258
V	164498	254
V	164619	257
V	164738	261
V	164852	251
V	164965	253
V	165080	255
V	165201	256
V	165320	259
V	165440	250
V	165553	258
V	165667	254
V	165788	257
V	165909	261
V	166020	251
V	166137	253
V	166249	255
V	166364	256
V	166485	259
V	166600	260
V	166718	250
V	166833	254
V	166953	257
V	167077	261
V	167194	251
V	167311	253
V	167433	255
V	167547	256
V	167668	259
V	167785	260
V	167904	258
V	168025	254
V	168146	257
V	168261	261
V	168375	251
V	168496	253
V	168613	255
V	168735	256
V	168853	252
V	168971	260
V	169086	258
V	169198	254
V	169311	257
V	169426	261
V	169547	250
V	169660	253
V	169776	255
V	169889	256
V	170003	259
V	170114	260
V	170235	258
V	170349	254
V	170469	252
V	170582	261
V	170698	251
V	170815	253
V	170929	255
V	171046	256
V	171162	259
V	171284	260
V	171388	258
V	171504	254
V	171625	257
V	171740	261
V	171862	251
V	171983	253
V	172104	255
V	172225	256
V	172340	259
V	172454	260
V	172569	258
V	172684	254
V	172800	257
V	172915	261
V	173034	251
V	173155	253
V	173276	252
V	173391	256
V	173506	259
V	173623	260
V	173734	258
V	173855	254
V	173969	257
V	174083	261
V	174196	251
V	174311	253
V	174432	255
V	174549	252
V	174671	259
V	174784	260
V	174898	258
V	175019	250
V	175140	257
V	175251	261
V	175368	251
V	175480	253
V	175594	255
V	175715	256
V	175829	259
V	175949	260
V	176064	258
V	176185	254
V	176300	257
V	176417	261
V	176534	251
V	176656	253
V	176770	255
V	176891	256
V	177008	259
V	177127	250
V	177248	258
V	177369	254
V	177480	257
V	177594	261
V	177715	251
V	177832	253
V	177954	255
V	178072	256
V	178190	259
V	178306	260
V	178418	250
V	178531	254
V	178646	257
V	178767	261
V	178880	251
V	178994	253
V	179107	255
V	179223	256
V	179334	259
V	179455	260
V	179570	258
V	179691	254
V	179805	257
V	179921	261
V	180038	251
V	180152	253
V	180269	255
V	180385	256
V	180507	252
V	180611	260
V	180726	258
V	180847	254
V	180962	257
V	181084	261
V	181205	250
V	181326	253
V	181447	255
V	181561	256
V	181675	259
V	181790	260
V	181905	258
V	182021	254
V	182136	252
V	182255	261
V	182376	251
V	182497	253
V	182612	255
V	182726	256
V	182845	259
V	182961	260
V	183082	258
V	183199	254
V	183313	257
V	183426	261
V	183541	251
V	183662	253
V	183783	255
V	183904	256
V	184017	259
V	184131	260
V	184252	258
V	184367	254
V	184483	257
V	184600	261
V	184712	251
V	184826	253
V	184947	252
V	185061	256
V	185181	259
V	185296	260
V	185416	258
V	185531	254
V	185648	257
V	185765	261
V	185887	251
V	186001	253
V	186122	255
V	186239	252
V	186358	259
V	186479	260
V	186600	258
V	186716	250
V	186830	257
V	186951	261
V	187068	251
V	187190	253
V	187311	255
V	187429	256
V	187543	259
V	187655	260
V	187768	258
V	187883	254
V	188004	257
V	188117	261
V	188232	251
V	188345	253
V	188461	255
V	188572	256
V	188693	259
V	188807	250
V	188927	258
V	189042	254
V	189155	257
V	189272	261
V	189386	251
V	189503	253
V	189619	255
V	189741	256
V	189845	259
V	189961	260
V	190082	250
V	190197	254
V	190318	257
V	190439	261
V	190560	251
V	190681	253
V	190797	255
V	190911	256
V	191026	259
V	191142	260
V	191258	258
V	191373	254
V	191492	257
V	191613	261
V	191734	251
V	191848	253
V	191964	255
V	192083	256
V	192198	252
V	192319	260
V	192433	258
V	192547	254
V	192660	257
V	192775	261
V	192896	250
V	193017	253
V	193138	255
V	193251	256
V	193367	259
V	193488	260
V	193609	258
V	193724	254
V	193841	252
V	193953	261
V	194068	251
V	194189	253
V	194304	255
V	194420	256
V	194535	259
V	194656	260
V	194770	258
V	194887	254
V	195004	257
V	195126	261
V	195240	251
V	195361	253
V	195478	255
V	195597	256
V	195718	259
V	195839	260
V	195953	258
V	196067	254
V	196188	257
V	196305	261
V	196427	251
V	196548	253
V	196666	252
V	196781	256
V	196893	259
V	197006	260
V	197121	258
V	197242	254
V	197355	257
V	197469	261
V	197582	251
V	197696	253
V	197807	255
V	197928	252
V	198040	259
V	198161	260
V	198276	258
V	198386	250
V	198503	257
V	198620	261
V	198737	251
V	198853	253
V	198975	255
V	199079	256
V	199198	259
V	199319	260
V	199434	258
V	199552	254
V	199672	257
V	199793	261
V	199914	251
V	200029	253
V	200143	255
V	200258	256
V	200372	259
V	200488	250
V	200603	258
V	200722	254
V	200843	257
V	200964	261
V	201079	251
V	201194	253
V	201313	255
V	201429	256
V	201550	259
V	201667	260
V	201781	250
V	201894	254
V	202009	257
V	202130	261
V	202251	251
V	202374	253
V	202487	255
V	202603	256
V	202724	259
V	202839	260
V	202955	258
V	203072	254
V	203184	257
V	203298	261
V	203419	251
V	203533	253
V	203654	255
V	203769	256
V	203891	252
V	204013	260
V	204130	258
V	204247	254
V	204366	257
V	204480	261
V	204601	250
V	204718	253
V	204837	255
V	204958	256
V	205079	259
V	205195	260
V	205309	258
V	205430	254
V	205547	252
V	205669	261
V	205789	251
V	205907	253
V	206022	255
V	206134	256
V	206247	259
V	206362	260
V	206483	258
V	206596	254
V	206711	257
V	206824	261
V	206939	251
V	207050	253
V	207171	255
V	207287	256
V	207409	259
V	207525	260
V	207640	258
V	207757	254
V	207871	257
V	207988	261
V	208104	251
V	208226	253
V	208330	252
V	208449	256
V	208570	259
V	208685	260
V	208806	258
V	208927	254
V	209048	257
V	209169	261
V	209284	251
V	209398	253
V	209513	255
V	209628	252
V	209744	259
V	209859	260
V	209978	258
V	210099	250
V	210219	257
V	210335	261
V	210450	251
V	210569	253
V	210685	255
V	210806	256
V	210925	259
V	211039	260
V	211152	258
V	211267	254
V	211388	257
V	211505	261
V	211627	251
V	211740	253
V	211856	255
V	211977	256
V	212098	259
V	212213	250
V	212330	258
V	212442	254
V	212556	257
V	212677	261
V	212793	251
V	212912	253
V	213027	255
V	213149	256
V	213264	259
V	213381	260
V	213498	250
V	213619	254
V	213733	257
V	213854	261
V	213971	251
V	214090	253
V	214211	255
V	214332	256
V	214446	259
V	214560	260
V	214681	258
V	214798	254
V	214919	257
V	215036	261
V	215154	251
V	215267	253
V	215379	255
V	215492	256
V	215607	252
V	215728	260
V	215841	258
V	215955	254
V	216068	257
V	216185	261
V	216296	250
V	216417	253
V	216533	255
V	216654	256
V	216768	259
V	216883	260
V	217000	258
V	217115	254
V	217236	252
V	217352	261
V	217474	251
V	217578	253
V	217697	255
V	217818	256
V	217933	259
V	218051	260
V	218171	258
V	218292	254
V	218413	257
V	218526	261
V	218640	251
V	218755	253
V	218870	255
V	218986	256
V	219101	259
V	219220	260
V	219341	258
V	219462	254
V	219576	257
V	219689	261
V	219808	251
V	219923	253
V	220044	252
V	220163	256
V	220277	259
V	220390	260
V	220505	258
V	220626	254
V	220742	257
V	220867	261
V	220980	251
V	221096	253
V	221217	255
V	221338	252
V	221449	259
V	221566	260
V	221678	258
V	221792	250
V	221913	257
V	222030	261
V	222151	251
V	222266	253
V	222388	255
V	222510	256
V	222627	259
V	222744	260
V	222863	258
V	222977	254
V	223098	257
V	223215	261
V	223334	251
V	223455	253
V	223576	255
V	223692	256
V	223806	259
V	223927	250
V	224044	258
V	224164	254
V	224282	257
V	224400	261
V	224515	251
V	224627	253
V	224740	255
V	224855	256
V	224976	259
V	225089	260
V	225203	250
V	225316	254
V	225430	257
V	225541	261
V	225662	251
V	225776	253
V	225896	255
V	226011	256
V	226120	259
V	226237	260
V	226352	258
V	226473	254
V	226589	257
V	226711	261
V	226815	251
V	226934	253
V	227055	255
V	227170	256
V	227288	252
V	227409	260
V	227530	258
V	227651	254
V	227762	257
V	227876	261
V	227991	250
V	228104	253
V	228220	255
V	228335	256
V	228454	259
V	228575	260
V	228695	258
V	228810	254
V	228921	252
V	229040	261
V	229155	251
V	229276	253
V	229395	255
V	229509	256
V	229622	259
V	229737	260
V	229858	258
V	229977	254
V	230096	257
V	230209	261
V	230325	251
V	230446	253
V	230567	255
V	230678	256
V	230795	259
V	230907	260
V	231022	258
V	231143	254
V	231258	257
V	231377	261
V	231492	251
V	231614	253
V	231734	252
V	231851	256
V	231968	259
V	232089	260
V	232203	258
V	232324	254
