OpFlag	CountryRegionCode	CurrencyCode	ModifiedDate
V	IN	INR	2014-02-08 10:17:21.510000000
V	IS	ISK	2014-02-08 10:17:21.510000000
V	IT	EUR	2008-04-30 00:00:00
V	IT	ITL	2014-02-08 10:17:21.510000000
V	JM	JMD	2014-02-08 10:17:21.510000000
V	JO	JOD	2014-02-08 10:17:21.510000000
V	JP	JPY	2014-02-08 10:17:21.510000000
V	KE	KES	2014-02-08 10:17:21.510000000
V	KR	KRW	2014-02-08 10:17:21.510000000
V	KW	KWD	2014-02-08 10:17:21.510000000
V	LB	LBP	2014-02-08 10:17:21.510000000
V	LK	LKR	2014-02-08 10:17:21.510000000
V	LT	LTL	2014-02-08 10:17:21.510000000
V	LU	EUR	2008-04-30 00:00:00
V	LV	LVL	2014-02-08 10:17:21.510000000
V	MA	MAD	2014-02-08 10:17:21.510000000
V	MT	MTL	2014-02-08 10:17:21.510000000
V	MU	MUR	2014-02-08 10:17:21.510000000
V	MV	MVR	2014-02-08 10:17:21.510000000
V	MX	MXN	2014-02-08 10:17:21.510000000
V	MY	MYR	2014-02-08 10:17:21.510000000
V	NA	NAD	2014-02-08 10:17:21.510000000
V	NG	NGN	2014-02-08 10:17:21.510000000
V	NL	EUR	2008-04-30 00:00:00
V	NL	NLG	2014-02-08 10:17:21.510000000
V	NO	NOK	2014-02-08 10:17:21.510000000
V	NP	NPR	2014-02-08 10:17:21.510000000
V	NZ	NZD	2014-02-08 10:17:21.510000000
V	OM	OMR	2014-02-08 10:17:21.510000000
V	PA	PAB	2014-02-08 10:17:21.510000000
V	PE	PEN	2014-02-08 10:17:21.510000000
V	PH	PHP	2014-02-08 10:17:21.510000000
V	PK	PKR	2014-02-08 10:17:21.510000000
V	PL	PLN	2014-02-08 10:17:21.510000000
V	PL	PLZ	2014-02-08 10:17:21.510000000
V	PT	EUR	2008-04-30 00:00:00
V	PT	PTE	2014-02-08 10:17:21.510000000
V	PY	PYG	2014-02-08 10:17:21.510000000
V	RO	ROL	2014-02-08 10:17:21.510000000
V	RU	RUB	2014-02-08 10:17:21.510000000
V	RU	RUR	2014-02-08 10:17:21.510000000
V	SA	SAR	2014-02-08 10:17:21.510000000
V	SE	SEK	2014-02-08 10:17:21.510000000
V	SG	SGD	2014-02-08 10:17:21.510000000
V	SI	SIT	2014-02-08 10:17:21.510000000
V	SK	SKK	2014-02-08 10:17:21.510000000
V	SV	SVC	2014-02-08 10:17:21.510000000
V	TH	THB	2014-02-08 10:17:21.510000000
V	TN	TND	2014-02-08 10:17:21.510000000
V	TR	TRL	2014-02-08 10:17:21.510000000
V	TT	TTD	2014-02-08 10:17:21.510000000
V	TW	TWD	2014-02-08 10:17:21.510000000
V	US	USD	2014-02-08 10:17:21.510000000
V	UY	UYU	2014-02-08 10:17:21.510000000
V	VE	VEB	2014-02-08 10:17:21.510000000
V	VN	VND	2014-02-08 10:17:21.510000000
V	ZA	ZAR	2014-02-08 10:17:21.510000000
V	ZW	ZWD	2014-02-08 10:17:21.510000000
