\P\	Pos	PersonID\
V	81726	12441
V	81823	19844
V	81920	18143
V	82017	14713
V	82114	3164
V	82210	16623
V	82307	10282
V	82404	12474
V	82501	19012
V	82598	5468
V	82694	15994
V	82791	5651
V	82887	17696
V	82984	16169
V	83081	20564
V	83178	4935
V	83274	3087
V	83370	11425
V	83467	18783
V	83564	12569
V	83661	12608
V	83758	20457
V	83855	9002
V	83951	14459
V	84048	13265
V	84145	10722
V	84242	17599
V	84339	14519
V	84436	7727
V	84532	19140
V	84629	2800
V	84725	9000
V	84821	8052
V	84917	7729
V	85013	5409
V	85109	3054
V	85205	7092
V	85301	5463
V	85397	20019
V	85494	18028
V	85591	13604
V	85688	8512
V	85784	3225
V	85880	9318
V	85976	13628
V	86073	12549
V	86170	9700
V	86266	3074
V	86362	4847
V	86458	7440
V	86554	19820
V	86651	10262
V	86748	11750
V	86845	15531
V	86942	2477
V	87038	5941
V	87134	2773
V	87230	3197
V	87326	2656
V	87422	12350
V	87519	2873
V	87615	11590
V	87712	12412
V	87809	15841
V	87906	9612
V	88002	17885
V	88099	3210
V	88195	18194
V	88292	3686
V	88388	15802
V	88485	13521
V	88582	7511
V	88678	3392
V	88775	16405
V	88873	14359
V	88971	2436
V	89067	18425
V	89164	13712
V	89262	12751
V	89360	15603
V	89457	6162
V	89553	5863
V	89650	12887
V	89747	7289
V	89843	2526
V	89940	13411
V	90037	19006
V	90134	17012
V	90231	15887
V	90328	13436
V	90425	10472
V	90522	7742
V	90618	4422
V	90714	19376
V	90811	7966
V	90907	9398
V	91003	20532
V	91100	8473
V	91196	5022
V	91292	11905
V	91389	3560
V	91485	6679
V	91581	9972
V	91677	6565
V	91773	17332
V	91870	9120
V	91966	11652
V	92063	5982
V	92159	5755
V	92255	11516
V	92352	15449
V	92449	4855
V	92545	16067
V	92642	2996
V	92738	15746
V	92835	19134
V	92932	18134
V	93029	10416
V	93126	13914
V	93223	3992
V	93319	6067
V	93415	15978
V	93512	7340
V	93608	9943
V	93704	9500
V	93800	10573
V	93897	4363
V	93993	5643
V	94089	4480
V	94185	12166
V	94282	3390
V	94378	6090
V	94474	13588
V	94571	18920
V	94668	13098
V	94765	17545
V	94862	13173
V	94959	20393
V	95056	11060
V	95153	15658
V	95250	6569
V	95346	17232
V	95443	13892
V	95540	11837
V	95637	8059
V	95733	10634
V	95830	8443
V	95926	12824
V	96023	7316
V	96119	3165
V	96215	17567
V	96312	19474
V	96409	12090
V	96506	8869
V	96602	10675
V	96699	8078
V	96795	10780
V	96892	6205
V	96988	18495
V	97085	5887
V	97181	12845
V	97278	12429
V	97375	13353
V	97472	2731
V	97568	17961
V	97665	12526
V	97762	9820
V	97858	12230
V	97956	11435
V	98054	7551
V	98150	17116
V	98247	7701
V	98344	18341
V	98441	17934
V	98538	16870
V	98635	18181
V	98733	10772
V	98830	10977
V	98928	5432
V	99025	13748
V	99122	9801
V	99218	11160
V	99315	20395
V	99412	4543
V	99508	4840
V	99605	14384
V	99703	19484
V	99800	17884
V	99898	9822
V	99994	14813
V	100092	4274
V	100188	6416
V	100284	19727
V	100381	2917
V	100477	6819
V	100573	18498
V	100670	13039
V	100767	13323
V	100864	9381
V	100960	17557
V	101057	7583
V	101153	9186
V	101249	4235
V	101345	8939
V	101441	19778
V	101538	11293
V	101635	13938
V	101732	4491
V	101828	15673
V	101925	16715
V	102023	14864
V	102121	1699
V	102217	2542
V	102313	19036
V	102410	17133
V	102507	10600
V	102605	13644
V	102702	10118
V	102799	2654
V	102895	4106
V	102992	12952
V	103089	19112
V	103187	18946
V	103285	5144
V	103381	19898
V	103478	19816
V	103575	13350
V	103672	4156
V	103768	20196
V	103866	6089
V	103962	4742
V	104058	16386
V	104155	13507
V	104253	15375
V	104350	8578
V	104447	13814
V	104544	12088
V	104641	15467
V	104738	11679
V	104835	3725
V	104931	16378
V	105028	16780
V	105125	10237
V	105223	7768
V	105319	9086
V	105415	14287
V	105512	2903
V	105608	19074
V	105706	14749
V	105804	18184
V	105901	16361
V	105998	12395
V	106095	12831
V	106192	16758
V	106290	16035
V	106387	20718
V	106484	2552
V	106581	19791
V	106678	15561
V	106775	8250
V	106871	16113
V	106968	13861
V	107065	9769
V	107161	3885
V	107257	16287
V	107354	3933
V	107450	7484
V	107546	9067
V	107642	16076
V	107740	13722
V	107837	3558
V	107934	2791
V	108030	11514
V	108127	6238
V	108223	7806
V	108319	18688
V	108416	18944
V	108513	19677
V	108610	16207
V	108707	10473
V	108804	17293
V	108901	10086
V	108998	5746
V	109094	4748
V	109190	19514
V	109287	11260
V	109384	18727
V	109481	4028
V	109577	14065
V	109674	11827
V	109771	13559
V	109868	7065
V	109964	4775
V	110060	8607
V	110156	4392
V	110252	19233
V	110349	2393
V	110445	12037
V	110542	12478
V	110639	13084
V	110736	9266
V	110832	10149
V	110929	12983
V	111027	13219
V	111125	10358
V	111222	6159
V	111318	2614
V	111414	19642
V	111511	4368
V	111608	3829
V	111705	18701
V	111803	12874
V	111900	15732
V	111997	5624
V	112093	12283
V	112190	2492
V	112286	7115
V	112383	9182
V	112479	2965
V	112575	20025
V	112673	9063
V	112769	11167
V	112866	8034
V	112963	8865
V	113060	14781
V	113157	16087
V	113255	4279
V	113351	12161
V	113449	15646
V	113547	2416
V	113643	19051
V	113741	16359
V	113839	10006
V	113936	11641
V	114033	12637
V	114130	19762
V	114227	14431
V	114324	17896
V	114421	10353
V	114518	19853
V	114615	18984
V	114712	2661
V	114808	11912
V	114905	12214
V	115002	4361
V	115098	5541
V	115194	9713
V	115290	20136
V	115387	13483
V	115484	2528
V	115580	7322
V	115676	2982
V	115772	13649
V	115869	7703
V	115965	9228
V	116061	8193
V	116157	6762
V	116253	4785
V	116349	11540
V	116446	9187
V	116542	2988
V	116638	10226
V	116735	7200
V	116831	6261
V	116927	18892
V	117024	4431
V	117120	11625
V	117217	9698
V	117313	17549
V	117410	4974
V	117506	6482
V	117602	12944
V	117699	11443
V	117796	6616
V	117892	6627
V	117988	12902
V	118085	12528
V	118183	8695
V	118279	20089
V	118376	7767
V	118472	19884
V	118569	7298
V	118665	19486
V	118763	20772
V	118861	6061
V	118958	19979
V	119055	6707
V	119151	8511
V	119248	2894
V	119344	7606
V	119441	4286
V	119538	14296
V	119636	8176
V	119733	7880
V	119829	18895
V	119927	13630
V	120024	2943
V	120120	3819
V	120217	18319
V	120314	19267
V	120412	20542
V	120509	7573
V	120605	7117
V	120702	15794
V	120800	20585
V	120897	20074
V	120994	15739
V	121091	7211
V	121188	3489
V	121285	16181
V	121383	5358
V	121479	6264
V	121575	4728
V	121671	12669
V	121769	4387
V	121866	7287
V	121962	5880
V	122058	3487
V	122154	4977
V	122250	10523
V	122348	6624
V	122445	5813
V	122541	15427
V	122638	9631
V	122735	18690
V	122832	17608
V	122929	8368
V	123025	6946
V	123121	20477
V	123218	14858
V	123315	13309
V	123413	18208
V	123510	10626
V	123607	16764
V	123704	13837
V	123801	8185
V	123897	18443
V	123994	8306
V	124091	8166
V	124188	15265
V	124285	17081
V	124382	14613
V	124479	3816
V	124575	5462
V	124672	4217
V	124769	6464
V	124865	20506
V	124963	10595
V	125060	16339
V	125157	20497
V	125255	16315
V	125353	14123
V	125450	14550
V	125547	10400
V	125644	11700
V	125741	17479
V	125838	17510
V	125935	7657
V	126031	17967
V	126128	18446
V	126225	20004
V	126322	14524
V	126419	8075
V	126515	17189
V	126612	3424
V	126708	13182
V	126805	2806
V	126901	17416
V	126998	15742
V	127095	8357
V	127191	8524
V	127287	10425
V	127384	13202
V	127481	7142
V	127577	11577
V	127674	6387
V	127770	20730
V	127867	17343
V	127964	14361
V	128061	9621
V	128157	3680
V	128253	18152
V	128350	16534
V	128447	4707
V	128543	5569
V	128639	19675
V	128736	6017
V	128832	2856
V	128928	9515
V	129024	11900
V	129121	10076
V	129218	19100
V	129315	16477
V	129412	4118
V	129508	7290
V	129604	14047
V	129701	6530
V	129797	4296
V	129893	20121
V	129990	6256
V	130086	16228
V	130183	4154
V	130279	9426
V	130375	2601
V	130471	7741
V	130567	12085
V	130664	20340
V	130761	17757
V	130858	20654
V	130955	4939
V	131051	17338
V	131148	4875
V	131244	17065
V	131341	14759
V	131438	9915
V	131534	12038
V	131631	11162
V	131728	17902
V	131825	4992
V	131921	5663
V	132017	15699
V	132114	14358
V	132211	19380
V	132308	13902
V	132405	6793
V	132501	11127
V	132598	5560
V	132694	3220
V	132790	14510
V	132887	16144
V	132984	9743
V	133080	5037
V	133176	17175
V	133273	14424
V	133370	14757
V	133467	6680
V	133563	11449
V	133660	10372
V	133757	17046
V	133854	8469
V	133950	4205
V	134046	2688
V	134142	11902
V	134239	9400
V	134335	8301
V	134431	18668
V	134528	9076
V	134624	5770
V	134720	7617
V	134816	11016
V	134913	14173
V	135010	4607
V	135106	12460
V	135203	4193
V	135299	20651
V	135396	20538
V	135493	13337
V	135590	5637
V	135686	16417
V	135783	5675
V	135879	5366
V	135975	18039
V	136072	17765
V	136169	16170
V	136266	19515
V	136363	14035
V	136460	3007
V	136556	10698
V	136653	12677
V	136750	2858
V	136846	15260
V	136943	11688
V	137040	5910
V	137136	17109
V	137233	10889
V	137330	11916
V	137427	4261
V	137523	14185
V	137620	9722
V	137716	9861
V	137812	14163
V	137909	11484
V	138006	4189
V	138102	5018
V	138198	16366
V	138295	19466
V	138392	19064
V	138489	14305
V	138586	6276
V	138682	13399
V	138779	13838
V	138876	17976
V	138973	13490
V	139070	12237
V	139167	16854
V	139264	8150
V	139360	14940
V	139457	11773
V	139554	5718
V	139650	15703
V	139747	15424
V	139844	7199
V	139940	12659
V	140037	10448
V	140134	20429
V	140231	15199
V	140328	17651
V	140425	13313
V	140522	19480
V	140619	9561
V	140715	4357
V	140811	7279
V	140907	3416
V	141003	12475
V	141100	3530
V	141196	14463
V	141293	11607
V	141390	10020
V	141487	16021
V	141584	6721
V	141680	15123
V	141777	16921
V	141874	20045
V	141971	9683
V	142067	16313
V	142164	14954
V	142261	7104
V	142357	15408
V	142454	19035
V	142551	11448
V	142648	7476
V	142744	13697
V	142841	9354
V	142937	5506
V	143033	10319
V	143130	5529
V	143226	12326
V	143323	10470
V	143420	9605
V	143516	4575
V	143612	20438
V	143709	4824
V	143805	16202
V	143902	14495
V	143999	13210
V	144096	3945
V	144192	18898
V	144289	19150
V	144386	14990
V	144483	13043
V	144580	11061
V	144677	11176
V	144774	18580
V	144871	5679
V	144967	10662
V	145064	18122
V	145161	11562
V	145258	9584
V	145354	11407
V	145451	5842
V	145547	5505
V	145643	10364
V	145740	10835
V	145837	9735
V	145933	12155
V	146030	6749
V	146126	8796
V	146222	13361
V	146319	13117
V	146416	5912
V	146512	14352
V	146609	3445
V	146705	18096
V	146802	18537
V	146899	13336
V	146996	16376
V	147093	18055
V	147190	11419
V	147287	9004
V	147383	11256
V	147480	9112
V	147576	6847
V	147672	18803
V	147769	9164
V	147865	8313
V	147961	10025
V	148058	5763
V	148154	11299
V	148251	16500
V	148348	18115
V	148445	4339
V	148541	10976
V	148638	5140
V	148734	4171
V	148830	11474
V	148927	9939
V	149023	19324
V	149120	3506
V	149216	11924
V	149313	20251
V	149410	4821
V	149506	14007
V	149603	3490
V	149699	10258
V	149796	15325
V	149893	13447
V	149990	7820
V	150086	6577
V	150182	15032
V	150279	17570
V	150376	12332
V	150473	12783
V	150570	19889
V	150667	8124
V	150763	8983
V	150859	4582
V	150955	15819
V	151052	12286
V	151149	16373
V	151246	4150
V	151342	9814
V	151438	18936
V	151535	5483
V	151631	13601
V	151728	18913
V	151825	2460
V	151921	7031
V	152017	18982
V	152114	7273
V	152210	2569
V	152306	18353
V	152403	18715
V	152500	7653
V	152596	15392
V	152693	19815
V	152790	18606
V	152887	9225
V	152983	4625
V	153079	9177
V	153175	14533
V	153272	8021
V	153368	12483
V	153465	12848
V	153562	16581
V	153659	12949
V	153756	15490
V	153853	15494
V	153950	1700
V	154046	7205
V	154142	19213
V	154239	11011
V	154336	11181
V	154433	10119
V	154530	2844
V	154626	7095
V	154722	8945
V	154818	17604
V	154915	12641
V	155012	13878
V	155109	8958
V	155205	13751
V	155302	19899
V	155399	20753
V	155496	7623
V	155592	12990
V	155689	4658
V	155785	12664
V	155882	14552
V	155979	6648
V	156075	12095
V	156172	17220
V	156269	4981
V	156365	13987
V	156462	5807
V	156558	18552
V	156655	15979
V	156752	20219
V	156849	12160
V	156946	15521
V	157043	17894
V	157140	18853
V	157237	11470
V	157334	8619
V	157430	20374
V	157527	9958
V	157623	12363
V	157720	1701
V	157816	10570
V	157913	18955
V	158010	16735
V	158107	8063
V	158203	10458
V	158300	6999
V	158396	11909
V	158493	7462
V	158589	14360
V	158686	9537
V	158782	13206
V	158879	1719
V	158975	20597
V	159072	12892
V	159169	6133
V	159265	16533
V	159362	18160
V	159459	9418
V	159555	10274
V	159652	10801
V	159749	6775
V	159845	18164
V	159942	11505
V	160039	6046
V	160135	3698
V	160231	5340
V	160327	18663
V	160424	8470
V	160520	8596
V	160616	2817
V	160712	6219
V	160808	16188
V	160905	8130
V	161001	2679
V	161097	15645
V	161194	19923
V	161291	16579
V	161388	13991
V	161485	7887
V	161581	8474
V	161677	4943
V	161773	17475
V	161870	2910
V	161966	18980
V	162063	19687
V	162160	4653
V	162256	17056
V	162353	12599
V	162450	2527
V	162546	3184
V	162642	6013
V	162738	2900
V	162834	9190
V	162930	13771
V	163027	2538
V	163123	8515
V	163219	7270
V	163315	2707
V	163411	11165
V	163508	19550
V	163605	11983
V	163702	14263
V	163799	18696
V	163896	10660
V	163993	6671
V	164089	13696
V	164186	3309
V	164282	19296
V	164379	8843
V	164475	17151
V	164572	3834
V	164668	15668
V	164765	6475
V	164861	13926
V	164958	3409
V	165054	12491
V	165151	10125
V	165248	7451
V	165344	5932
V	165440	18598
V	165537	2515
V	165633	13335
V	165730	11846
V	165827	3053
V	165923	19655
V	166020	20188
V	166117	17024
V	166214	14369
V	166311	4319
V	166407	16451
V	166504	13252
V	166601	10639
V	166698	5459
V	166794	9183
V	166890	10707
V	166987	12710
V	167084	7680
V	167180	16923
V	167277	16779
V	167374	8649
V	167470	3480
V	167566	5118
V	167662	8483
V	167758	14312
V	167855	9407
V	167951	9864
V	168047	5384
V	168143	18889
V	168240	14130
V	168337	13643
V	168434	4400
V	168530	18352
V	168627	15786
V	168724	13680
V	168821	5504
V	168917	3271
V	169013	14197
V	169110	5632
V	169206	17259
V	169303	12863
V	169400	17404
V	169497	19144
V	169594	6318
V	169690	20315
V	169787	19942
V	169884	15677
V	169981	14653
V	170078	19585
V	170175	10039
V	170272	3690
V	170368	12733
V	170465	12909
V	170562	18637
V	170659	12255
V	170756	15495
V	170853	11648
V	170950	14716
V	171047	9974
V	171143	6676
V	171239	18239
V	171336	7898
V	171432	8831
V	171528	6269
V	171624	7924
V	171720	16912
V	171817	11326
V	171914	10796
V	172011	13555
V	172108	6457
V	172204	13714
V	172301	11594
V	172398	8079
V	172494	12199
V	172591	16230
V	172688	5963
V	172784	17664
V	172881	20738
V	172978	4805
V	173074	7760
V	173170	7697
V	173266	5951
V	173362	14738
V	173459	20254
V	173556	3014
V	173652	6332
V	173748	19567
V	173845	20507
V	173942	13426
V	174039	17739
V	174136	20071
V	174233	18116
V	174331	18487
V	174428	18684
V	174525	7437
V	174622	11303
V	174719	14326
V	174816	13930
V	174913	5012
V	175009	14974
V	175106	20610
V	175203	12306
V	175301	14712
V	175399	3849
V	175495	4209
V	175591	16771
V	175688	13496
V	175785	7650
V	175881	12808
V	175978	11157
V	176075	8676
V	176171	16006
V	176268	7546
V	176364	6910
V	176460	4390
V	176556	3593
V	176652	3296
V	176748	10173
V	176845	6480
V	176941	14198
V	177038	14568
V	177135	20566
V	177232	10279
V	177329	10657
V	177426	3730
V	177522	18209
V	177619	16081
V	177716	10134
V	177813	12898
V	177910	9087
V	178006	16490
V	178103	5518
V	178199	6105
V	178295	5553
V	178391	15385
V	178488	15831
V	178585	17067
V	178682	3937
V	178778	9110
V	178874	20132
V	178971	13757
V	179068	4527
V	179164	4902
V	179260	5642
V	179356	14022
V	179453	16158
V	179550	6536
V	179646	11995
V	179743	19590
V	179840	8027
V	179936	8145
V	180032	12253
V	180129	15914
V	180226	20624
V	180323	3920
V	180419	11218
V	180516	12425
V	180613	10566
V	180710	6621
V	180806	7342
V	180902	7261
V	180998	5556
V	181094	20095
V	181191	9020
V	181287	12002
V	181384	16947
V	181481	16732
V	181578	8462
V	181674	12861
V	181771	4544
V	181867	13395
V	181964	7024
V	182060	20296
V	182157	13083
V	182254	9806
V	182350	16514
V	182447	7512
V	182543	4552
V	182639	17334
V	182737	19237
V	182834	3553
V	182930	12539
V	183027	19962
V	183125	3475
V	183222	10747
V	183320	15950
V	183417	17129
V	183514	4167
V	183610	7607
V	183706	18469
V	183803	11456
V	183901	14292
V	183998	12865
V	184096	18592
V	184193	8669
V	184289	16517
V	184387	3412
V	184483	10526
V	184580	18121
V	184677	7516
V	184773	17062
V	184870	16891
V	184968	6977
V	185064	4668
V	185161	15160
V	185258	3268
V	185354	19554
V	185451	6640
V	185548	12643
V	185645	6330
V	185741	9003
V	185837	14348
V	185934	20707
V	186031	16717
V	186128	20373
V	186225	18855
V	186322	4921
V	186418	5547
V	186514	9434
V	186610	15784
V	186707	12681
V	186804	11457
V	186901	9152
V	186997	12931
V	187094	13957
V	187191	11795
V	187288	2441
V	187384	7309
V	187481	14060
V	187579	3250
V	187675	20649
V	187773	7983
V	187870	10852
V	187968	17331
V	188065	2663
V	188161	4098
V	188257	13194
V	188354	12204
V	188451	9708
V	188547	6783
V	188644	6625
V	188741	19419
V	188838	13639
V	188935	3152
V	189031	12011
V	189128	6119
V	189225	10633
V	189322	14547
V	189419	13890
V	189516	18590
V	189614	5249
V	189711	18235
V	189809	8756
V	189906	17291
V	190003	5940
V	190100	16055
V	190198	7905
V	190295	18925
V	190393	8996
V	190489	15881
V	190586	5261
V	190683	7442
V	190780	19365
V	190878	20331
V	190975	16701
V	191072	14295
V	191169	2384
V	191265	13609
V	191363	3189
V	191459	16617
V	191556	5794
V	191652	9580
V	191749	12485
V	191847	15186
V	191945	15537
V	192042	9369
V	192138	17731
V	192235	12758
V	192333	18611
V	192431	4023
V	192528	5407
V	192624	9462
V	192720	15114
V	192817	7275
V	192914	12532
V	193012	16934
V	193110	19703
V	193208	2534
V	193304	6177
V	193401	4987
V	193497	10504
V	193594	14443
V	193691	5316
V	193787	16265
V	193885	5687
V	193982	13164
V	194079	5465
V	194176	3697
V	194273	3985
V	194369	7189
V	194465	5091
V	194561	8097
V	194657	11154
V	194755	16695
V	194853	13668
V	194951	2574
V	195047	19538
V	195144	12646
V	195241	18601
V	195338	20612
V	195435	10975
V	195532	16299
V	195629	7513
V	195725	16660
V	195822	18112
V	195919	3036
V	196015	15657
V	196112	12420
V	196209	16994
V	196306	4827
V	196402	6385
V	196498	11073
V	196595	14883
V	196692	13796
V	196789	20387
V	196886	17761
V	196983	11301
V	197080	18988
V	197177	16829
V	197274	18829
V	197371	5721
V	197467	11974
V	197564	9079
V	197660	15649
V	197757	3083
V	197853	8143
V	197950	13708
V	198047	4255
V	198143	4012
V	198239	7374
V	198335	10178
V	198432	14474
V	198529	10033
V	198626	2925
V	198722	19602
V	198820	18072
V	198917	19183
V	199014	8590
V	199110	12736
V	199208	17050
V	199306	13012
V	199404	14891
V	199501	6359
V	199597	20020
V	199695	2963
V	199791	10654
V	199888	16289
V	199985	14898
V	200082	16260
V	200179	19334
V	200277	16620
V	200375	15357
V	200472	18718
V	200570	16401
V	200667	17746
V	200764	17108
V	200861	12444
V	200958	15956
V	201055	2721
V	201151	8920
V	201247	14900
V	201345	16931
V	201443	17378
V	201541	15262
V	201639	11812
V	201736	20402
V	201833	13550
V	201930	10115
V	202027	8477
V	202123	5815
V	202219	10581
V	202316	6373
V	202412	6533
V	202508	19208
V	202605	18997
V	202702	12777
V	202799	17003
V	202896	20011
V	202993	13179
V	203090	6298
V	203186	9281
V	203282	12482
V	203379	10002
V	203476	18300
V	203573	14804
V	203670	9468
V	203766	15309
V	203863	4406
V	203959	11142
V	204056	3768
V	204152	17685
V	204249	13181
V	204346	5730
V	204442	11350
V	204539	14892
V	204636	4019
V	204732	9037
V	204828	19130
V	204925	16684
V	205022	12841
V	205119	8453
V	205215	14016
V	205312	9685
V	205408	17653
V	205505	11427
V	205602	13273
V	205699	3163
V	205795	18485
V	205892	15528
V	205989	3677
V	206085	15248
V	206182	13069
V	206279	6018
V	206375	18204
V	206472	5726
V	206568	16481
V	206665	19005
V	206762	7393
V	206859	7472
V	206956	3255
V	207052	7897
V	207148	18199
V	207246	15514
V	207343	19608
V	207441	13365
V	207538	11083
V	207635	9141
V	207731	19377
V	207828	11575
V	207925	12400
V	208022	18032
V	208119	7810
V	208216	7407
V	208312	16387
V	208409	13667
V	208507	13739
V	208604	11219
V	208701	8770
V	208797	10631
V	208894	19228
V	208991	7717
V	209087	10049
V	209184	14134
V	209281	18989
V	209378	2507
V	209475	13357
V	209572	10287
V	209669	9139
V	209765	4755
V	209861	4414
V	209958	7170
V	210055	20577
V	210152	17913
V	210249	4782
V	210345	8536
V	210442	8950
V	210538	13763
V	210635	2627
V	210731	18582
V	210828	19326
V	210925	10196
V	211023	16279
V	211121	10965
V	211219	4473
V	211316	4008
V	211413	15046
V	211510	16628
V	211608	15696
V	211705	14832
V	211802	9300
V	211898	9982
V	211994	17419
V	212092	11318
V	212189	8866
V	212285	3592
V	212381	7862
V	212477	6361
V	212573	19158
V	212671	4313
V	212767	10651
V	212864	18873
V	212961	6504
V	213057	4599
V	213153	18961
V	213251	9036
V	213348	17414
V	213445	4919
V	213541	16825
V	213638	7475
V	213734	5930
V	213830	16396
V	213927	5446
V	214023	20616
V	214120	4067
V	214216	13641
V	214313	4249
V	214409	15181
V	214506	15706
V	214603	7922
V	214700	6428
V	214796	3963
V	214892	11252
V	214989	10795
V	215086	15680
V	215184	7276
V	215280	20307
V	215377	9389
V	215473	4636
V	215569	6270
V	215666	7021
V	215763	10870
V	215860	3359
V	215956	3793
V	216053	8121
V	216149	15916
V	216246	20176
V	216343	9278
V	216439	7991
V	216536	5766
V	216633	4733
V	216729	19688
V	216826	12481
V	216924	10846
V	217022	15154
V	217119	12682
V	217217	8329
V	217314	17603
V	217412	20589
V	217510	19151
V	217607	10197
V	217704	12027
V	217801	9304
V	217897	20255
V	217994	12960
V	218091	13599
V	218188	2591
V	218284	13288
V	218381	3458
V	218477	3711
V	218573	19710
V	218670	8337
V	218766	6831
V	218862	17564
V	218959	4720
V	219055	15896
V	219152	14763
V	219249	16430
V	219346	11229
V	219443	16822
V	219541	10592
V	219638	20702
V	219736	6734
V	219833	17669
V	219931	14539
V	220029	6950
V	220126	7536
V	220223	2822
V	220320	15328
V	220418	18428
V	220515	18133
V	220613	16697
V	220711	15441
V	220809	17715
V	220906	20253
V	221003	10899
V	221100	11866
V	221197	19531
V	221295	13832
V	221393	13945
V	221491	15931
V	221589	20118
V	221687	20079
V	221784	14862
V	221881	16632
V	221979	16499
V	222076	5424
V	222172	12217
V	222269	8802
V	222366	9062
V	222462	3788
V	222558	14603
V	222656	15247
V	222754	2453
V	222850	4508
V	222946	8890
V	223043	17474
V	223141	10063
V	223238	16871
V	223335	5810
V	223432	6810
V	223528	3724
V	223624	20240
V	223722	19096
V	223820	9422
V	223916	18890
V	224013	5230
V	224110	14135
V	224207	11222
V	224304	14691
V	224402	13401
V	224499	15666
V	224596	19719
V	224693	19695
V	224791	5997
V	224888	2611
V	224984	12352
V	225082	14117
V	225180	12773
V	225277	17137
V	225374	16733
V	225471	9979
V	225568	16611
V	225666	13653
V	225764	18447
V	225861	4208
V	225957	6041
V	226053	13885
V	226151	14058
V	226248	3369
V	226344	8855
V	226440	5513
V	226536	10259
V	226633	14232
V	226731	14294
V	226828	5530
V	226924	3258
V	227020	7337
V	227116	1720
V	227212	12484
V	227309	17306
V	227406	13257
V	227503	13481
V	227600	15651
V	227697	19595
V	227794	10152
V	227891	3218
V	227987	17830
V	228084	18618
V	228181	20221
V	228278	11329
V	228375	10503
V	228472	2394
V	228568	17080
V	228665	12967
V	228762	4734
V	228858	10805
V	228955	18613
V	229052	11906
V	229149	13222
V	229246	12876
V	229343	5696
V	229439	3297
V	229535	10271
V	229632	10527
V	229729	17627
V	229826	15362
V	229923	16861
V	230020	20700
V	230117	4546
V	230213	19031
V	230310	3631
V	230406	15029
V	230503	11621
V	230600	16074
V	230697	13051
V	230794	4726
V	230890	3702
V	230986	4725
V	231082	4525
V	231178	2647
V	231274	10962
V	231371	8829
V	231467	12275
V	231564	6692
V	231660	5301
V	231756	13021
V	231853	7416
V	231949	6173
V	232045	5280
V	232141	9869
V	232237	6122
V	232333	4153
V	232429	6654
V	232525	3321
V	232621	4174
V	232717	3029
V	232813	15229
V	232910	6200
V	233007	3537
V	233104	15110
V	233201	18226
V	233298	12398
V	233396	17711
V	233493	20046
V	233590	18640
V	233687	19489
V	233784	14088
V	233881	16971
V	233979	19927
V	234077	1721
V	234173	12393
V	234270	16950
